file,line,hunt_code,action,old_total,new_total,reason
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,618,EA1180,UPDATE_TOTAL,,17,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,722,EB1000,UPDATE_TOTAL,,15,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,723,EB1001,UPDATE_TOTAL,,10,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,724,EB1002,UPDATE_TOTAL,,6,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,725,EB1003,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,726,EB1004,UPDATE_TOTAL,,6,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,727,EB1005,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,730,EB1010,UPDATE_TOTAL,,17,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,944,EL3000,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,945,EL3002,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,946,EL3003,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,947,EL3005,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,948,EL3006,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,949,EL3008,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,950,EL3009,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,951,EL3010,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,952,EL3011,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,953,EL3013,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,954,EL3015,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,955,EL3018,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,956,EL3019,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,957,EL3020,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,958,EL3022,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,959,EL3024,UPDATE_TOTAL,,21,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,960,EL3025,UPDATE_TOTAL,,16,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,961,EL3028,UPDATE_TOTAL,,21,db-empty total patched from candidate list
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,962,EL3031,UPDATE_TOTAL,,3,db-empty total patched from candidate list
