hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,dwr_huntplanner_source_url,dwr_huntplanner_source_retrieved_at,dwr_huntplanner_management_stats_available,dwr_huntplanner_season_date_text,dwr_huntplanner_permits_2026_res,dwr_huntplanner_permits_2026_nr,dwr_huntplanner_permits_2026_total,dwr_huntplanner_percent_harvest_success_previous_hunting_season,dwr_huntplanner_current_age_3yr_average,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate
BI6500,1,Antelope Island,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,,2,0,2,535,1,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6500,2026-05-29T07:31:31.653Z,true,Dec 07 2026 - Dec 09 2026,2,0,2,100,,,,
DB0009,1,Antelope Island - Conservation/Expo,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB0009,2026-05-29T07:31:31.653Z,true,"Nov 9, 2026 - Nov 16, 2026",0,0,0,100,,,,
DB1002,1,Antelope Island Premium,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,Nov 11 2026 - Nov 18 2026,1,0,1,,1,0,1,4,19,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_PLE_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1002,2026-05-29T07:31:31.653Z,true,Nov 11 2026 - Nov 18 2026,1,0,1,100,,,,
DB1121,1,Antelope Island Management,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Management,"Nov 16 2026 - Nov 20, 2026",2,0,2,,,,,,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1121,2026-05-29T07:31:31.653Z,false,"Nov 16 2026 - Nov 20, 2026",2,0,2,,,,,
RS1000,1,Antelope Island Conservation,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 9 2026 - Nov 16 2026,,,,,,,,,,,,,,,,Utah DWR Hunt Planner,,,,,,,,,Utah DWR Hunt Planner,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS1000,2026-05-29T07:31:31.653Z,true,Nov 9 2026 - Nov 16 2026,0,0,0,,,,,
RS6700,1,Antelope Island,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,"Nov 09, 2026 - Nov 16, 2026",2,0,2,,1,0,1,588,588,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS6700,2026-05-29T07:31:31.653Z,true,"Nov 11, 2026 - Nov 18, 2026",2,0,2,0,,,125,150
DA1041,6,"Nine Mile, Green River Valley",Antlerless,Deer,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 25 2026,,,15,,,,,,,,,14,1,15,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,,,,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1041,2026-05-29T07:31:31.653Z,true,Oct 04 2025 - Oct 26 2025,0,0,15,37.5,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit)
BR1008,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,,"July 5 - 16, 2026",26,2,28,,,,,,,,,26,2,28,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR1008,2026-05-29T07:31:31.653Z,false,"July 5 - 16, 2026",26,2,28,,,,,
BR1011,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,,"July 18 - July 31, 2026",26,2,28,,26,0,26,4,,2024 Draw Odds PDF Model Target 2025,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,26,0,26,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR1011,2026-05-29T07:31:31.653Z,false,"July 18 - July 31, 2026",26,2,28,,,,,
BR1015,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,,"March 28 - May 25, 2026",0,2,2,,,,,,,,,0,2,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,0,2,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,0,2,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BR1015,2026-05-29T07:31:31.653Z,false,"March 28 - May 25, 2026",0,2,2,,,,,
