Section,Unit,Unit name,Bull harvest,Cow harvest,Calf harvest,Total harvest,Hunters afield,Mean days hunted,Success rate (%),source_page
General-season draw-only youth any bull/hunter's choice elk harvest,22,Beaver,6,3,0,9,37,3.2,24.2,1
General-season draw-only youth any bull/hunter's choice elk harvest,10,Book Cliffs,0,0,0,0,3,1.0,0.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,1,Box Elder,10,0,0,10,28,2.6,35.7,1
General-season draw-only youth any bull/hunter's choice elk harvest,2,Cache,,,,,0,,,1
General-season draw-only youth any bull/hunter's choice elk harvest,6,Chalk Creek,9,1,0,10,16,3.0,64.3,1
General-season draw-only youth any bull/hunter's choice elk harvest,5,East Canyon,10,0,0,10,33,2.5,31.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,21,Fillmore,5,3,0,8,30,2.6,25.9,1
General-season draw-only youth any bull/hunter's choice elk harvest,15,Henry Mtns,0,0,0,0,2,3.5,0.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,7,Kamas,6,0,0,6,57,2.9,9.8,1
General-season draw-only youth any bull/hunter's choice elk harvest,4,Morgan-South Rich,7,0,0,7,25,3.8,27.3,1
General-season draw-only youth any bull/hunter's choice elk harvest,16A,Nebo,4,0,0,4,30,1.8,14.8,1
General-season draw-only youth any bull/hunter's choice elk harvest,11A,"Nine Mile, Anthro",12,0,0,12,44,3.0,28.2,1
General-season draw-only youth any bull/hunter's choice elk harvest,11B,"Nine Mile, Range Creek",16,0,0,16,30,3.0,51.9,1
General-season draw-only youth any bull/hunter's choice elk harvest,8A,"North Slope, Summit",7,2,0,9,75,3.8,11.9,1
General-season draw-only youth any bull/hunter's choice elk harvest,8B,"North Slope, West Daggett",6,1,0,7,50,3.3,13.3,1
General-season draw-only youth any bull/hunter's choice elk harvest,3,Ogden,4,0,0,4,45,3.0,10.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,18,Oquirrh-Stansbury,9,0,0,9,28,2.9,32.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,27,Paunsaugunt,8,1,0,9,45,3.3,20.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,30,Pine Valley,1,0,0,1,18,2.1,6.3,1
General-season draw-only youth any bull/hunter's choice elk harvest,14,San Juan,0,0,0,0,2,4.5,0.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,12,San Rafael,0,0,0,0,1,3.0,0.0,1
General-season draw-only youth any bull/hunter's choice elk harvest,9BD,Vernal/Bonanza,27,2,0,29,99,4.2,29.5,1
General-season draw-only youth any bull/hunter's choice elk harvest,19,West Desert,8,1,0,9,43,2.6,21.1,1
General-season draw-only youth any bull/hunter's choice elk harvest,9A,Yellowstone,35,0,0,35,103,3.5,33.7,1
General-season draw-only youth any bull/hunter's choice elk harvest,29,Zion,6,1,0,7,48,3.2,14.0,1
General-season youth multiseason elk harvest,22,Beaver,9,1,0,10,228,12.2,4.4,2
General-season youth multiseason elk harvest,10,Book Cliffs,12,0,0,12,98,11.9,12.2,2
General-season youth multiseason elk harvest,25C/26,Boulder/Kaiparowits,6,0,0,6,68,12.4,9.1,2
General-season youth multiseason elk harvest,1,Box Elder,12,0,0,12,75,9.6,16.0,2
General-season youth multiseason elk harvest,2,Cache,10,0,1,11,284,12.3,3.9,2
General-season youth multiseason elk harvest,6,Chalk Creek,14,0,0,14,91,11.7,14.9,2
General-season youth multiseason elk harvest,9C,Diamond Mtn,4,0,0,4,33,11.3,11.1,2
General-season youth multiseason elk harvest,5,East Canyon,17,0,0,17,113,9.2,15.1,2
General-season youth multiseason elk harvest,21,Fillmore,9,0,0,9,157,13.2,5.7,2
General-season youth multiseason elk harvest,25AB,Fishlake/Thousand Lakes,24,1,0,25,323,12.8,7.6,2
General-season youth multiseason elk harvest,15,Henry Mtns,0,0,0,0,1,11.0,0.0,2
General-season youth multiseason elk harvest,7,Kamas,6,0,0,6,155,11.2,3.9,2
General-season youth multiseason elk harvest,13B,"La Sal, Dolores Triangle",,,,,0,,,2
General-season youth multiseason elk harvest,13A,"La Sal, La Sal Mtns",4,0,1,5,83,12.7,5.9,2
General-season youth multiseason elk harvest,16B,Manti,51,1,1,53,626,12.1,8.4,2
General-season youth multiseason elk harvest,23,Monroe,7,0,0,7,134,10.4,5.5,2
General-season youth multiseason elk harvest,4,Morgan-South Rich,17,0,0,17,128,12.8,13.3,2
General-season youth multiseason elk harvest,24,Mt Dutton,2,0,0,2,36,11.8,6.7,2
General-season youth multiseason elk harvest,16A,Nebo,19,1,0,20,236,10.4,8.3,2
General-season youth multiseason elk harvest,11A,"Nine Mile, Anthro",23,0,0,23,136,10.5,17.1,2
General-season youth multiseason elk harvest,11B,"Nine Mile, Range Creek",13,1,0,14,112,11.7,12.1,2
General-season youth multiseason elk harvest,8A,"North Slope, Summit",15,0,0,15,345,11.8,4.3,2
General-season youth multiseason elk harvest,8B,"North Slope, West Daggett",10,0,0,10,191,14.0,5.1,2
General-season youth multiseason elk harvest,3,Ogden,6,0,0,6,162,12.4,3.8,2
General-season youth multiseason elk harvest,18,Oquirrh-Stansbury,7,0,0,7,122,16.4,6.1,2
General-season youth multiseason elk harvest,28,Panguitch Lake,4,0,0,4,169,12.1,2.2,2
General-season youth multiseason elk harvest,27,Paunsaugunt,7,0,0,7,84,10.5,8.7,2
General-season youth multiseason elk harvest,30,Pine Valley,2,0,0,2,77,17.4,3.2,2
General-season youth multiseason elk harvest,14,San Juan,3,0,0,3,71,11.9,4.2,2
General-season youth multiseason elk harvest,12,San Rafael,0,0,0,0,7,3.6,0.0,2
General-season youth multiseason elk harvest,20,Southwest Desert,7,0,0,7,120,12.8,6.1,2
General-season youth multiseason elk harvest,9BD,Vernal/Bonanza,51,1,0,52,465,17.1,11.1,2
General-season youth multiseason elk harvest,17,Wasatch Mtns,39,1,0,40,505,10.6,7.9,2
General-season youth multiseason elk harvest,19,West Desert,11,0,0,11,111,8.7,9.9,2
General-season youth multiseason elk harvest,9A,Yellowstone,57,0,0,57,365,14.0,15.4,2
General-season youth multiseason elk harvest,29,Zion,14,0,0,14,161,12.1,8.4,2
