reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6800,Mountain Goat,22,Beaver,7|2|9|10|9|1.6|100.0,"[7, 2, 9, 10, 9, 1.6, 100.0]",22 GO6800 Beaver 7 2 9 10 9 1.6 100.0,9.0,10,9.0,1.6,100.0,7.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6801,Mountain Goat,22,Beaver,4|4|8|9|9|6.1|88.9,"[4, 4, 8, 9, 9, 6.1, 88.9]",22 GO6801 Beaver 4 4 8 9 9 6.1 88.9,8.0,9,9.0,6.1,88.9,4.0,4.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6803,Mountain Goat,16,"Central Mtns, Nebo",9|3|12|13|13|7.0|92.3,"[9, 3, 12, 13, 13, 7.0, 92.3]","16 GO6803 Central Mtns, Nebo 9 3 12 13 13 7.0 92.3",12.0,13,13.0,7.0,92.3,9.0,3.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6821,Mountain Goat,16,"Central Mtns, Nebo (archery)",6|2|8|8|8|2.6|100.0,"[6, 2, 8, 8, 8, 2.6, 100.0]","16 GO6821 Central Mtns, Nebo (archery) 6 2 8 8 8 2.6 100.0",8.0,8,8.0,2.6,100.0,6.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6804,Mountain Goat,6/7,"Chalk Creek/Kamas, Uintas",6|2|8|11|11|5.7|72.7,"[6, 2, 8, 11, 11, 5.7, 72.7]","6/7 GO6804 Chalk Creek/Kamas, Uintas 6 2 8 11 11 5.7 72.7",8.0,11,11.0,5.7,72.7,6.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6817,Mountain Goat,13,"La Sal, La Sal Mtns",6|2|8|9|9|2.8|88.9,"[6, 2, 8, 9, 9, 2.8, 88.9]","13 GO6817 La Sal, La Sal Mtns 6 2 8 9 9 2.8 88.9",8.0,9,9.0,2.8,88.9,6.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6814,Mountain Goat,24,Mt Dutton,1|1|2|2|2|13.0|100.0,"[1, 1, 2, 2, 2, 13.0, 100.0]",24 GO6814 Mt Dutton 1 1 2 2 2 13.0 100.0,2.0,2,2.0,13.0,100.0,1.0,1.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6805,Mountain Goat,8/9,"North Slope/South Slope, High Uintas Central",10|0|10|10|10|3.0|100.0,"[10, 0, 10, 10, 10, 3.0, 100.0]","8/9 GO6805 North Slope/South Slope, High Uintas Central 10 0 10 10 10 3.0 100.0",10.0,10,10.0,3.0,100.0,10.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6815,Mountain Goat,8/9,"North Slope/South Slope, High Uintas Central (archery)",3|1|4|4|4|5.8|100.0,"[3, 1, 4, 4, 4, 5.8, 100.0]","8/9 GO6815 North Slope/South Slope, High Uintas Central (archery) 3 1 4 4 4 5.8 100.0",4.0,4,4.0,5.8,100.0,3.0,1.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6806,Mountain Goat,8/9,"North Slope/South Slope, High Uintas East",3|0|3|3|3|6.7|100.0,"[3, 0, 3, 3, 3, 6.7, 100.0]","8/9 GO6806 North Slope/South Slope, High Uintas East 3 0 3 3 3 6.7 100.0",3.0,3,3.0,6.7,100.0,3.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6807,Mountain Goat,8/9,"North Slope/South Slope, High Uintas Leidy Peak",3|0|3|3|3|3.0|100.0,"[3, 0, 3, 3, 3, 3.0, 100.0]","8/9 GO6807 North Slope/South Slope, High Uintas Leidy Peak 3 0 3 3 3 3.0 100.0",3.0,3,3.0,3.0,100.0,3.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6808,Mountain Goat,8/9,"North Slope/South Slope, High Uintas West",10|9|19|22|22|7.2|86.4,"[10, 9, 19, 22, 22, 7.2, 86.4]","8/9 GO6808 North Slope/South Slope, High Uintas West 10 9 19 22 22 7.2 86.4",19.0,22,22.0,7.2,86.4,10.0,9.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6809,Mountain Goat,3,"Ogden, Willard Peak",1|3|4|5|5|6.4|80.0,"[1, 3, 4, 5, 5, 6.4, 80.0]","3 GO6809 Ogden, Willard Peak 1 3 4 5 5 6.4 80.0",4.0,5,5.0,6.4,80.0,1.0,3.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,201,"Total mountain goat harvest by hunt, Utah 2021.",GO6818,Mountain Goat,17,"Wasatch Mtns, Box Elder Peak",1|0|1|1|1|5.0|100.0,"[1, 0, 1, 1, 1, 5.0, 100.0]","17 GO6818 Wasatch Mtns, Box Elder Peak 1 0 1 1 1 5.0 100.0",1.0,1,1.0,5.0,100.0,1.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
