reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7000,Black Bear,,Beaver,10|4|1|5|50,"[10, 4, 1, 5, 50]",BR7000 Beaver 10 4 1 5 50,5.0,10,1.0,5.0,50.0,4.0,1.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7001,Black Bear,,"Book Cliffs, Bitter Creek/South",45|9|2|11|24,"[45, 9, 2, 11, 24]","BR7001 Book Cliffs, Bitter Creek/South 45 9 2 11 24",11.0,45,2.0,11.0,24.0,9.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7017,Black Bear,,Cache/Ogden,1|0|0|0|0,"[1, 0, 0, 0, 0]",BR7017 Cache/Ogden 1 0 0 0 0,0.0,1,0.0,0.0,0.0,0.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7003,Black Bear,,"Central Mtns, Manti-North",19|5|3|8|42,"[19, 5, 3, 8, 42]","BR7003 Central Mtns, Manti-North 19 5 3 8 42",8.0,19,3.0,8.0,42.0,5.0,3.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7004,Black Bear,,"Central Mtns, Manti-South/San Rafael, North",14|10|0|10|71,"[14, 10, 0, 10, 71]","BR7004 Central Mtns, Manti-South/San Rafael, North 14 10 0 10 71",10.0,14,0.0,10.0,71.0,10.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7005,Black Bear,,"Central Mtns, Nebo",12|2|0|2|17,"[12, 2, 0, 2, 17]","BR7005 Central Mtns, Nebo 12 2 0 2 17",2.0,12,0.0,2.0,17.0,2.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7007,Black Bear,,"Fillmore, Pahvant",1|0|0|0|0,"[1, 0, 0, 0, 0]","BR7007 Fillmore, Pahvant 1 0 0 0 0",0.0,1,0.0,0.0,0.0,0.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7018,Black Bear,,"Kamas/North Slope, Summit",7|1|2|3|43,"[7, 1, 2, 3, 43]","BR7018 Kamas/North Slope, Summit 7 1 2 3 43",3.0,7,2.0,3.0,43.0,1.0,2.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7008,Black Bear,,La Sal,45|15|6|21|47,"[45, 15, 6, 21, 47]",BR7008 La Sal 45 15 6 21 47,21.0,45,6.0,21.0,47.0,15.0,6.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_black_bear_report.pdf,cf3d10ad60d1bfcd0bb508c78aec78ac6273c7207a577c1348b3f1ff8e5bbfb4,black_bear_annual_report,10,"Black bear spring limited-entry harvest, (any legal weapon, no bait allowed), by hunt, Utah 2021.",BR7009,Black Bear,,Mt Dutton,3|1|0|1|33,"[3, 1, 0, 1, 33]",BR7009 Mt Dutton 3 1 0 1 33,1.0,3,0.0,1.0,33.0,1.0,0.0,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
