hunt_code,reported_hunt_year,model_target_year,species,hunt_name,harvest_2021_sum,harvest_success_percent_2021_mean,harvest_average_days_2021_mean,harvest_hunters_afield_2021_sum,harvest_permits_2021_sum,source_row_count_2021,harvest_source_files_2021,harvest_quality_flags_2021
BR7007,2021,2022,Black Bear,"Fillmore, Pahvant",0.0,0.0,0.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7008,2021,2022,Black Bear,La Sal,21.0,47.0,21.0,6.0,45,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7009,2021,2022,Black Bear,Mt Dutton,1.0,33.0,1.0,0.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7010,2021,2022,Black Bear,Panguitch Lake/Zion,3.0,33.0,3.0,1.0,9,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7011,2021,2022,Black Bear,Paunsaugunt,3.0,100.0,3.0,1.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7012,2021,2022,Black Bear,"Plateau, Boulder/Kaiparowits",6.0,21.0,6.0,1.0,28,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7013,2021,2022,Black Bear,"Plateau, Fishlake/Thousand Lakes",1.0,25.0,1.0,0.0,4,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7014,2021,2022,Black Bear,San Juan,21.0,47.0,21.0,4.0,45,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7015,2021,2022,Black Bear,"South Slope, Bonanza/Diamond Mtn/Vernal",6.0,46.0,6.0,1.0,13,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7016,2021,2022,Black Bear,"Wasatch Mtns, West-Central",13.0,35.0,13.0,5.0,37,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7017,2021,2022,Black Bear,Cache/Ogden,0.0,0.0,0.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7018,2021,2022,Black Bear,"Kamas/North Slope, Summit",3.0,43.0,3.0,2.0,7,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
