container,member,source_kind,source_priority,raw_rows,normalized_rows,unique_hunt_codes,active_database_codes,reported_hunt_years,header_count
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_antlerless_deer.csv,zip_species_or_supplement,45,27,27,27,16,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_antlerless_elk.csv,zip_species_or_supplement,45,186,186,186,155,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_bison.csv,zip_species_or_supplement,45,13,13,13,7,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_black_bear.csv,zip_species_or_supplement,45,126,91,91,78,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_deer.csv,zip_species_or_supplement,45,344,344,306,257,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_desert_bighorn_sheep.csv,zip_species_or_supplement,45,21,21,21,15,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_elk.csv,zip_species_or_supplement,45,172,172,172,150,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_hunt_code_keyed.csv,zip_keyed,80,974,974,974,802,2021,15
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_moose.csv,zip_species_or_supplement,45,38,38,38,21,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_mountain_goat.csv,zip_species_or_supplement,45,17,17,17,15,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_pronghorn.csv,zip_species_or_supplement,45,85,85,85,75,2021,28
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_rocky_mountain_bighorn_sheep.csv,zip_species_or_supplement,45,18,18,18,13,2021,28
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_quality_features_by_hunt_code_2022_for_2023.csv,zip_quality,75,924,924,924,780,2022,18
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_all_long.csv,zip_long,60,1023,924,924,780,2022,34
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_antlerless.csv,zip_species_or_supplement,45,238,238,238,188,2022,34
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_black_bear.csv,zip_species_or_supplement,45,133,87,87,84,2022,34
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_cougar.csv,zip_species_or_supplement,45,53,0,0,0,,34
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_hunt_code_keyed.csv,zip_keyed,80,924,924,924,780,2022,34
pipeline\RAW\hunt_unit_database\2023\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_le_oial_all.csv,zip_species_or_supplement,45,599,599,599,508,2022,34
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_all_species_hunt_success_long.csv,zip_species_or_supplement,45,592,592,592,543,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_BISON_hunt_success.csv,zip_species_or_supplement,45,18,18,18,15,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_DEER_hunt_success.csv,zip_species_or_supplement,45,192,192,192,173,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_DESERT_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,16,16,16,15,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_ELK_hunt_success.csv,zip_species_or_supplement,45,211,211,211,204,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_MOOSE_hunt_success.csv,zip_species_or_supplement,45,36,36,36,22,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_MOUNTAIN_GOAT_hunt_success.csv,zip_species_or_supplement,45,17,17,17,17,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_PRONGHORN_hunt_success.csv,zip_species_or_supplement,45,88,88,88,83,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,14,14,14,14,2023,29
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_quality_features_by_hunt_code_all_species_2023.csv,zip_quality,75,592,592,592,543,2023,18
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,zip_species_or_supplement,45,138,4,3,3,2023,38
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_location_hunt_code_crosswalk_2023_bighorn_sheep.csv,zip_species_or_supplement,45,138,4,3,3,2023,14
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,zip_species_or_supplement,45,30,30,30,29,2023,23
pipeline\RAW\hunt_unit_database\2024\harvest_results_2023_all_species_database.zip,harvest_quality_features_bighorn_by_hunt_code_2023.csv,zip_quality,75,30,30,30,29,2023,18
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_statewide_history_1967_2000.csv,zip_species_or_supplement,45,34,0,0,0,,17
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_statewide_harvest_mortality_2001_2024.csv,zip_species_or_supplement,45,24,0,0,0,,21
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_unit_harvest_2024.csv,zip_species_or_supplement,45,24,0,0,0,,18
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_hunt_code_harvest_2024.csv,zip_species_or_supplement,45,87,87,87,83,2024,18
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_harvest_objective_2024.csv,zip_species_or_supplement,45,21,0,0,0,,17
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_statewide_pursuit_2002_2024.csv,zip_species_or_supplement,45,23,0,0,0,,16
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_restricted_pursuit_annual.csv,zip_species_or_supplement,45,20,0,0,0,,14
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_pursuit_by_unit_2024.csv,zip_species_or_supplement,45,46,0,0,0,,20
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_restricted_pursuit_by_unit_season_2024.csv,zip_species_or_supplement,45,9,0,0,0,,21
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/black_bear_unit_mortality_history_1990_2024.csv,zip_species_or_supplement,45,665,0,0,0,,23
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/harvest_quality_features_black_bear_2024_for_2025.csv,zip_quality,75,24,0,0,0,,37
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/harvest_results_2024_for_2025_black_bear_supplement_long.csv,zip_species_or_supplement,45,953,87,87,83,2024,66
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_black_bear_supplement.zip,harvest_reports_2024_for_2025_black_bear_supplement/harvest_results_2024_for_2025_all_long_enhanced_v3.csv,zip_long,60,4542,2910,1041,950,2024,88
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/harvest_results_2024_for_2025_all_long.csv,zip_long,60,2767,2767,1039,949,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/harvest_results_2024_for_2025_hunt_code_keyed.csv,zip_keyed,80,1039,1039,1039,949,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/harvest_quality_features_by_hunt_code_2024_for_2025.csv,zip_quality,75,1039,1039,1039,949,2024,21
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/harvest_unit_trend_rows_2024_for_2025.csv,zip_species_or_supplement,45,1523,0,0,0,,24
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_ANTLERLESS_DEER.csv,zip_species_or_supplement,45,42,42,21,20,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_ANTLERLESS_ELK.csv,zip_species_or_supplement,45,825,825,184,178,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_BISON.csv,zip_species_or_supplement,45,16,16,16,15,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_BLACK_BEAR.csv,zip_species_or_supplement,45,87,87,87,83,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_DESERT_BIGHORN_SHEEP.csv,zip_species_or_supplement,45,21,21,21,18,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_ELK.csv,zip_species_or_supplement,45,860,860,215,205,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_MOOSE.csv,zip_species_or_supplement,45,37,37,37,24,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_MOUNTAIN_GOAT.csv,zip_species_or_supplement,45,17,17,17,17,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_MULE_DEER.csv,zip_species_or_supplement,45,668,668,334,289,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_PRONGHORN.csv,zip_species_or_supplement,45,174,174,87,83,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_database.zip,harvest_reports_2024_for_2025_database/species/harvest_results_2024_for_2025_ROCKY_MOUNTAIN_BIGHORN_SHEEP.csv,zip_species_or_supplement,45,20,20,20,17,2024,40
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_reports_2024_for_2025_elk_age_supplement/elk_average_age_limited_entry_units_2015_2024.csv,zip_species_or_supplement,45,26,0,0,0,,24
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_reports_2024_for_2025_elk_age_supplement/elk_general_season_harvest_additional_2024.csv,zip_species_or_supplement,45,120,0,0,0,,16
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_reports_2024_for_2025_elk_age_supplement/big_game_oil_hunt_number_harvest_supplement_2024.csv,zip_species_or_supplement,45,385,385,385,360,2024,23
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_reports_2024_for_2025_elk_age_supplement/harvest_quality_features_elk_age_2024_for_2025.csv,zip_quality,75,26,0,0,0,,18
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_elk_age_supplement.zip,harvest_reports_2024_for_2025_elk_age_supplement/harvest_results_2024_for_2025_all_long_enhanced.csv,zip_long,60,2913,2767,1039,949,2024,47
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/desert_bighorn_statewide_1967_2024.csv,zip_species_or_supplement,45,58,0,0,0,,16
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/desert_bighorn_hunt_harvest_2024.csv,zip_species_or_supplement,45,22,22,22,19,2024,20
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/desert_bighorn_ram_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,170,0,0,0,,15
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/desert_bighorn_trend_count_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,16
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/mountain_goat_billy_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,14
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/mountain_goat_nanny_harvest_by_unit_2015_2024.csv,zip_species_or_supplement,45,150,0,0,0,,14
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/mountain_goat_hunt_harvest_2024.csv,zip_species_or_supplement,45,17,17,17,17,2024,21
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/bison_statewide_1950_2024.csv,zip_species_or_supplement,45,75,0,0,0,,18
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/bison_oial_hunt_harvest_2024.csv,zip_species_or_supplement,45,17,17,17,15,2024,21
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/harvest_results_2024_for_2025_extra_goat_bison_desert_sheep_long.csv,zip_species_or_supplement,45,676,56,56,51,2024,47
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/harvest_results_2024_for_2025_all_long_enhanced_v2.csv,zip_long,60,3589,2823,1041,950,2024,47
pipeline\RAW\hunt_unit_database\2025\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_reports_2024_for_2025_extra_oil_supplement/harvest_quality_features_extra_oil_2024_for_2025.csv,zip_quality,75,32,0,0,0,,18
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_fall_management_2024_by_region_area.csv,zip_species_or_supplement,45,16,0,0,0,,30
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_fall_management_statewide_history_2014_2024.csv,zip_species_or_supplement,45,11,0,0,0,,21
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_general_season_statewide_history_2010_2025.csv,zip_species_or_supplement,45,16,0,0,0,,21
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_harvest_results_2024_25_for_2026_all_long.csv,zip_long,60,157,7,7,7,2025,37
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_hunt_code_keyed_2025_for_2026.csv,zip_keyed,80,7,7,7,7,2025,20
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_limited_entry_cwmu_statewide_history_1991_2025.csv,zip_species_or_supplement,45,35,0,0,0,,22
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_quality_features_2024_25_for_2026.csv,zip_quality,75,98,0,0,0,,20
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_spring_general_season_2025_by_region_county.csv,zip_species_or_supplement,45,36,0,0,0,,27
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_spring_limited_entry_cwmu_2025_by_hunt.csv,zip_species_or_supplement,45,7,7,7,7,2025,25
pipeline\RAW\hunt_unit_database\2025\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_database/turkey_youth_general_season_2025_by_region_county.csv,zip_species_or_supplement,45,36,0,0,0,,27
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_all_long.csv,zip_long,60,1120,1120,1120,1090,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_hunt_code_keyed.csv,zip_keyed,80,1120,1120,1120,1090,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_quality_features_by_hunt_code_2025_for_2026.csv,zip_quality,75,1120,1120,1120,1090,2025,26
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_BISON_hunt_success.csv,zip_species_or_supplement,45,18,18,18,17,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_DEER_hunt_success.csv,zip_species_or_supplement,45,418,418,418,411,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_DESERT_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,25,25,25,25,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_ELK_hunt_success.csv,zip_species_or_supplement,45,455,455,455,451,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_MOOSE_hunt_success.csv,zip_species_or_supplement,45,44,44,44,31,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_MOUNTAIN_GOAT_hunt_success.csv,zip_species_or_supplement,45,18,18,18,18,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_PRONGHORN_hunt_success.csv,zip_species_or_supplement,45,121,121,121,116,2025,25
pipeline\RAW\hunt_unit_database\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,21,21,21,21,2025,25
pipeline\RAW\hunt_unit_database\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_harvest_reports_2023_24_for_2025_database/turkey_harvest_results_2023_24_for_2025_all_long.csv,zip_long,60,155,7,7,7,2024,31
pipeline\RAW\hunt_unit_database\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_harvest_reports_2023_24_for_2025_database/turkey_hunt_code_keyed_2024_for_2025.csv,zip_keyed,80,7,7,7,7,2024,31
pipeline\RAW\hunt_unit_database\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_harvest_reports_2023_24_for_2025_database/turkey_quality_features_2023_24_for_2025.csv,zip_quality,75,155,7,7,7,2024,25
