container,member,source_kind,source_priority,raw_rows,normalized_rows,unique_hunt_codes,active_database_codes,reported_hunt_years,header_count
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_bison.csv,zip_species_or_supplement,45,13,13,13,7,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_black_bear.csv,zip_species_or_supplement,45,126,91,91,78,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_deer.csv,zip_species_or_supplement,45,344,344,306,257,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_desert_bighorn_sheep.csv,zip_species_or_supplement,45,21,21,21,15,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_elk.csv,zip_species_or_supplement,45,172,172,172,150,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_moose.csv,zip_species_or_supplement,45,38,38,38,21,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_mountain_goat.csv,zip_species_or_supplement,45,17,17,17,15,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_pronghorn.csv,zip_species_or_supplement,45,85,85,85,75,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_rocky_mountain_bighorn_sheep.csv,zip_species_or_supplement,45,18,18,18,13,2021,28
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_hunt_code_keyed.csv,zip_keyed,80,974,974,974,802,2021,15
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,harvest_quality_features_by_hunt_code_2021_for_2022.csv,zip_quality,75,974,974,974,802,2021,13
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_all_long.csv,zip_long,60,1023,924,924,780,2022,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_hunt_code_keyed.csv,zip_keyed,80,924,924,924,780,2022,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_antlerless.csv,zip_species_or_supplement,45,238,238,238,188,2022,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_le_oial_all.csv,zip_species_or_supplement,45,599,599,599,508,2022,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_black_bear.csv,zip_species_or_supplement,45,133,87,87,84,2022,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_results_2022_for_2023_cougar.csv,zip_species_or_supplement,45,53,0,0,0,,34
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,harvest_quality_features_by_hunt_code_2022_for_2023.csv,zip_quality,75,924,924,924,780,2022,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_all_species_hunt_success_long.csv,zip_species_or_supplement,45,592,592,592,543,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_BISON_hunt_success.csv,zip_species_or_supplement,45,18,18,18,15,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_DEER_hunt_success.csv,zip_species_or_supplement,45,192,192,192,173,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_DESERT_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,16,16,16,15,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_ELK_hunt_success.csv,zip_species_or_supplement,45,211,211,211,204,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_MOOSE_hunt_success.csv,zip_species_or_supplement,45,36,36,36,22,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_MOUNTAIN_GOAT_hunt_success.csv,zip_species_or_supplement,45,17,17,17,17,2023,29
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,harvest_results_2023_PRONGHORN_hunt_success.csv,zip_species_or_supplement,45,88,88,88,83,2023,29
