source_page,source_row,raw_text,reject_reason
11,17,"EA1282 Elk Ogden, North Antlerless Archery Female Only 30 0",UNPARSEABLE_METRIC_TAIL
11,55,EA2042 Elk Fishlake|Thousand Lakes Conservation Any Legal Weapon Female Only 2 2 1 50.0 2.5,UNPARSEABLE_METRIC_TAIL
