check_id,printed_page,match_type,expected_text,source_note,status
guidebook_title,3,contains,2024-25 UTAH UPLAND GAME AND TURKEY GUIDEBOOK,title,PASS
turkey_drawing_period,3,contains,"CWMU in 2025, the application period runs from",what's new,PASS
fall_management_harvest,4,contains,Fall turkey management harvest hunt,what's new,PASS
turkey_depredation_permits,5,contains,Turkey depredation permits,what's new,PASS
air_rifles_allowed,5,contains,Air rifes allowed for specifc hunts,what's new,PASS
fall_2024_permits_available,6,contains,Fall 2024 management harvest permits available,key dates,PASS
limited_entry_applications_available,6,contains,"Limited-entry applications Dec. 12, 2024",key dates,PASS
spring_limited_dates,6,contains,"April 12-24, 2025",season dates,PASS
spring_youth_dates,6,contains,"April 25-27, 2025",season dates,PASS
spring_general_dates,6,contains,"April 28-May 31, 2025",season dates,PASS
turkey_permit_types,16,contains,Limited-entry permits (spring),turkey permits,PASS
general_season_permits,16,contains,General-season permits (spring),turkey permits,PASS
conservation_permits,16,contains,Conservation permits (spring),turkey permits,PASS
cwmu_permits,16,contains,Cooperative Wildlife Management Unit,turkey permits,PASS
management_harvest_permits,16,contains,Management harvest permits (fall),turkey permits,PASS
one_spring_permit,16,contains,Reminder: You may obtain one permit for,turkey permits,PASS
fall_three_permits,16,contains,An individual may obtain up to three fall man-,turkey permits,PASS
limited_entry_youth_set_aside,16,contains,Fifteen percent of Utah's turkey limited-entry,youth turkey,PASS
bonus_point_tky,19,contains,(TKY) on the application,bonus point code,PASS
fall_management_regions,20,contains,Central Region,fall management regions,PASS
fall_northern_region,20,contains,Northern Region,fall management regions,PASS
fall_southeastern_region,20,contains,Southeastern Region,fall management regions,PASS
spring_general_sale,20,contains,Spring general-season permits will be,spring general,PASS
jan_8_results,21,contains,January 8: Drawing results available,important dates,PASS
march_6_remaining,22,contains,March 6: Spring general-season,important dates,PASS
conservation_section,22,contains,Turkey conservation permits are available,conservation permits,PASS
cwmu_section,22,contains,Management Unit permits,CWMU permits,PASS
fall_hunt_table,38,contains,Wild turkey (Fall management harvest hunts),hunt tables,PASS
limited_entry_hunt_table,39,contains,Wild turkey (Limited-entry hunts),hunt tables,PASS
limited_entry_codes,39,contains,"Areas open: Central (TK1003), Northeastern",printed hunt codes,PASS
southern_limited_code,39,contains,(TK1006) and Southern (TK1007),printed hunt codes,PASS
cwmu_codes,39,contains,Pahvant Ensign (TK1018) and East Zion (TK1021),printed CWMU codes,PASS
spring_general_hunt_table,39,contains,Wild turkey (Spring general-season hunts),hunt tables,PASS
statewide_general_area,39,contains,Areas open: Statewide,spring general,PASS
species_identification,49,contains,The wild turkey,species identification,PASS
