source_file,source_sha256,guidebook_code,code_type,guidebook_name,guidebook_context,database_present,database_hunt_name,database_species,database_hunt_type,database_weapon,database_season,permits_2026_total,predictive_present,predictive_hunt_name,name_resolution_status,status
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1003,hunt_code,Central,limited-entry area,true,Central Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",600,true,Central Area,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1004,hunt_code,Northeastern,limited-entry area,true,Northeastern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",347,true,Northeastern Area,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1005,hunt_code,Northern,limited-entry area,true,Northern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",500,true,Northern Area,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1006,hunt_code,Southeastern,limited-entry area,true,Southeastern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",250,true,Southeastern Area,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1007,hunt_code,Southern,limited-entry area,true,Southern Area,Turkey,Limited Entry,Any Legal Weapon,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",542,true,Southern Area,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1018,hunt_code,Pahvant Ensign,CWMU area,true,Pahvant Ensign CWMU,Turkey,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,6,true,Pahvant Ensign CWMU,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TK1021,hunt_code,East Zion,CWMU area,true,East Zion CWMU,Turkey,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,4,true,East Zion CWMU,true,PASS
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Turkey.pdf,c2d54eff8304c6b93d549cc59cba17a5df2cb0fcc22cb723d3befc088beab149,TKY,bonus_point_code,Turkey bonus point,bonus point application code,false,,,,,,,false,,true,PASS_BONUS_POINT_CODE_NOT_DATABASE_HUNT
