source_file,source_sha256,pdf_page,printed_page,line_number,hunt_code,guidebook_line_text,database_present,predictive_present,database_hunt_name,database_species,database_sex_type,database_hunt_type,database_weapon,permits_2026_res,permits_2026_nr,permits_2026_total,season
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,11,BR7000,Beaver BR7000 9 1 March 28-May 25,true,true,Beaver,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,9,1,10,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,12,BR7001,"Book Cliffs, Bitter Creek/South BR7001 49 5 March 28-May 25",true,true,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,49,5,54,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,13,BR7224,"Book Cliffs, Little Creek Roadless BR7224 14 1 March 28-May 25",true,true,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,14,1,15,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,14,BR7012,Boulder/Kaiparowits BR7012 20 2 March 28-May 25,true,true,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,20,2,22,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,15,BR7017,Cache/Ogden BR7017 2 0 March 28-May 25,true,true,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,2,0,2,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,16,BR7015,Diamond Mtn/Vernal/Bonanza BR7015 7 0 March 28-May 25,true,true,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,7,0,7,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,17,BR7021,Dolores Triangle (new) BR7021 2 0 March 28-May 25,true,true,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,2,0,2,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,18,BR7007,"Fillmore, Pahvant BR7007 1 0 March 28-May 25",true,true,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,1,0,1,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,19,BR7013,Fishlake/Thousand Lakes BR7013 7 0 March 28-May 25,true,true,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,7,0,7,"March 28 - May 25, 2026"
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,73,73,20,BR7018,"Kamas/North Slope, Summit BR7018 5 0 March 28-May 25",true,true,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,5,0,5,"March 28 - May 25, 2026"
