hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
DB1034,52,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Pine Valley DB1034 Oct. 28-Nov. 5
DB1037,51,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"San Juan, Elk Ridge DB1037 Sept. 23-Oct. 1"
DB1038,51,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Diamond Mtn DB1038 Sept. 23-Oct. 1
DB1039,53,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Yellowstone DB1039 Oct. 28-Nov. 5
DB1040,52,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Southwest Desert DB1040 Oct. 28-Nov. 5
DB1041,52,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,"Wasatch Mtns, East DB1041 Oct. 28-Nov. 5"
DB1042,51,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,"West Desert, Vernon DB1042 Sept. 23-Oct. 1"
DB1043,53,BUCK_DEER_HUNT_TABLES,Deer,Zion,Oct. 28-Nov. 5,Oct. 28-Nov. 5,,,Zion DB1043 Oct. 28-Nov. 5
DB1044,53,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,All limited-entry seasons,All limited-entry seasons,,,Book Cliffs DB1044 All limited-entry seasons
DB1045,53,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",All limited-entry seasons,All limited-entry seasons,,,"Fillmore, Oak Creek LE DB1045 All limited-entry seasons"
