hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
DB1264,72,CWMU_HUNT_TABLES,Deer,Mountain Meadow,Box Elder 1,,Box Elder,1,Mountain Meadow DB1264 Box Elder 1
DB1265,72,CWMU_HUNT_TABLES,Deer,Mountain Top,Morgan/Summit 2,,Morgan/Summit,2,Mountain Top DB1265 Morgan/Summit 2
DB1266,72,CWMU_HUNT_TABLES,Deer,Mt Carmel,Kane 3,,Kane,3,Mt Carmel DB1266 Kane 3
DB1269,72,CWMU_HUNT_TABLES,Deer,North Promontory,Box Elder 1,,Box Elder,1,North Promontory DB1269 Box Elder 1
DB1270,72,CWMU_HUNT_TABLES,Deer,Nucor West,Box Elder 1,,Box Elder,1,Nucor West DB1270 Box Elder 1
DB1271,72,CWMU_HUNT_TABLES,Deer,Oak Ranch,Sevier 3,,Sevier,3,Oak Ranch DB1271 Sevier 3
DB1272,72,CWMU_HUNT_TABLES,Deer,Old Woman Plateau,Sevier 3,,Sevier,3,Old Woman Plateau DB1272 Sevier 3
DB1273,72,CWMU_HUNT_TABLES,Deer,Park Valley Hereford,Box Elder 6,,Box Elder,6,Park Valley Hereford DB1273 Box Elder 6
DB1274,72,CWMU_HUNT_TABLES,Deer,Patmos Ridge,Carbon 1,,Carbon,1,Patmos Ridge DB1274 Carbon 1
DB1275,72,CWMU_HUNT_TABLES,Deer,Pine Canyon,Morgan 2,,Morgan,2,Pine Canyon DB1275 Morgan 2
DB1277,72,CWMU_HUNT_TABLES,Deer,Pocatello Valley,Box Elder 1,,Box Elder,1,Pocatello Valley DB1277 Box Elder 1
DB1279,72,CWMU_HUNT_TABLES,Deer,Preston Nutter Ranch,Carbon 1,,Carbon,1,Preston Nutter Ranch DB1279 Carbon 1
DB1280,72,CWMU_HUNT_TABLES,Deer,Promontory Point,Box Elder 1,,Box Elder,1,Promontory Point DB1280 Box Elder 1
DB1281,72,CWMU_HUNT_TABLES,Deer,Rattlesnake Pass,Box Elder 2,,Box Elder,2,Rattlesnake Pass DB1281 Box Elder 2
DB1282,72,CWMU_HUNT_TABLES,Deer,Redd Ranches,Grand/San Juan 2,,Grand/San Juan,2,Redd Ranches DB1282 Grand/San Juan 2
DB1283,72,CWMU_HUNT_TABLES,Deer,Roan Cliffs,Carbon 1,,Carbon,1,Roan Cliffs DB1283 Carbon 1
DB1285,72,CWMU_HUNT_TABLES,Deer,Sand Creek,Duchesne 1,,Duchesne,1,Sand Creek DB1285 Duchesne 1
DB1286,72,CWMU_HUNT_TABLES,Deer,Pisgah Mountain,Box Elder/Cache 2,,Box Elder/Cache,2,Pisgah Mountain DB1286 Box Elder/Cache 2
DB1287,72,CWMU_HUNT_TABLES,Deer,Scofield Canyons,Carbon/Utah 1,,Carbon/Utah,1,Scofield Canyons DB1287 Carbon/Utah 1
DB1288,72,CWMU_HUNT_TABLES,Deer,Scofield West,Carbon/Utah 2,,Carbon/Utah,2,Scofield West DB1288 Carbon/Utah 2
DB1289,72,CWMU_HUNT_TABLES,Deer,Sharp Mountain,Cache/Weber 2,,Cache/Weber,2,Sharp Mountain DB1289 Cache/Weber 2
DB1290,73,CWMU_HUNT_TABLES,Deer,Skull Crack,Morgan/Weber 1,,Morgan/Weber,1,Skull Crack DB1290 Morgan/Weber 1
DB1291,73,CWMU_HUNT_TABLES,Deer,Skull Valley South,Tooele 1,,Tooele,1,Skull Valley South DB1291 Tooele 1
DB1292,73,CWMU_HUNT_TABLES,Deer,Soldier Summit,Carbon/Utah/Wasatch 2,,Carbon/Utah/Wasatch,2,Soldier Summit DB1292 Carbon/Utah/Wasatch 2
DB1293,73,CWMU_HUNT_TABLES,Deer,South Canyon,Box Elder/Cache 1,,Box Elder/Cache,1,South Canyon DB1293 Box Elder/Cache 1
DB1294,73,CWMU_HUNT_TABLES,Deer,Spring Creek Acres,Cache 1,,Cache,1,Spring Creek Acres DB1294 Cache 1
DB1295,73,CWMU_HUNT_TABLES,Deer,Spring Creek/Dodge,San Juan 6,,San Juan,6,Spring Creek/Dodge DB1295 San Juan 6
DB1298,73,CWMU_HUNT_TABLES,Deer,Strawberry Ridge,Cache/Rich 1,,Cache/Rich,1,Strawberry Ridge DB1298 Cache/Rich 1
DB1299,73,CWMU_HUNT_TABLES,Deer,Summit Point,San Juan 3,,San Juan,3,Summit Point DB1299 San Juan 3
DB1300,73,CWMU_HUNT_TABLES,Deer,Thatcher Mountain,Box Elder 1,,Box Elder,1,Thatcher Mountain DB1300 Box Elder 1
DB1301,73,CWMU_HUNT_TABLES,Deer,Three C,Wasatch 2,,Wasatch,2,Three C DB1301 Wasatch 2
