source_file,source_sha256,hunt_code,source_class,resolution_status,guidebook_printed,guidebook_name_inferred,guidebook_line_text,database_present,hunt_master_present,point_ladder_present,predictive_present,draw_reality_present,database_hunt_name,predictive_hunt_name,database_species,database_sex_type,database_hunt_type,database_weapon,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,predictive_algorithm_status,name_resolution_status,notes
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1000,CURRENT_DATABASE_REFERENCE_CODE_NOT_PRINTED_IN_HUNT_TABLE,PASS_CURRENT_DATABASE_REFERENCE_CODE_RESOLVED,false,,,true,true,true,true,true,Black Bear - Statewide Permit,Sportsman Black Bear,Black Bear,Either Sex,Statewide,Any Legal Weapon,,,,,MODELED_SPORTSMAN_DRAW,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Database carries statewide permit label; predictive carries sportsman black bear model row.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1001,CURRENT_DATABASE_REFERENCE_CODE_NOT_PRINTED_IN_HUNT_TABLE,PASS_CURRENT_DATABASE_REFERENCE_CODE_RESOLVED,false,,,true,true,true,true,true,Black Bear Harvest Objective Units,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,Any Legal Weapon,,,,,MODELED_AVAILABILITY,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Guidebook text establishes availability/rule context; not printed as a hunt-table draw code.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1007,CURRENT_DATABASE_REFERENCE_CODE_NOT_PRINTED_IN_HUNT_TABLE,PASS_CURRENT_DATABASE_REFERENCE_CODE_RESOLVED,false,,,true,true,true,true,true,Black Bear Pursuit - Resident,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,Pursuit Only,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,MODELED_AVAILABILITY,NOT_PRINTED_IN_GUIDEBOOK_TABLE,Guidebook text establishes availability/rule context; not printed as a hunt-table draw code.
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1008,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Book Cliffs,Book Cliffs BR1008 26 2 July 5-July 16,true,true,true,true,true,Book Cliffs,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",26,2,28,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1009,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,La Sal,La Sal BR1009 14 1 July 5-July 16,true,true,true,true,true,La Sal,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",14,1,15,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1010,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,San Juan,San Juan BR1010 14 1 July 5-July 16,true,true,true,true,true,San Juan,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",14,1,15,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1011,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Book Cliffs,Book Cliffs BR1011 26 2 July 18-July 31,true,true,true,true,true,Book Cliffs,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",26,2,28,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1012,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,La Sal,La Sal BR1012 14 1 July 18-July 31,true,true,true,true,true,La Sal,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1013,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,San Juan,San Juan BR1013 14 1 July 18-July 31,true,true,true,true,true,San Juan,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
pipeline/RAW/hunt_unit_database/2026/pdf/regulations/2026 Bear Cougar Furbearer Guidebook.pdf,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,BR1015,GUIDEBOOK_PRINTED_HUNT_TABLE_CODE,PASS_CURRENT_GUIDEBOOK_CODE_RESOLVED,true,Book Cliffs,Book Cliffs BR1015 See below 2 March 28-May 25,true,true,true,true,true,Book Cliffs,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,MODELED_BONUS,PASS_GUIDEBOOK_TO_DATABASE_NAME,
