source_file,hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6500,64,BISON_HUNT_TABLES,Bison,Antelope Island,Dec. 4-Dec. 6,,,Antelope Island BI6500 Dec. 4-Dec. 6
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6503,64,BISON_HUNT_TABLES,Bison,Henry Mtns (hunter's choice),Nov. 4-Nov. 15,,,Henry Mtns (hunter's choice) BI6503 Nov. 4-Nov. 15
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6504,64,BISON_HUNT_TABLES,Bison,Henry Mtns (hunter's choice),Nov. 18-Nov. 29,,,Henry Mtns (hunter's choice) BI6504 Nov. 18-Nov. 29
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6505,64,BISON_HUNT_TABLES,Bison,Henry Mtns (cow only),Dec. 16-Dec. 27,,,Henry Mtns (cow only) BI6505 Dec. 16-Dec. 27
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6506,64,BISON_HUNT_TABLES,Bison,Henry Mtns (cow only),"Dec. 30, 2023-Jan. 16, 2024",,,"Henry Mtns (cow only) BI6506 Dec. 30, 2023-Jan. 16, 2024"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6509,64,BISON_HUNT_TABLES,Bison,"Henry Mtns (hunter's choice, archery)","Jan. 17-Jan. 31, 2024",,,"Henry Mtns (hunter's choice, archery) BI6509 Jan. 17-Jan. 31, 2024"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6516,64,BISON_HUNT_TABLES,Bison,Henry Mtns (hunter's choice),Dec. 2-Dec. 13,,,Henry Mtns (hunter's choice) BI6516 Dec. 2-Dec. 13
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6528,64,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South (hunter's choice, archery)",Aug. 19-Sept. 15,,,"Book Cliffs, Little Creek/South (hunter's choice, archery) BI6528 Aug. 19-Sept. 15"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6529,64,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South (cow only)",Oct. 21-Oct. 31,,,"Book Cliffs, Little Creek/South (cow only) BI6529 Oct. 21-Oct. 31"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,BI6530,64,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South (hunter's choice)",Sept. 16-Sept. 24,,,"Book Cliffs, Little Creek/South (hunter's choice) BI6530 Sept. 16-Sept. 24"
