species,species_short,page_number,species_line,output_pdf
"LIMITED ENTRY ELK","ELK",188,"Species: LIMITED ENTRY ELK - All Applicants","pipeline/RAW/hunt_unit_database/2025/formatted_tables/draw_odds_results/24_bg_master_species_pages/24_BG_MASTER_ELK_PAGE_188.pdf"
"LIMITED ENTRY PRONGHORN","PRONGHORN",398,"Species: LIMITED ENTRY PRONGHORN - All Applicants","pipeline/RAW/hunt_unit_database/2025/formatted_tables/draw_odds_results/24_bg_master_species_pages/24_BG_MASTER_PRONGHORN_PAGE_398.pdf"
"BULL MOOSE","MOOSE",537,"Species: BULL MOOSE - All Applicants","pipeline/RAW/hunt_unit_database/2025/formatted_tables/draw_odds_results/24_bg_master_species_pages/24_BG_MASTER_MOOSE_PAGE_537.pdf"
"ROCKY MTN SHEEP","ROCKY_MTN_SHEEP",573,"Species: ROCKY MTN SHEEP - All Applicants","pipeline/RAW/hunt_unit_database/2025/formatted_tables/draw_odds_results/24_bg_master_species_pages/24_BG_MASTER_ROCKY_MTN_SHEEP_PAGE_573.pdf"
