hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,compiled_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,quota_source_used,compiled_quota_values,compiled_quota_source_status,algorithm_status,draw_system_type,classification
DB1592,Resident,Kamas,Kamas,Deer,General Season,Any Legal Weapon (Early),213,179,-34,34,-16.0,0,213,431,66,compiled_prediction,179,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,DECREASE
DB1778,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Dedicated Hunter,94,60,-34,34,-36.2,0,94,95,21,compiled_prediction,60,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1518,Nonresident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Archery,41,73,32,32,78.0,0,41,52,66,compiled_prediction,73,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1536,Resident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Late),796,827,31,31,3.9,0,796,2495,66,compiled_prediction,827,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1788,Resident,Fishlake,Fishlake,Deer,General Season,Dedicated Hunter,76,45,-31,31,-40.8,0,76,137,42,compiled_prediction,45,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
EB3022,Resident,Wasatch Mtns,Limited-entry Archery Bull Elk - Wasatch Mtns - Archery,Elk,Limited Entry,Archery,160,130,-30,30,-18.8,80,80,1018,33,compiled_prediction,130,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
DB1553,Nonresident,Yellowstone,Yellowstone,Deer,General Season,Any Legal Weapon (Late),57,86,29,29,50.9,0,57,101,66,compiled_prediction,86,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1237,Nonresident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,13,41,28,28,215.4,0,13,13,36,compiled_prediction,41,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
DB1526,Nonresident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Archery,68,95,27,27,39.7,0,68,68,66,compiled_prediction,95,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1559,Nonresident,Zion,Zion,Deer,General Season,Any Legal Weapon (Late),109,136,27,27,24.8,0,109,349,66,compiled_prediction,136,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1106,Resident,"Wasatch Mtns, Avintaquin","Wasatch Mtns, Avintaquin",Elk,General Season,Any Legal Weapon,153,180,27,27,17.6,0,153,153,36,DATABASE_fallback,,,,,INCREASE
DB1017,Resident,"Book Cliffs, North","Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",Deer,Limited Entry,Any Legal Weapon,111,137,26,26,23.4,56,55,2454,33,compiled_prediction,137,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1547,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Late),96,122,26,26,27.1,0,96,571,66,compiled_prediction,122,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1584,Resident,Southwest Desert,Southwest Desert,Deer,General Season,Muzzleloader,63,89,26,26,41.3,0,63,94,66,compiled_prediction,89,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1792,Resident,Yellowstone,Yellowstone,Deer,General Season,Dedicated Hunter,88,62,-26,26,-29.5,0,88,128,42,compiled_prediction,62,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1524,Resident,Southwest Desert,Southwest Desert,Deer,General Season,Archery,64,89,25,25,39.1,0,64,107,66,compiled_prediction,89,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1546,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Late),78,102,24,24,30.8,0,78,374,66,compiled_prediction,102,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1568,Resident,Kamas,Kamas,Deer,General Season,Muzzleloader,170,194,24,24,14.1,0,170,171,66,compiled_prediction,194,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1777,Resident,Kamas,Kamas,Deer,General Season,Dedicated Hunter,31,55,24,24,77.4,0,31,33,21,compiled_prediction,55,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
EA1085,Resident,Vernal/Bonanza,Vernal/Bonanza,Elk,General Season,Archery,68,92,24,24,35.3,0,68,68,36,compiled_prediction,92,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
EA1278,Resident,"Manti, Ferron-Nelson Mtn","Manti, Ferron-Nelson Mtn",Elk,General Season,Any Legal Weapon,21,45,24,24,114.3,0,21,21,36,DATABASE_fallback,,,,,INCREASE
DB1529,Nonresident,Zion,Zion,Deer,General Season,Archery,45,68,23,23,51.1,0,45,102,66,compiled_prediction,68,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1536,Nonresident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Late),70,93,23,23,32.9,0,70,128,66,compiled_prediction,93,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1798,Nonresident,Zion,Zion,Deer,General Season,Dedicated Hunter,3,26,23,23,766.7,0,3,19,42,compiled_prediction,26,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1570,Resident,Monroe,Monroe,Deer,General Season,Muzzleloader,175,197,22,22,12.6,0,175,432,66,compiled_prediction,197,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1793,Nonresident,Southwest Desert,Southwest Desert,Deer,General Season,Dedicated Hunter,1,23,22,22,2200.0,0,1,3,21,compiled_prediction,23,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1793,Resident,Southwest Desert,Southwest Desert,Deer,General Season,Dedicated Hunter,1,23,22,22,2200.0,0,1,88,21,compiled_prediction,23,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
EA2033,Nonresident,Kamas,Kamas,Elk,General Season,Archery,3,25,22,22,733.3,0,3,3,20,DATABASE_fallback,,,,,INCREASE
DB1585,Nonresident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Muzzleloader,42,63,21,21,50.0,0,42,43,66,compiled_prediction,63,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EB3073,Resident,Wasatch Mtns,Limited-entry Alw (rifle) Bull Elk - Late - Wasatch Mtns - Any Legal Weapon,Elk,Limited Entry,Any Legal Weapon,110,89,-21,21,-19.1,55,55,1089,33,compiled_prediction,89,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
DB1589,Nonresident,Zion,Zion,Deer,General Season,Muzzleloader,48,68,20,20,41.7,0,48,68,66,compiled_prediction,68,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
BI6506,Resident,Henry Mtns,Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,Once-in-a-lifetime,Any Legal Weapon,30,11,-19,19,-63.3,15,15,384,33,compiled_prediction,11,official,MODELED_BONUS,BONUS_OIL_BIG_GAME,DECREASE
DB1561,Nonresident,Box Elder,Box Elder,Deer,General Season,Muzzleloader,21,40,19,19,90.5,0,21,21,66,compiled_prediction,40,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA2034,Nonresident,"Nine Mile, Anthro","Nine Mile, Anthro",Elk,General Season,Archery,1,20,19,19,1900.0,0,1,1,20,DATABASE_fallback,,,,,INCREASE
DB1107,Resident,Thousand Lakes,Thousand Lakes,Deer,Limited Entry,Restricted Muzzleloader,2,20,18,18,900.0,1,1,2,33,compiled_prediction,20,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1522,Nonresident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Archery,25,43,18,18,72.0,0,25,39,66,compiled_prediction,43,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1586,Nonresident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Muzzleloader,11,29,18,18,163.6,0,11,11,66,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1268,Nonresident,"North Slope, Summit","North Slope, Summit",Elk,General Season,Archery,2,20,18,18,900.0,0,2,2,36,DATABASE_fallback,,,,,INCREASE
EA1282,Nonresident,"Ogden, North","Ogden, North",Elk,General Season,Archery,2,20,18,18,900.0,0,2,2,20,DATABASE_fallback,,,,,INCREASE
EB3100,Resident,Wasatch Mtns,Limited-entry Muzzleloader Bull Elk - Wasatch Mtns - Muzzleloader,Elk,Limited Entry,Muzzleloader,96,78,-18,18,-18.8,48,48,605,33,compiled_prediction,78,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
BI6505,Resident,Henry Mtns,Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,Once-in-a-lifetime,Any Legal Weapon,25,8,-17,17,-68.0,13,12,343,33,compiled_prediction,8,official,MODELED_BONUS,BONUS_OIL_BIG_GAME,DECREASE
DB1597,Nonresident,Zion,Zion,Deer,General Season,Any Legal Weapon (Early),52,69,17,17,32.7,0,52,117,66,compiled_prediction,69,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1539,Nonresident,La Sal Mtns,La Sal Mtns,Deer,General Season,Any Legal Weapon (Late),93,109,16,16,17.2,0,93,302,66,compiled_prediction,109,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1543,Nonresident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Late),61,77,16,16,26.2,0,61,61,66,compiled_prediction,77,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1552,Nonresident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Any Legal Weapon (Late),55,71,16,16,29.1,0,55,139,66,compiled_prediction,71,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1566,Nonresident,Fillmore,Fillmore,Deer,General Season,Muzzleloader,30,46,16,16,53.3,0,30,30,66,compiled_prediction,46,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1779,Resident,Monroe,Monroe,Deer,General Season,Dedicated Hunter,59,43,-16,16,-27.1,0,59,155,42,compiled_prediction,43,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1780,Resident,Mt Dutton,Mt Dutton,Deer,General Season,Dedicated Hunter,5,21,16,16,320.0,0,5,53,42,compiled_prediction,21,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1781,Resident,Nine Mile,Nine Mile,Deer,General Season,Dedicated Hunter,45,61,16,16,35.6,0,45,45,42,compiled_prediction,61,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1024,Resident,"West Desert, Vernon","Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",Deer,Limited Entry,Any Legal Weapon,115,130,15,15,13.0,58,57,2659,33,compiled_prediction,130,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1542,Nonresident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Late),30,45,15,15,50.0,0,30,32,66,compiled_prediction,45,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1576,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Muzzleloader,36,51,15,15,41.7,0,36,105,66,compiled_prediction,51,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1770,Nonresident,Box Elder,Box Elder,Deer,General Season,Dedicated Hunter,1,16,15,15,1500.0,0,1,1,42,compiled_prediction,16,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
EA1269,Nonresident,Ogden (Excludes Hyrum),Ogden (Excludes Hyrum),Elk,General Season,Any Legal Weapon,5,20,15,15,300.0,0,5,5,36,DATABASE_fallback,,,,,INCREASE
DB1511,Resident,Mt Dutton,Mt Dutton,Deer,General Season,Archery,57,71,14,14,24.6,0,57,128,45,compiled_prediction,71,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1564,Nonresident,Nebo,Nebo,Deer,General Season,Muzzleloader,14,28,14,14,100.0,0,14,14,66,compiled_prediction,28,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
BI6536,Resident,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Any Legal Weapon,2,15,13,13,650.0,1,1,131,33,compiled_prediction,15,official,MODELED_BONUS,BONUS_OIL_BIG_GAME,INCREASE
BR7307,Resident,La Sal,La Sal,Black Bear,Multiseason - Conservation,Multiseason,13,0,-13,13,-100.0,7,6,307,23,compiled_prediction,0,,EXCLUDED_NOT_PREDICTIVE_DRAW,BEAR_DRAW,DECREASE
DB1504,Nonresident,Nebo,Nebo,Deer,General Season,Archery,31,44,13,13,41.9,0,31,31,66,compiled_prediction,44,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1516,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Archery,39,52,13,13,33.3,0,39,183,66,compiled_prediction,52,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1517,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Archery,48,61,13,13,27.1,0,48,155,66,compiled_prediction,61,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1544,Nonresident,Ogden,Ogden,Deer,General Season,Any Legal Weapon (Late),47,60,13,13,27.7,0,47,51,66,compiled_prediction,60,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1577,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Muzzleloader,48,61,13,13,27.1,0,48,137,66,compiled_prediction,61,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1117,Resident,Zion,Zion,Elk,General Season,Any Legal Weapon,185,198,13,13,7.0,0,185,265,36,compiled_prediction,198,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
PB5302,Resident,Deseret CWMU,Deseret CWMU,Pronghorn,CWMU,Any Legal Weapon,16,29,13,13,81.2,8,8,163,33,compiled_prediction,29,,MODELED_BONUS,BONUS_CWMU_BIG_GAME,INCREASE
DB1025,Resident,Book Cliffs,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,Deer,Limited Entry,Muzzleloader,43,55,12,12,27.9,22,21,473,33,compiled_prediction,55,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1502,Nonresident,Cache,Cache,Deer,General Season,Archery,42,54,12,12,28.6,0,42,43,66,compiled_prediction,54,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1506,Nonresident,Fillmore,Fillmore,Deer,General Season,Archery,34,46,12,12,35.3,0,34,53,66,compiled_prediction,46,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1541,Resident,Mt Dutton,Mt Dutton,Deer,General Season,Any Legal Weapon (Late),203,215,12,12,5.9,0,203,808,66,compiled_prediction,215,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1549,Nonresident,Fishlake,Fishlake,Deer,General Season,Any Legal Weapon (Late),42,54,12,12,28.6,0,42,116,66,compiled_prediction,54,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1582,Nonresident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Muzzleloader,17,29,12,12,70.6,0,17,21,66,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1591,Nonresident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Early),34,46,12,12,35.3,0,34,95,66,compiled_prediction,46,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1594,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Early),39,51,12,12,30.8,0,39,200,66,compiled_prediction,51,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1279,Resident,"Manti, Ferron-Nelson Mtn","Manti, Ferron-Nelson Mtn",Elk,General Season,Any Legal Weapon,33,45,12,12,36.4,0,33,33,36,DATABASE_fallback,,,,,INCREASE
TK1006,Nonresident,Southeastern Area,Southeastern Area,Turkey,Limited Entry,Any Legal Weapon,3,15,12,12,400.0,0,3,6,20,compiled_prediction,15,,MODELED_BONUS,BONUS_TURKEY,INCREASE
DB1011,Resident,Book Cliffs,Limited-entry Archery Buck Deer - Book Cliffs - Archery,Deer,Limited Entry,Archery,44,55,11,11,25.0,22,22,831,33,compiled_prediction,55,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1106,Resident,Thousand Lakes,Thousand Lakes,Deer,Limited Entry,Restricted Archery,9,20,11,11,122.2,4,5,9,33,compiled_prediction,20,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1569,Nonresident,La Sal Mtns,La Sal Mtns,Deer,General Season,Muzzleloader,26,37,11,11,42.3,0,26,62,66,compiled_prediction,37,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1571,Resident,Mt Dutton,Mt Dutton,Deer,General Season,Muzzleloader,60,71,11,11,18.3,0,60,103,66,compiled_prediction,71,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1269,Resident,Ogden (Excludes Hyrum),Ogden (Excludes Hyrum),Elk,General Season,Any Legal Weapon,191,180,-11,11,-5.8,0,191,254,36,DATABASE_fallback,,,,,DECREASE
EA1280,Nonresident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,7,18,11,11,157.1,0,7,7,36,DATABASE_fallback,,,,,INCREASE
EB3072,Resident,Wasatch Mtns,Limited-entry Alw (rifle) Bull Elk - Early - Wasatch Mtns - Any Legal Weapon,Elk,Limited Entry,Any Legal Weapon,65,54,-11,11,-16.9,33,32,2573,33,compiled_prediction,54,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
DB1509,Nonresident,La Sal Mtns,La Sal Mtns,Deer,General Season,Archery,27,37,10,10,37.0,0,27,106,66,compiled_prediction,37,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1572,Nonresident,Nine Mile,Nine Mile,Deer,General Season,Muzzleloader,8,18,10,10,125.0,0,8,8,66,compiled_prediction,18,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1775,Nonresident,Fillmore,Fillmore,Deer,General Season,Dedicated Hunter,14,4,-10,10,-71.4,0,14,15,42,compiled_prediction,4,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1795,Nonresident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Dedicated Hunter,3,13,10,10,333.3,0,3,3,42,compiled_prediction,13,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
EA1035,Resident,"Kamas, Oakley","Kamas, Oakley",Elk,General Season,Any Legal Weapon,107,117,10,10,9.3,0,107,140,36,compiled_prediction,117,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
EB3177,Resident,Nebo/San Pitch Mtns,Limited-entry Alw (rifle) Bull Elk - Mid - Nebo/san Pitch Mtns - Any Legal Weapon,Elk,Limited Entry,Any Legal Weapon,24,34,10,10,41.7,12,12,405,33,compiled_prediction,34,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
TK1004,Nonresident,Northeastern Area,Northeastern Area,Turkey,Limited Entry,Any Legal Weapon,1,11,10,10,1000.0,0,1,3,20,compiled_prediction,11,,MODELED_BONUS,BONUS_TURKEY,INCREASE
DB1058,Resident,Paunsaugunt,Paunsaugunt,Deer,Cactus Buck,Any Legal Weapon,27,18,-9,9,-33.3,14,13,132,33,compiled_prediction,18,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,DECREASE
DB1540,Nonresident,Monroe,Monroe,Deer,General Season,Any Legal Weapon (Late),57,66,9,9,15.8,0,57,154,66,compiled_prediction,66,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1581,Nonresident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Muzzleloader,47,56,9,9,19.1,0,47,112,66,compiled_prediction,56,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1583,Nonresident,Yellowstone,Yellowstone,Deer,General Season,Muzzleloader,20,29,9,9,45.0,0,20,22,66,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1787,Nonresident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Dedicated Hunter,15,6,-9,9,-60.0,0,15,15,42,compiled_prediction,6,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
EA2037,Nonresident,Yellowstone,Yellowstone,Elk,General Season,Archery,11,20,9,9,81.8,0,11,11,36,DATABASE_fallback,,,,,INCREASE
EB3010,Resident,Monroe,Limited-entry Archery Bull Elk - Monroe - Archery,Elk,Limited Entry,Archery,19,10,-9,9,-47.4,10,9,273,33,compiled_prediction,10,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
EB3197,Resident,Southwest Desert South,"Limited-entry Archery Bull Elk - Late - Southwest Desert, South - Archery",Elk,Limited Entry,Archery,9,18,9,9,100.0,5,4,15,33,compiled_prediction,18,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5052,Resident,"West Desert, Snake Valley","Limited-entry Alw (rifle) Buck Pronghorn - West Desert, Snake Valley - Any Legal Weapon",Pronghorn,Limited Entry,Any Legal Weapon,86,95,9,9,10.5,43,43,293,33,compiled_prediction,95,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5078,Resident,Parker Mtn,Limited-entry Muzzle Buck Pronghorn - Parker Mtn - Muzzleloader,Pronghorn,Limited Entry,Muzzleloader,54,45,-9,9,-16.7,27,27,75,33,compiled_prediction,45,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
TK1003,Nonresident,Central Area,Central Area,Turkey,Limited Entry,Any Legal Weapon,0,9,9,9,,0,0,1,20,compiled_prediction,9,,MODELED_BONUS,BONUS_TURKEY,NEW_OR_NO_2025_DRAW_AVAILABLE
BR7211,Resident,Nine Mile,Nine Mile,Black Bear,Limited Entry - Fall,Any Legal Weapon,18,26,8,8,44.4,10,8,18,23,compiled_prediction,26,,MODELED_BONUS,BEAR_DRAW,INCREASE
DB1512,Nonresident,Nine Mile,Nine Mile,Deer,General Season,Archery,13,21,8,8,61.5,0,13,13,66,compiled_prediction,21,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1519,Nonresident,Fishlake,Fishlake,Deer,General Season,Archery,19,27,8,8,42.1,0,19,56,66,compiled_prediction,27,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1523,Nonresident,Yellowstone,Yellowstone,Deer,General Season,Archery,21,29,8,8,38.1,0,21,26,66,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1593,Nonresident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Early),21,29,8,8,38.1,0,21,22,66,compiled_prediction,29,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1785,Nonresident,Panguitch Lake,Panguitch Lake,Deer,General Season,Dedicated Hunter,20,12,-8,8,-40.0,0,20,47,42,compiled_prediction,12,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
EA1064,Nonresident,Ogden,Ogden,Elk,General Season,Any Legal Weapon,0,8,8,8,,0,0,0,36,DATABASE_fallback,,,,,NEW_OR_NO_2025_DRAW_AVAILABLE
EA1272,Nonresident,"East Canyon, East","East Canyon, East",Elk,General Season,Any Legal Weapon,7,15,8,8,114.3,0,7,7,36,DATABASE_fallback,,,,,INCREASE
EB3126,Resident,Manti,"Limited-entry Alw (rifle) Bull Elk - Mid - Central Mtns, Manti - Any Legal Weapon",Elk,Limited Entry,Any Legal Weapon,183,175,-8,8,-4.4,92,91,1616,33,compiled_prediction,175,official,MODELED_BONUS,BONUS_LE_BIG_GAME,DECREASE
EB3173,Resident,Nebo/San Pitch Mtns,Limited-entry Archery Bull Elk - Nebo/san Pitch Mtns - Archery,Elk,Limited Entry,Archery,21,29,8,8,38.1,11,10,220,33,compiled_prediction,29,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5033,Resident,"Fillmore, Oak Creek South","Limited-entry Alw (rifle) Buck Pronghorn - Fillmore, Oak Creek South - Any Legal Weapon",Pronghorn,Limited Entry,Any Legal Weapon,38,46,8,8,21.1,19,19,415,33,compiled_prediction,46,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5076,Nonresident,Parker Mtn,Limited-entry Alw (rifle) Buck Pronghorn - Parker Mtn - Any Legal Weapon,Pronghorn,Limited Entry,Any Legal Weapon,7,15,8,8,114.3,4,3,225,33,compiled_prediction,15,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
PB5080,Resident,"Box Elder, Snowville","Box Elder, Snowville",Pronghorn,Limited Entry,Muzzleloader,1,9,8,8,800.0,1,0,1,33,compiled_prediction,9,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1016,Resident,"West Desert, Vernon","Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",Deer,Limited Entry,Archery,39,46,7,7,17.9,20,19,368,33,compiled_prediction,46,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
