hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,compiled_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,quota_source_used,compiled_quota_values,compiled_quota_source_status,algorithm_status,draw_system_type,classification
DB1518,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Archery,379,647,268,268,70.7,0,379,557,66,compiled_prediction,647,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1544,Resident,Ogden,Ogden,Deer,General Season,Any Legal Weapon (Late),1302,1560,258,258,19.8,0,1302,1870,66,compiled_prediction,1560,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1783,Resident,Ogden,Ogden,Deer,General Season,Dedicated Hunter,46,291,245,245,532.6,0,46,48,42,compiled_prediction,291,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1502,Resident,Cache,Cache,Deer,General Season,Archery,876,1106,230,230,26.3,0,876,1064,66,compiled_prediction,1106,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1529,Resident,Zion,Zion,Deer,General Season,Archery,397,607,210,210,52.9,0,397,520,66,compiled_prediction,607,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
TK1006,Resident,Southeastern Area,Southeastern Area,Turkey,Limited Entry,Any Legal Weapon,27,235,208,208,770.4,15,12,111,20,compiled_prediction,235,,MODELED_BONUS,BONUS_TURKEY,INCREASE
DB1589,Resident,Zion,Zion,Deer,General Season,Muzzleloader,407,607,200,200,49.1,0,407,437,66,compiled_prediction,607,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1798,Resident,Zion,Zion,Deer,General Season,Dedicated Hunter,32,230,198,198,618.8,0,32,242,42,compiled_prediction,230,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1551,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Any Legal Weapon (Late),1317,1511,194,194,14.7,0,1317,1639,66,compiled_prediction,1511,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1543,Resident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Late),979,1163,184,184,18.8,0,979,1418,66,compiled_prediction,1163,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1533,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Any Legal Weapon (Late),361,540,179,179,49.6,0,361,606,66,compiled_prediction,540,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA2033,Resident,Kamas,Kamas,Elk,General Season,Archery,47,225,178,178,378.7,0,47,47,20,DATABASE_fallback,,,,,INCREASE
EA2034,Resident,"Nine Mile, Anthro","Nine Mile, Anthro",Elk,General Season,Archery,8,180,172,172,2150.0,0,8,8,20,DATABASE_fallback,,,,,INCREASE
DB1573,Resident,North Slope,North Slope,Deer,General Season,Muzzleloader,425,596,171,171,40.2,0,425,428,66,compiled_prediction,596,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1282,Resident,"Ogden, North","Ogden, North",Elk,General Season,Archery,10,180,170,170,1700.0,0,10,10,20,DATABASE_fallback,,,,,INCREASE
DB1773,Resident,Nebo,Nebo,Deer,General Season,Dedicated Hunter,179,343,164,164,91.6,0,179,184,42,compiled_prediction,343,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1552,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Any Legal Weapon (Late),475,629,154,154,32.4,0,475,3105,66,compiled_prediction,629,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1546,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Late),750,898,148,148,19.7,0,750,2246,66,compiled_prediction,898,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1559,Resident,Zion,Zion,Deer,General Season,Any Legal Weapon (Late),1067,1214,147,147,13.8,0,1067,2974,66,compiled_prediction,1214,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1790,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Dedicated Hunter,58,205,147,147,253.4,0,58,58,21,compiled_prediction,205,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1514,Resident,Ogden,Ogden,Deer,General Season,Archery,384,530,146,146,38.0,0,384,493,66,compiled_prediction,530,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1280,Resident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,14,157,143,143,1021.4,0,14,14,36,DATABASE_fallback,,,,,INCREASE
DB1555,Nonresident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Any Legal Weapon (Late),253,390,137,137,54.2,0,253,320,66,compiled_prediction,390,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1572,Resident,Nine Mile,Nine Mile,Deer,General Season,Muzzleloader,127,262,135,135,106.3,0,127,128,66,compiled_prediction,262,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1517,Resident,Pine Valley,Pine Valley,Deer,General Season,Archery,408,539,131,131,32.1,0,408,648,66,compiled_prediction,539,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1597,Resident,Zion,Zion,Deer,General Season,Any Legal Weapon (Early),478,606,128,128,26.8,0,478,938,66,compiled_prediction,606,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1772,Resident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Dedicated Hunter,435,562,127,127,29.2,0,435,855,42,compiled_prediction,562,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1553,Resident,Yellowstone,Yellowstone,Deer,General Season,Any Legal Weapon (Late),628,754,126,126,20.1,0,628,2101,66,compiled_prediction,754,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA2037,Resident,Yellowstone,Yellowstone,Elk,General Season,Archery,58,180,122,122,210.3,0,58,58,36,DATABASE_fallback,,,,,INCREASE
DB1775,Resident,Fillmore,Fillmore,Deer,General Season,Dedicated Hunter,159,38,-121,121,-76.1,0,159,317,42,compiled_prediction,38,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1506,Resident,Fillmore,Fillmore,Deer,General Season,Archery,296,414,118,118,39.9,0,296,482,66,compiled_prediction,414,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1577,Resident,Pine Valley,Pine Valley,Deer,General Season,Muzzleloader,423,539,116,116,27.4,0,423,564,66,compiled_prediction,539,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1787,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Dedicated Hunter,180,64,-116,116,-64.4,0,180,183,42,compiled_prediction,64,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1786,Nonresident,Pine Valley,Pine Valley,Deer,General Season,Dedicated Hunter,1,114,113,113,11300.0,0,1,73,42,compiled_prediction,114,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1786,Resident,Pine Valley,Pine Valley,Deer,General Season,Dedicated Hunter,1,114,113,113,11300.0,0,1,555,42,compiled_prediction,114,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,INCREASE
DB1516,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Archery,336,448,112,112,33.3,0,336,778,66,compiled_prediction,448,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1794,Resident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Dedicated Hunter,381,269,-112,112,-29.4,0,381,513,42,compiled_prediction,269,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
DB1513,Resident,North Slope,North Slope,Deer,General Season,Archery,473,583,110,110,23.3,0,473,566,66,compiled_prediction,583,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1539,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Any Legal Weapon (Late),864,971,107,107,12.4,0,864,1695,66,compiled_prediction,971,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1566,Resident,Fillmore,Fillmore,Deer,General Season,Muzzleloader,312,414,102,102,32.7,0,312,382,66,compiled_prediction,414,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1522,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Archery,276,377,101,101,36.6,0,276,645,66,compiled_prediction,377,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1268,Resident,"North Slope, Summit","North Slope, Summit",Elk,General Season,Archery,79,180,101,101,127.8,0,79,79,36,DATABASE_fallback,,,,,INCREASE
DB1509,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Archery,227,323,96,96,42.3,0,227,390,66,compiled_prediction,323,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA2038,Nonresident,Wasatch Mtns,Wasatch Mtns,Elk,General Season,Archery,24,120,96,96,400.0,0,24,24,36,DATABASE_fallback,,,,,INCREASE
DB1576,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Muzzleloader,356,449,93,93,26.1,0,356,571,66,compiled_prediction,449,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1512,Resident,Nine Mile,Nine Mile,Deer,General Season,Archery,167,259,92,92,55.1,0,167,172,66,compiled_prediction,259,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1237,Resident,"La Sal, La Sal Mtns-North","La Sal, La Sal Mtns-North",Elk,General Season,Any Legal Weapon,43,134,91,91,211.6,0,43,43,36,compiled_prediction,134,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
DB1569,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Muzzleloader,235,323,88,88,37.4,0,235,366,66,compiled_prediction,323,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
EA1026,Resident,Chalk Creek,Chalk Creek,Elk,General Season,Any Legal Weapon,256,344,88,88,34.4,0,256,256,36,compiled_prediction,344,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
EA1189,Resident,"Wasatch Mtns, West-Central","Wasatch Mtns, West-Central",Elk,General Season,Muzzleloader,317,401,84,84,26.5,0,317,317,36,compiled_prediction,401,,MODELED_PREFERENCE,PREFERENCE_ANTLERLESS_ELK,INCREASE
DB1521,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Archery,421,504,83,83,19.7,0,421,538,66,compiled_prediction,504,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1594,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Early),367,449,82,82,22.3,0,367,1082,66,compiled_prediction,449,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1581,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Muzzleloader,426,504,78,78,18.3,0,426,454,66,compiled_prediction,504,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1785,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Dedicated Hunter,178,100,-78,78,-43.8,0,178,333,42,compiled_prediction,100,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
EB1007,Resident,Draw-only Youth Any Bull/Hunters Choice Elk,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,Any Legal Weapon,675,750,75,75,11.1,0,675,6597,33,compiled_prediction,750,,IN_SCOPE_MODEL_PENDING,YOUTH_GENERAL_ANY_BULL_ELK,INCREASE
DB1531,Resident,Box Elder,Box Elder,Deer,General Season,Any Legal Weapon (Late),1797,1871,74,74,4.1,0,1797,2920,66,compiled_prediction,1871,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1542,Resident,Nine Mile,Nine Mile,Deer,General Season,Any Legal Weapon (Late),441,515,74,74,16.8,0,441,831,66,compiled_prediction,515,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1534,Nonresident,Nebo,Nebo,Deer,General Season,Any Legal Weapon (Late),141,207,66,66,46.8,0,141,143,66,compiled_prediction,207,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1583,Resident,Yellowstone,Yellowstone,Deer,General Season,Muzzleloader,185,251,66,66,35.7,0,185,349,66,compiled_prediction,251,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1503,Nonresident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Archery,116,181,65,65,56.0,0,116,152,66,compiled_prediction,181,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1582,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Muzzleloader,187,251,64,64,34.2,0,187,396,66,compiled_prediction,251,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1598,Resident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Early),519,583,64,64,12.3,0,519,734,66,compiled_prediction,583,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1791,Resident,Vernal/Bonanza,Vernal/Bonanza,Deer,General Season,Dedicated Hunter,107,44,-63,63,-58.9,0,107,174,42,compiled_prediction,44,,MODELED_PREFERENCE,PREFERENCE_DEDICATED_HUNTER_DEER,DECREASE
PB5076,Resident,Parker Mtn,Limited-entry Alw (rifle) Buck Pronghorn - Parker Mtn - Any Legal Weapon,Pronghorn,Limited Entry,Any Legal Weapon,72,135,63,63,87.5,36,36,575,33,compiled_prediction,135,official,MODELED_BONUS,BONUS_LE_BIG_GAME,INCREASE
DB1595,Resident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Early),478,540,62,62,13.0,0,478,1361,66,compiled_prediction,540,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1591,Resident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Early),356,414,58,58,16.3,0,356,1039,66,compiled_prediction,414,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1523,Resident,Yellowstone,Yellowstone,Deer,General Season,Archery,194,251,57,57,29.4,0,194,567,66,compiled_prediction,251,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
DB1519,Resident,Fishlake,Fishlake,Deer,General Season,Archery,177,233,56,56,31.6,0,177,407,66,compiled_prediction,233,,MODELED_PREFERENCE,PREFERENCE_GENERAL_SEASON_BUCK_DEER,INCREASE
