hunt_code,target_hunt_name,target_species,target_hunt_type,target_weapon,target_boundary_id,database_present,database_hunt_name,database_species,database_boundary_id,target_2025_res,target_2025_nr,target_2025_total,target_2026_res,target_2026_nr,target_2026_total,database_2025_res,database_2025_nr,database_2025_total,database_2025_draw_res,database_2025_draw_nr,database_2025_draw_total,database_2026_res,database_2026_nr,database_2026_total,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,direct_rac_2026_res,direct_rac_2026_nr,direct_rac_2026_total,direct_rac_source_file,totalscan_high_conf_total,target_2025_vs_database_2025_status,target_2025_vs_database_2025_draw_status,target_2026_vs_database_2026_status,target_2026_vs_database_allotment_status,target_2026_vs_direct_rac_status,target_2026_vs_totalscan_status,database_2026_vs_direct_rac_status,database_allotment_vs_direct_rac_status,target_2025_to_2026_delta_total,database_2025_to_2026_delta_total,change_review_status,evidence_confidence,audit_notes
BI6516,Henry Mtns,Bison,Once-in-a-Lifetime,Any Legal Weapon,,YES,Henry Mtns,Bison,94,5,0,5,6,0,6,5,0,5,5,0,5,6,0,6,6,0,6,6,0,6,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,1,1,SMALL_CHANGE_ABS_5_OR_LESS,HIGH,
BI6531,"Book Cliffs, Little Creek/South",Bison,Once-in-a-Lifetime,Any Legal Weapon,,YES,"Book Cliffs, Little Creek/South",Bison,889,8,0,8,10,0,10,7,0,7,7,0,7,10,0,10,10,0,10,10,0,10,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,2,3,SMALL_CHANGE_ABS_5_OR_LESS,MEDIUM_2026_MATCHES_DATABASE,target first permit triple does not cleanly match DATABASE 2025 permits
BI6534,"Book Cliffs, Bitter Creek",Bison,Once-in-a-Lifetime,Any Legal Weapon,,YES,"Book Cliffs, Bitter Creek",Bison,667,5,0,5,10,0,10,5,0,5,5,0,5,10,0,10,10,0,10,10,0,10,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,5,5,SMALL_CHANGE_ABS_5_OR_LESS,HIGH,
BI6535,"Book Cliffs, Bitter Creek",Bison,Once-in-a-Lifetime,Any Legal Weapon,,YES,"Book Cliffs, Bitter Creek",Bison,667,5,0,5,8,0,8,5,0,5,5,0,5,8,0,8,8,0,8,8,0,8,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,3,3,SMALL_CHANGE_ABS_5_OR_LESS,HIGH,
BI6537,"Book Cliffs, Little Creek/South",Bison,Once-in-a-Lifetime,Any Legal Weapon,,YES,"Book Cliffs, Little Creek/South",Bison,889,5,5,10,8,7,15,5,5,10,5,5,10,8,7,15,8,7,15,8,7,15,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,5,5,SMALL_CHANGE_ABS_5_OR_LESS,HIGH,
BI6509,Henry Mtns,Bison,Once-in-a-Lifetime,Archery,,YES,Henry Mtns,Bison,94,4,0,4,5,0,5,4,0,4,4,0,4,5,0,5,5,0,5,5,0,5,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,1,1,SMALL_CHANGE_ABS_5_OR_LESS,HIGH,
BI6528,"Book Cliffs, Little Creek/South",Bison,Once-in-a-Lifetime,Archery,,YES,"Book Cliffs, Little Creek/South",Bison,889,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,0,0,NO_CHANGE,HIGH,
BI6532,"Book Cliffs, Bitter Creek",Bison,Once-in-a-Lifetime,Archery,,YES,"Book Cliffs, Bitter Creek",Bison,667,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,MATCH,MATCH,MATCH,MATCH,MATCH,LEFT_ONLY,MATCH,MATCH,0,0,NO_CHANGE,HIGH,
BI1000,Bison - Statewide Permit,Bison,Statewide,Any Legal Weapon,,YES,Bison - Statewide Permit,Bison,5000,,,,,,,,,,,,,,,,,,,,,,,,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,,,INSUFFICIENT_DATA,REVIEW_REQUIRED,
BR1007,Black Bear Pursuit - Resident,Black Bear,Pursuit,Pursuit Only,,YES,Black Bear Pursuit - Resident,Black Bear,5003,,,,,,,,,,,,,,,,,,,,,,,,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,BOTH_BLANK,,,INSUFFICIENT_DATA,REVIEW_REQUIRED,
