hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,required_surface_status,missing_required_surfaces,optional_predictive_status,missing_optional_surfaces,in_DATABASE,in_hunt_master_enriched,in_hunt_unit_reference_linked,in_point_ladder_view,in_draw_reality_engine,in_draw_reality_engine_predictive_v2
BI1000,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Bison,Bison Any legal weapon:,PASS,,PASS,,true,true,true,true,true,true
BI6500,65,BISON_HUNT_TABLES,Bison,Antelope Island,PASS,,PASS,,true,true,true,true,true,true
BI6503,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6504,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6505,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6506,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6509,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6516,65,BISON_HUNT_TABLES,Bison,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
BI6528,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",PASS,,PASS,,true,true,true,true,true,true
BI6529,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",PASS,,PASS,,true,true,true,true,true,true
BI6531,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",PASS,,PASS,,true,true,true,true,true,true
BI6532,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",PASS,,PASS,,true,true,true,true,true,true
BI6534,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",PASS,,PASS,,true,true,true,true,true,true
BI6535,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",PASS,,PASS,,true,true,true,true,true,true
BI6536,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",PASS,,PASS,,true,true,true,true,true,true
BI6537,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",PASS,,PASS,,true,true,true,true,true,true
BI6539,65,BISON_HUNT_TABLES,Bison,Henry Mtns (new),PASS,,PASS,,true,true,true,true,true,true
BR1000,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Black Bear,Black bear,PASS,,PASS,,true,true,true,true,true,true
DB0007,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Deer,Buck deer,PASS,,PASS,,true,true,true,true,true,true
DB0008,44,BUCK_DEER_HUNT_TABLES,Deer,Deer extended archery only,PASS,,PASS,,true,true,true,true,true,true
DB1000,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1001,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,PASS,,PASS,,true,true,true,true,true,true
DB1002,49,BUCK_DEER_HUNT_TABLES,Deer,Antelope Island,PASS,,PASS,,true,true,true,true,true,true
DB1003,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1004,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,PASS,,PASS,,true,true,true,true,true,true
DB1005,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1006,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,PASS,,PASS,,true,true,true,true,true,true
DB1007,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1008,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,PASS,,PASS,,true,true,true,true,true,true
DB1009,50,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns (any legal weapon),PASS,,PASS,,true,true,true,true,true,true
DB1010,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (any legal weapon),PASS,,PASS,,true,true,true,true,true,true
DB1011,50,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,PASS,,PASS,,true,true,true,true,true,true
DB1012,50,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",PASS,,PASS,,true,true,true,true,true,true
DB1013,50,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,PASS,,PASS,,true,true,true,true,true,true
DB1014,50,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",PASS,,PASS,,true,true,true,true,true,true
DB1015,50,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,PASS,,PASS,,true,true,true,true,true,true
DB1016,50,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",PASS,,PASS,,true,true,true,true,true,true
DB1017,51,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, North",PASS,,PASS,,true,true,true,true,true,true
DB1018,51,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, South",PASS,,PASS,,true,true,true,true,true,true
DB1019,51,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",PASS,,PASS,,true,true,true,true,true,true
DB1020,51,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,PASS,,PASS,,true,true,true,true,true,true
DB1022,51,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",PASS,,PASS,,true,true,true,true,true,true
DB1023,51,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,PASS,,PASS,,true,true,true,true,true,true
DB1024,51,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",PASS,,PASS,,true,true,true,true,true,true
DB1025,51,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,PASS,,PASS,,true,true,true,true,true,true
DB1026,51,BUCK_DEER_HUNT_TABLES,Deer,"Cache, Crawford Mtn",PASS,,PASS,,true,true,true,true,true,true
DB1028,52,BUCK_DEER_HUNT_TABLES,Deer,Fillmore,PASS,,PASS,,true,true,true,true,true,true
DB1029,51,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",PASS,,PASS,,true,true,true,true,true,true
DB1030,52,BUCK_DEER_HUNT_TABLES,Deer,Kamas,PASS,,PASS,,true,true,true,true,true,true
DB1031,51,BUCK_DEER_HUNT_TABLES,Deer,Dolores Triangle,PASS,,PASS,,true,true,true,true,true,true
DB1032,52,BUCK_DEER_HUNT_TABLES,Deer,Monroe,PASS,,PASS,,true,true,true,true,true,true
DB1033,52,BUCK_DEER_HUNT_TABLES,Deer,Nine Mile,PASS,,PASS,,true,true,true,true,true,true
DB1034,52,BUCK_DEER_HUNT_TABLES,Deer,Pine Valley,PASS,,PASS,,true,true,true,true,true,true
DB1037,51,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",PASS,,PASS,,true,true,true,true,true,true
DB1038,51,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,PASS,,PASS,,true,true,true,true,true,true
DB1039,53,BUCK_DEER_HUNT_TABLES,Deer,Yellowstone,PASS,,PASS,,true,true,true,true,true,true
DB1040,52,BUCK_DEER_HUNT_TABLES,Deer,Southwest Desert,PASS,,PASS,,true,true,true,true,true,true
DB1041,52,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, East",PASS,,PASS,,true,true,true,true,true,true
DB1042,51,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",PASS,,PASS,,true,true,true,true,true,true
DB1043,53,BUCK_DEER_HUNT_TABLES,Deer,Zion,PASS,,PASS,,true,true,true,true,true,true
DB1044,53,BUCK_DEER_HUNT_TABLES,Deer,Book Cliffs,PASS,,PASS,,true,true,true,true,true,true
DB1045,53,BUCK_DEER_HUNT_TABLES,Deer,"Fillmore, Oak Creek LE",PASS,,PASS,,true,true,true,true,true,true
DB1046,53,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Elk Ridge",PASS,,PASS,,true,true,true,true,true,true
DB1047,53,BUCK_DEER_HUNT_TABLES,Deer,Diamond Mtn,PASS,,PASS,,true,true,true,true,true,true
DB1048,53,BUCK_DEER_HUNT_TABLES,Deer,"West Desert, Vernon",PASS,,PASS,,true,true,true,true,true,true
DB1053,52,BUCK_DEER_HUNT_TABLES,Deer,Mt Dutton,PASS,,PASS,,true,true,true,true,true,true
DB1054,52,BUCK_DEER_HUNT_TABLES,Deer,Ogden,PASS,,PASS,,true,true,true,true,true,true
DB1055,52,BUCK_DEER_HUNT_TABLES,Deer,Fishlake,PASS,,PASS,,true,true,true,true,true,true
DB1058,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,PASS,,PASS,,true,true,true,true,true,true
DB1065,52,BUCK_DEER_HUNT_TABLES,Deer,North Slope,PASS,,PASS,,true,true,true,true,true,true
DB1073,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (archery),PASS,,PASS,,true,true,true,true,true,true
DB1074,50,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt (muzzleloader),PASS,,PASS,,true,true,true,true,true,true
DB1077,52,BUCK_DEER_HUNT_TABLES,Deer,Box Elder,PASS,,PASS,,true,true,true,true,true,true
DB1078,52,BUCK_DEER_HUNT_TABLES,Deer,Cache,PASS,,PASS,,true,true,true,true,true,true
DB1079,52,BUCK_DEER_HUNT_TABLES,Deer,Manti/San Rafael,PASS,,PASS,,true,true,true,true,true,true
DB1080,52,BUCK_DEER_HUNT_TABLES,Deer,Nebo,PASS,,PASS,,true,true,true,true,true,true
DB1081,52,BUCK_DEER_HUNT_TABLES,Deer,La Sal Mtns,PASS,,PASS,,true,true,true,true,true,true
DB1083,52,BUCK_DEER_HUNT_TABLES,Deer,Panguitch Lake,PASS,,PASS,,true,true,true,true,true,true
DB1084,52,BUCK_DEER_HUNT_TABLES,Deer,Boulder/Kaiparowits,PASS,,PASS,,true,true,true,true,true,true
DB1085,52,BUCK_DEER_HUNT_TABLES,Deer,"San Juan, Abajo Mtns",PASS,,PASS,,true,true,true,true,true,true
DB1086,52,BUCK_DEER_HUNT_TABLES,Deer,Vernal/Bonanza,PASS,,PASS,,true,true,true,true,true,true
DB1087,53,BUCK_DEER_HUNT_TABLES,Deer,"Wasatch Mtns, West",PASS,,PASS,,true,true,true,true,true,true
DB1090,53,BUCK_DEER_HUNT_TABLES,Deer,"Book Cliffs, Floy Canyon",PASS,,PASS,,true,true,true,true,true,true
DB1091,53,BUCK_DEER_HUNT_TABLES,Deer,Kaiparowits HAMSS,PASS,,PASS,,true,true,true,true,true,true
DB1100,52,BUCK_DEER_HUNT_TABLES,Deer,Chalk Creek,PASS,,PASS,,true,true,true,true,true,true
DB1101,52,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1103,52,BUCK_DEER_HUNT_TABLES,Deer,Morgan-South Rich,PASS,,PASS,,true,true,true,true,true,true
DB1105,53,BUCK_DEER_HUNT_TABLES,Deer,East Canyon,PASS,,PASS,,true,true,true,true,true,true
DB1106,50,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,PASS,,PASS,,true,true,true,true,true,true
DB1107,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,PASS,,PASS,,true,true,true,true,true,true
DB1108,51,BUCK_DEER_HUNT_TABLES,Deer,Thousand Lakes,PASS,,PASS,,true,true,true,true,true,true
