record_id,record_type,library_title,library_species,library_area,database_match_status,database_hunt_code,hunt_master_compare_status,hunt_master_row_count,hunt_master_residencies,hunt_master_draw_pools,hunt_master_point_row_count,field_mismatch_count,blank_database_runtime_value_count,field_mismatches,blank_database_runtime_values
doc_2025_big_game_field_regulations,document,2025 Big Game Field Regulations,Big Game,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2025_big_game_harvest_results,document,2025 Big Game Harvest Results,Big Game,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2025_big_game_permit_draw_results,document,2025 Big Game Permit Draw Results,Big Game,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2026_big_game_application_guidebook,document,2026 Big Game Application Guidebook,Big Game,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2025_bear_draw_results,document,2025 Bear Draw Results,Bear,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2026_bear_application_guidebook,document,2026 Bear Application Guidebook,Bear,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2025_turkey_draw_results,document,2025 Turkey Draw Results,Turkey,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2025_26_upland_game_turkey_guidebook,document,2025–26 Upland Game Turkey Guidebook,Turkey,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2026_expo_draw_results,document,2026 Expo Draw Results,Expo Draw,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
doc_2022_2024_conservation_permits,document,2022–2024 Conservation Permits,Multi-Species,,DOCUMENT_ROW_NOT_HUNT_CODED,,DOCUMENT_ROW_NOT_HUNT_CODED,0,,,0,0,0,,
permit_2022_2024_conservation_0001,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-North",Black Bear,"Central Mtns, Manti-North",MATCH_REVIEW,BR7303,FOUND_PRIOR_REVIEW_REQUIRED,2,Nonresident|Resident,standard,2,0,7,,"database_permits_2026_source->permits_2026_source: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_res->permit_allotment_2026_res: database blank, runtime has [13]; database_permit_allotment_2026_nr->permit_allotment_2026_nr: database blank, runtime has [1]; database_permit_allotment_2026_total->permit_allotment_2026_total: database blank, runtime has [14]; database_permit_allotment_2026_source->permit_allotment_2026_source: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]; database_permit_allotment_2026_source_file->permit_allotment_2026_source_file: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_status->permit_allotment_2026_status: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]"
permit_2022_2024_conservation_0002,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-South/San Rafael, North",Black Bear,"Central Mtns, Manti-South/San Rafael, North",MATCH_REVIEW,BR7304,FOUND_PRIOR_REVIEW_REQUIRED,2,Nonresident|Resident,standard,2,0,7,,"database_permits_2026_source->permits_2026_source: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_res->permit_allotment_2026_res: database blank, runtime has [18]; database_permit_allotment_2026_nr->permit_allotment_2026_nr: database blank, runtime has [2]; database_permit_allotment_2026_total->permit_allotment_2026_total: database blank, runtime has [20]; database_permit_allotment_2026_source->permit_allotment_2026_source: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]; database_permit_allotment_2026_source_file->permit_allotment_2026_source_file: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_status->permit_allotment_2026_status: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]"
permit_2022_2024_conservation_0003,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-South/San Rafael, North",Black Bear,"Central Mtns, Manti-South/San Rafael, North",MATCH_REVIEW,BR7304,FOUND_PRIOR_REVIEW_REQUIRED,2,Nonresident|Resident,standard,2,0,7,,"database_permits_2026_source->permits_2026_source: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_res->permit_allotment_2026_res: database blank, runtime has [18]; database_permit_allotment_2026_nr->permit_allotment_2026_nr: database blank, runtime has [2]; database_permit_allotment_2026_total->permit_allotment_2026_total: database blank, runtime has [20]; database_permit_allotment_2026_source->permit_allotment_2026_source: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]; database_permit_allotment_2026_source_file->permit_allotment_2026_source_file: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_status->permit_allotment_2026_status: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]"
permit_2022_2024_conservation_0004,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Nebo",Black Bear,"Central Mtns, Nebo",AMBIGUOUS_DATABASE_MATCH,BR7316,FOUND_PRIOR_REVIEW_REQUIRED,2,Nonresident|Resident,standard,2,0,7,,"database_permits_2026_source->permits_2026_source: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_res->permit_allotment_2026_res: database blank, runtime has [14]; database_permit_allotment_2026_nr->permit_allotment_2026_nr: database blank, runtime has [1]; database_permit_allotment_2026_total->permit_allotment_2026_total: database blank, runtime has [15]; database_permit_allotment_2026_source->permit_allotment_2026_source: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]; database_permit_allotment_2026_source_file->permit_allotment_2026_source_file: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_status->permit_allotment_2026_status: database blank, runtime has [FALLBACK_EXISTING_2026_PERMITS]"
permit_2022_2024_conservation_0005,permit_allocation,2022-2024 Mule Deer Foundation Black Bear - Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,AMBIGUOUS_DATABASE_MATCH,BR7324,FOUND_PRIOR_REVIEW_REQUIRED,2,Nonresident|Resident,standard,2,0,2,,"database_permits_2026_source->permits_2026_source: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]; database_permit_allotment_2026_source_file->permit_allotment_2026_source_file: database blank, runtime has [DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS]"
