permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Beaver,Archery,PB5000,Resident,10,11,1,MINOR,11,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
Beaver,Archery,PB5000,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
Beaver,Any Legal Weapon,PB5025,Resident,40,43,3,MINOR,43,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
Beaver,Any Legal Weapon,PB5025,Nonresident,4,5,1,MINOR,5,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Archery,PB5001,Resident,13,13,0,UNCHANGED,13,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Archery,PB5001,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,PB5026,Resident,50,50,0,UNCHANGED,50,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,PB5026,Nonresident,6,6,0,UNCHANGED,6,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, South",Archery,PB5002,Resident,7,8,1,MINOR,8,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, South",Archery,PB5002,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,PB5027,Resident,31,34,3,MINOR,34,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,PB5027,Nonresident,3,4,1,MINOR,4,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Promontory",Archery,PB5003,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Promontory",Archery,PB5003,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Promontory",Any Legal Weapon,PB5028,Resident,14,14,0,UNCHANGED,14,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Promontory",Any Legal Weapon,PB5028,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Puddle Valley",Archery,PB5004,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Puddle Valley",Archery,PB5004,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Puddle Valley",Any Legal Weapon,PB5029,Resident,14,14,0,UNCHANGED,14,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Puddle Valley",Any Legal Weapon,PB5029,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Archery,PB5005,Resident,9,9,0,UNCHANGED,9,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Archery,PB5005,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Any Legal Weapon,PB5030,Resident,27,28,1,MINOR,28,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Any Legal Weapon,PB5030,Nonresident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Muzzleloader,PB5080,Resident,9,9,0,UNCHANGED,9,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, Snowville",Muzzleloader,PB5080,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, West",Archery,PB5006,Resident,9,10,1,MINOR,10,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, West",Archery,PB5006,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
"Box Elder, West",Any Legal Weapon,PB5031,Resident,27,30,3,MINOR,30,True,2026-05-user-verified-table,User-provided limited-entry buck pronghorn comparison table for 2025 to 2026.
