permit_group,weapon,hunt_code,sex_type,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Antelope Island,Any Legal Weapon,BI6500,Hunters Choice,Resident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Antelope Island,Any Legal Weapon,BI6500,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6536,Female Only,Resident,3,15,12,SIGNIFICANT,15,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6536,Female Only,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6534,Hunters Choice,Resident,5,10,5,SIGNIFICANT,10,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6534,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6535,Hunters Choice,Resident,5,8,3,SIGNIFICANT,8,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Any Legal Weapon,BI6535,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Archery,BI6532,Hunters Choice,Resident,5,5,0,UNCHANGED,6,False,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Bitter Creek",Archery,BI6532,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6529,Female Only,Resident,8,8,0,UNCHANGED,8,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6529,Female Only,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6531,Hunters Choice,Resident,8,10,2,SIGNIFICANT,10,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6531,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6537,Hunters Choice,Resident,5,8,3,SIGNIFICANT,8,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Any Legal Weapon,BI6537,Hunters Choice,Nonresident,5,7,2,SIGNIFICANT,7,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Archery,BI6528,Hunters Choice,Resident,5,5,0,UNCHANGED,6,False,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
"Book Cliffs, Little Creek/South",Archery,BI6528,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6505,Female Only,Resident,25,8,-17,SIGNIFICANT,8,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6505,Female Only,Nonresident,4,3,-1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6506,Female Only,Resident,30,11,-19,SIGNIFICANT,11,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6506,Female Only,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6539,Female Only,Resident,0,11,11,SIGNIFICANT,11,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
Henry Mtns,Any Legal Weapon,BI6539,Female Only,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
Henry Mtns,Any Legal Weapon,BI6503,Hunters Choice,Resident,5,4,-1,MINOR,4,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6503,Hunters Choice,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6504,Hunters Choice,Resident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6504,Hunters Choice,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6516,Hunters Choice,Resident,5,6,1,MINOR,6,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,BI6516,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Archery,BI6509,Hunters Choice,Resident,4,5,1,MINOR,5,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
Henry Mtns,Archery,BI6509,Hunters Choice,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL bison comparison table for 2025 to 2026.
