hunt_code,server_found,server_boundary_ids,server_row_count,sample_boundary_name,sample_season,query_url
BI1000,YES,637|667|889,3,Bison - Statewide Permit,"Aug 1, 2026 - Jan 31, 2027",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BI1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR1000,YES,12|138|163|175|289|444|448|449|455|456|457|462|463|52|610|611|613|615|616|628|629|630|684|7|710|744|845|88|92|93,30,Black Bear - Statewide Permit,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR1000%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR1001,YES,175|251|289|444|449|455|462|463|52|610|613|615|616|617|628|630|710|744|845|88|92,21,Black Bear Harvest Objective Units,"Visit wildlife.utah.gov/bearharvest for units & closures.
You are required to complete the annual bear orientation course & carry proof while hunting bear.  Visit wildlife.utah.gov/bear for details.",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR1001%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR1007,YES,163|175|289|444|448|455|456|457|462|463|52|613|615|616|628|629|630|684|7|710|744|88,22,Black Bear Pursuit - Resident,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR1007%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR1018,YES,163|175|289|444|448|455|456|457|462|463|52|613|615|616|628|629|630|744|88,19,Black Bear Pursuit - Nonresident,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR1018%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR7123,YES,138|611,2,"Kamas/North Slope, Summit","May 25 - June 28, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR7123%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR7229,YES,138|611,2,"Kamas/North Slope, Summit","Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR7229%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
BR7321,YES,138|611,2,"Kamas/North Slope, Summit","Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27BR7321%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
CG9999,YES,117|140|143|16|163|172|191|226|234|237|239|243|247|26|276|29|444|445|446|56|57|59|609|613|625|629|63|630|632|633|634|635|668|672|681|683|684|685|71|711|729|730|75|752|753|76|8|818|819|86|88|94|97,53,Cougar - Statewide,None,https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27CG9999%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
DB0007,YES,108|138|15|163|185|206|248|32|609|610|611|612|613|615|621|625|628|629|630|632|633|635|636|7|714|802|85|94,28,Buck Deer - Statewide Permit,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/Boundaries_and_Tables/MapServer/1/query?where=HUNT_NUMBER%3D%27DB0007%27&outFields=HUNT_NUMBER%2CBOUNDARYID%2CBOUNDARY_NAME%2CSEASON&returnGeometry=false&f=pjson
