hunt_code,residency,hunt_name_2025,hunt_name_2026,species,hunt_type_2026,weapon_2026,draw_available_permits_2025,official_allotted_permits_2026,permit_delta_2026_minus_2025,abs_delta,percent_change,bonus_permits_2025,regular_permits_2025,eligible_applicants_2025,point_rows_2025,present_in_prediction_output,compiled_prediction_quota_values,compiled_quota_source_status,classification
DB1533,Resident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Any Legal Weapon (Late),4187,0,-4187,4187,-100.0,0,4187,10363,66,YES,4860,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1556,Resident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Any Legal Weapon (Late),3207,0,-3207,3207,-100.0,0,3207,3678,66,YES,4590,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1555,Resident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Any Legal Weapon (Late),3095,0,-3095,3095,-100.0,0,3095,6434,66,YES,3510,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1627,Resident,Cache,Cache,Deer,General Season,Restricted Rifle,2647,0,-2647,2647,-100.0,0,2647,2725,66,NO,,,MISSING_2026_LANE_QUOTA
DB1534,Resident,Nebo,Nebo,Deer,General Season,Any Legal Weapon (Late),2462,0,-2462,2462,-100.0,0,2462,3717,66,YES,2973,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1531,Resident,Box Elder,Box Elder,Deer,General Season,Any Legal Weapon (Late),1797,0,-1797,1797,-100.0,0,1797,2920,66,YES,1871,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1622,Resident,Oquirrh/Tintic,Oquirrh/Tintic,Deer,General Season,Any Legal Weapon (Late),1329,0,-1329,1329,-100.0,0,1329,2932,66,NO,,,MISSING_2026_LANE_QUOTA
DB1551,Resident,"San Juan, Abajo Mtns","San Juan, Abajo Mtns",Deer,General Season,Any Legal Weapon (Late),1317,0,-1317,1317,-100.0,0,1317,1639,66,YES,1511,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1544,Resident,Ogden,Ogden,Deer,General Season,Any Legal Weapon (Late),1302,0,-1302,1302,-100.0,0,1302,1870,66,YES,1560,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1563,Resident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Muzzleloader,1162,0,-1162,1162,-100.0,0,1162,1881,66,YES,1664,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1503,Resident,Manti/San Rafael,Manti/San Rafael,Deer,General Season,Archery,1106,0,-1106,1106,-100.0,0,1106,2146,66,YES,1619,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1629,Resident,Boulder/Kaiparowits,Boulder/Kaiparowits,Deer,General Season,Restricted Rifle,1094,0,-1094,1094,-100.0,0,1094,1320,66,NO,,,MISSING_2026_LANE_QUOTA
DB1526,Resident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Archery,1080,0,-1080,1080,-100.0,0,1080,1184,66,YES,1485,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1559,Resident,Zion,Zion,Deer,General Season,Any Legal Weapon (Late),1067,0,-1067,1067,-100.0,0,1067,2974,66,YES,1214,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1547,Resident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Late),1040,0,-1040,1040,-100.0,0,1040,4194,66,YES,1078,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1543,Resident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Late),979,0,-979,979,-100.0,0,979,1418,66,YES,1163,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1613,Resident,"Beaver, East","Beaver, East",Deer,General Season,Any Legal Weapon (Late),963,0,-963,963,-100.0,0,963,2164,66,NO,,,MISSING_2026_LANE_QUOTA
DB1502,Resident,Cache,Cache,Deer,General Season,Archery,876,0,-876,876,-100.0,0,876,1064,66,YES,1106,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1539,Resident,La Sal Mtns,La Sal Mtns,Deer,General Season,Any Legal Weapon (Late),864,0,-864,864,-100.0,0,864,1695,66,YES,971,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1585,Resident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Muzzleloader,847,0,-847,847,-100.0,0,847,1083,66,YES,1237,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1525,Resident,"Wasatch Mtns, East","Wasatch Mtns, East",Deer,General Season,Archery,809,0,-809,809,-100.0,0,809,1563,66,YES,1190,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1536,Resident,Fillmore,Fillmore,Deer,General Season,Any Legal Weapon (Late),796,0,-796,796,-100.0,0,796,2495,66,YES,827,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1599,Resident,Chalk Creek,Chalk Creek,Deer,General Season,Any Legal Weapon (Late),788,0,-788,788,-100.0,0,788,804,66,NO,,,MISSING_2026_LANE_QUOTA
DB1546,Resident,Panguitch Lake,Panguitch Lake,Deer,General Season,Any Legal Weapon (Late),750,0,-750,750,-100.0,0,750,2246,66,YES,898,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1603,Resident,East Canyon,East Canyon,Deer,General Season,Any Legal Weapon (Late),740,0,-740,740,-100.0,0,740,1125,66,NO,,,MISSING_2026_LANE_QUOTA
DB1631,Resident,Box Elder,Box Elder,Deer,General Season,Any Legal Weapon (Early),738,0,-738,738,-100.0,0,738,747,66,NO,,,MISSING_2026_LANE_QUOTA
DB1504,Resident,Nebo,Nebo,Deer,General Season,Archery,695,0,-695,695,-100.0,0,695,706,66,YES,1016,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
EB1007,Resident,Draw-only Youth Any Bull/Hunters Choice Elk,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,Any Legal Weapon,675,0,-675,675,-100.0,0,675,6597,33,YES,750,IN_SCOPE_MODEL_PENDING,MISSING_2026_LANE_QUOTA
DB1553,Resident,Yellowstone,Yellowstone,Deer,General Season,Any Legal Weapon (Late),628,0,-628,628,-100.0,0,628,2101,66,YES,754,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1607,Resident,Morgan-South Rich,Morgan-South Rich,Deer,General Season,Any Legal Weapon (Late),610,0,-610,610,-100.0,0,610,722,66,NO,,,MISSING_2026_LANE_QUOTA
EA2038,Resident,Wasatch Mtns,Wasatch Mtns,Elk,General Season,Archery,475,1080,605,605,127.4,0,475,475,36,NO,,,INCREASE
DB1625,Resident,Cedar/Stansbury,Cedar/Stansbury,Deer,General Season,Any Legal Weapon (Late),580,0,-580,580,-100.0,0,580,2295,66,NO,,,MISSING_2026_LANE_QUOTA
DB1540,Resident,Monroe,Monroe,Deer,General Season,Any Legal Weapon (Late),541,0,-541,541,-100.0,0,541,2246,66,YES,594,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1598,Resident,North Slope,North Slope,Deer,General Season,Any Legal Weapon (Early),519,0,-519,519,-100.0,0,519,734,66,YES,583,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1586,Resident,"Wasatch Mtns, West","Wasatch Mtns, West",Deer,General Season,Muzzleloader,507,0,-507,507,-100.0,0,507,515,66,YES,1551,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1561,Resident,Box Elder,Box Elder,Deer,General Season,Muzzleloader,499,0,-499,499,-100.0,0,499,506,66,YES,1000,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1595,Resident,Pine Valley,Pine Valley,Deer,General Season,Any Legal Weapon (Early),478,0,-478,478,-100.0,0,478,1361,66,YES,540,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
DB1597,Resident,Zion,Zion,Deer,General Season,Any Legal Weapon (Early),478,0,-478,478,-100.0,0,478,938,66,YES,606,MODELED_PREFERENCE,MISSING_2026_LANE_QUOTA
