reported_hunt_year,model_target_year,species,hunt_code,hunt_name,weapon,permits,harvest_hunters,harvest,harvest_success_percent,harvest_average_days,source_file,parse_status,do_not_use_for_permit_quota,do_not_use_for_p_draw_directly
2023,2024,Antlerless Deer,DA1001,"Box Elder, West Bear River",Any Legal Weapon,30,12,4,30,4.5,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer,DA1002,"Box Elder, West Bear River",Any Legal Weapon,28,18,10,55.6,3.5,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer Antlerless Deer,DA1003,"Monroe/Plateau,","Archery, Muzzleloader, Shotgun",15,12,38,25,3.6,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer,DA1009,"Pine Valley, Enterprise",Any Legal Weapon,25,20,18,90,2.6,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,CWMU Antlerless Deer,DA1011,George Creek,Any Legal Weapon,5,4,4,100,1,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,CWMU Antlerless Deer,DA1012,Junction Valley,Any Legal Weapon,15,13,24,100,2,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,CWMU Antlerless Deer,DA1013,Mt Carmel,Any Legal Weapon,5,4,3,75,1,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer,DA1018,"Pine Valley, New Harmony","Archery, Muzzleloader, Shotgun",18,14,14,64.3,3.4,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer,DA1027,"East Canyon, Davis-North Salt Lake",Any Legal Weapon,30,29,14,48.3,3.4,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
2023,2024,Antlerless Deer,DA1030,"Nine Mile, Price River Valley",Archery,25,18,7,38.9,5.9,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\2024_antlerless_hr.csv,POSITIONAL_HEADER_NORMALIZED,True,True
