file,hunt_code,changed,before,after
processed_data/hunt_master_enriched.csv,EA1270,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA1271,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA1271,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA2041,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA2041,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA2045,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA2045,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EB3128,FALSE,"{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}","{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}"
processed_data/hunt_master_enriched.csv,EB3128,FALSE,"{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}","{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}"
processed_data/hunt_master_enriched.csv,EB3209,FALSE,"{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Pilot Mtn"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}","{""data_status"": ""COMPLETE_TOTAL_ONLY"", ""hunt_name"": ""Box Elder, Pilot Mtn"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permit_status"": ""TOTAL_ONLY"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""public_permits_2026"": ""1"", ""weapon"": ""Multiseason""}"
