"hunt_code","hunt_name","boundary_id","geo_boundary_name","match_status","norm_hunt_name","norm_geo"
"DB1200","Alton - Premium Buck CWMU","526","Alton","MISMATCH","alton premium buck","string type feature properties geometry properties boundary name"
"DB1201","Alton - Management Buck CWMU","526","Alton","MISMATCH","alton management buck","string type feature properties geometry properties boundary name"
"DB1209","Blind Springs CWMU","500","Blind Spring","MISMATCH","blind springs","string type feature properties geometry properties boundary name"
"DB1330","Iron Spring CWMU","876","Iron Springs","MISMATCH","iron spring","string type feature properties geometry properties boundary name"
"DB1333","5S CWMU","878","5S Land and Livestock","MISMATCH","5s","string type feature properties geometry properties boundary name"
"DB1334","Alton - Cactus Buck CWMU","526","Alton","MISMATCH","alton cactus buck","string type feature properties geometry properties boundary name"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","MISMATCH","weber florence creek stillman creek","string type feature properties geometry properties boundary name"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","MISMATCH","weber florence creek stillman creek","string type feature properties geometry properties boundary name"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","MISMATCH","weber florence creek stillman creek","string type feature properties geometry properties boundary name"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","MISMATCH","weber florence creek stillman creek","string type feature properties geometry properties boundary name"
"PB5339","Iron Spring CWMU","876","Iron Springs","MISMATCH","iron spring","string type feature properties geometry properties boundary name"
