hunt_code,hunt_name,field,prior_generation_value,active_value,status,active_source
BI6503,Henry Mtns,permits_2025_res,5,4,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6503,Henry Mtns,permits_2025_total,7,6,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6505,Henry Mtns,permits_2025_nr,4,3,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6505,Henry Mtns,permits_2025_total,29,28,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6531,"Book Cliffs, Little Creek/South",permits_2025_res,8,7,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6531,"Book Cliffs, Little Creek/South",permits_2025_total,8,7,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6536,"Book Cliffs, Bitter Creek",permits_2025_res,3,2,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BI6536,"Book Cliffs, Bitter Creek",permits_2025_total,3,2,DIFFERS_FROM_PRIOR_GENERATION,2025_DRAW_RESULTS_TABLES
BR1008,Book Cliffs,permits_2025_res,,26,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1008,Book Cliffs,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1008,Book Cliffs,permits_2025_total,,28,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1009,La Sal,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1009,La Sal,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1009,La Sal,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1010,San Juan,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1010,San Juan,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1010,San Juan,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1011,Book Cliffs,permits_2025_res,,26,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1011,Book Cliffs,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1011,Book Cliffs,permits_2025_total,,28,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1012,La Sal,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1012,La Sal,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1012,La Sal,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1013,San Juan,permits_2025_res,,14,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1013,San Juan,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1013,San Juan,permits_2025_total,,15,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1015,Book Cliffs,permits_2025_res,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1015,Book Cliffs,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1015,Book Cliffs,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1016,San Juan,permits_2025_res,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1016,San Juan,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1016,San Juan,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1017,La Sal,permits_2025_res,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1017,La Sal,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR1017,La Sal,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7000,Beaver,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7000,Beaver,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7000,Beaver,permits_2025_total,,10,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7001,Book Cliffs Bitter Creek/South,permits_2025_res,,49,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7001,Book Cliffs Bitter Creek/South,permits_2025_nr,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7001,Book Cliffs Bitter Creek/South,permits_2025_total,,54,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7003,Manti North,permits_2025_res,,17,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7003,Manti North,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7003,Manti North,permits_2025_total,,19,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7004,Manti South/San Rafael North,permits_2025_res,,18,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7004,Manti South/San Rafael North,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7004,Manti South/San Rafael North,permits_2025_total,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7005,Nebo,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7005,Nebo,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7005,Nebo,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7007,Fillmore Pahvant,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7007,Fillmore Pahvant,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7007,Fillmore Pahvant,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7009,Mt Dutton,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7009,Mt Dutton,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7009,Mt Dutton,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7010,Panguitch Lake/Zion,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7010,Panguitch Lake/Zion,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7010,Panguitch Lake/Zion,permits_2025_total,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7011,Paunsaugunt,permits_2025_res,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7011,Paunsaugunt,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7011,Paunsaugunt,permits_2025_total,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7012,Boulder/Kaiparowits,permits_2025_res,,20,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7012,Boulder/Kaiparowits,permits_2025_nr,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7012,Boulder/Kaiparowits,permits_2025_total,,22,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7013,Fishlake/Thousand Lakes,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7013,Fishlake/Thousand Lakes,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7013,Fishlake/Thousand Lakes,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7014,San Juan,permits_2025_res,,35,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7014,San Juan,permits_2025_nr,,3,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7014,San Juan,permits_2025_total,,38,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7015,Diamond Mtn/Vernal/Bonanza,permits_2025_res,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7015,Diamond Mtn/Vernal/Bonanza,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7015,Diamond Mtn/Vernal/Bonanza,permits_2025_total,,7,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7016,Wasatch Mtns West-Central,permits_2025_res,,36,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7016,Wasatch Mtns West-Central,permits_2025_nr,,4,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7016,Wasatch Mtns West-Central,permits_2025_total,,40,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7017,Cache/Ogden,permits_2025_res,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7017,Cache/Ogden,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7017,Cache/Ogden,permits_2025_total,,2,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7018,Kamas/North Slope Summit,permits_2025_res,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7018,Kamas/North Slope Summit,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7018,Kamas/North Slope Summit,permits_2025_total,,5,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7020,Monroe,permits_2025_res,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7020,Monroe,permits_2025_nr,,0,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7020,Monroe,permits_2025_total,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7100,Beaver,permits_2025_res,,9,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
BR7100,Beaver,permits_2025_nr,,1,ACTIVE_ONLY,2025_DRAW_RESULTS_TABLES
