hunt_code,historical_hunt_code,current_hunt_code,hunt_name,species,reported_hunt_year,model_target_year,unit,unit_name,boundary_id,boundary_name,average_harvest_age,age_data_available,percent_5plus,percent_mature_or_5_plus,percent_adult_male,percent_adult_female,age_metric_type,age_source_scope,source_file,source_page,source_table_title,source_row_key,source_package_file,source_package_path,crosswalk_method,crosswalk_confidence,crosswalk_score,review_status,review_reason,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,quality_score_eligible,trophy_age_score_eligible,notes,database_code_present,database_hunt_name,database_species,database_match_notes
BR1000,,,Sportsman Black Bear,Black Bear,2026,2026,,,5001,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::630,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,,true,Black Bear - Statewide Permit,Black Bear,DIRECT_DATABASE_MATCH
BR1001,,,Black Bear Harvest Objective Units,Black Bear,2026,2026,,,5002,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::631,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,BEAR_HO_SOURCE_MISSING,true,Black Bear Harvest Objective Units,Black Bear,DIRECT_DATABASE_MATCH
BR1007,,,Black Bear Pursuit - Resident,Black Bear,2026,2026,,,5003,,,true,,,40.909,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::633,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,,true,Black Bear Pursuit - Resident,Black Bear,DIRECT_DATABASE_MATCH
BR1008,,,Book Cliffs,Black Bear,2026,2026,,,7,,,true,,,75,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::634,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|LOW_APPLICANT_COUNT,true,Book Cliffs,Black Bear,DIRECT_DATABASE_MATCH
BR1009,,,La Sal,Black Bear,2026,2026,,,684,,,true,,,31.818,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::639,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|LOW_APPLICANT_COUNT|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,La Sal,Black Bear,DIRECT_DATABASE_MATCH
BR1010,,,San Juan,Black Bear,2026,2026,,,710,,,true,,,52.941,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::651,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|LOW_APPLICANT_COUNT|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,San Juan,Black Bear,DIRECT_DATABASE_MATCH
BR1011,,,Book Cliffs,Black Bear,2026,2026,,,7,,,true,,,75,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::660,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|LOW_APPLICANT_COUNT,true,Book Cliffs,Black Bear,DIRECT_DATABASE_MATCH
BR1012,,,La Sal,Black Bear,2026,2026,,,684,,,true,,,31.818,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::665,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,La Sal,Black Bear,DIRECT_DATABASE_MATCH
BR1013,,,San Juan,Black Bear,2026,2026,,,710,,,true,,,52.941,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::675,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL|LOW_APPLICANT_COUNT|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,true,San Juan,Black Bear,DIRECT_DATABASE_MATCH
BR1015,,,Book Cliffs,Black Bear,2026,2026,,,7,,,true,,,75,,percent_adult_male,hunt_code_direct,draw_reality_engine_predictive_with_harvest_features.csv,,,draw_reality_engine_predictive_with_harvest_features.csv::682,harvest_age_features_by_hunt_code_all_years.csv,processed_data/harvest_age_features_by_hunt_code_all_years.csv,,medium,,REVIEW,PROXY_ONLY_NO_AVERAGE_AGE,true,true,false,false,FIRST_CHOICE_ONLY_MODEL,true,Book Cliffs,Black Bear,DIRECT_DATABASE_MATCH
