hunt_code,hunt_name,species,hunt_type,weapon,season_dates,residency,non_res,res,total,promotion_status,reason
LP5025,Beaver - Private Land Only,Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
LP5031,"Box Elder, West - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
LP5033,"Fillmore, Oak Creek South - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
LP5046,"San Rafael, North - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
LP5049,Southwest Desert - Private Land Only,Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
LP5051,"West Desert, Rush Valley - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Any Legal Weapon,Sept 13 2025 - Sept 21 2025 - Private Land Only,Private Land Only,,,,PROMOTED_REFERENCE_ONLY,"Promoted from current 2026 DWR Hunt Planner pronghorn private-land-only reference coverage; no draw odds, probability or quota value was invented."
