audit_type,blank_hunt_code_count,blank_reported_hunt_year_count,blank_species_count,column_count,duplicate_row_count,exists,field,file,missing_count,missingness_reason_counts,model_target_year_coverage,present_count,reported_hunt_year_coverage,row_count,severity,source_family_coverage,species_coverage,unique_hunt_code_count
,0,0,0,35,269,True,,data_truth\harvest_results_truth\normalized\harvest_results_all_years_long.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,68657,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|expanded_2023_quality_uploaded|expanded_2023_uploaded_long|extracted_2024_keyed|extracted_2024_quality|extracted_2025_keyed|turkey_2023_24_long|turkey_2023_24_quality|turkey_2024_keyed|zip_keyed|zip_long|zip_quality|zip_species_or_supplement,Antlerless Deer|Antlerless Deer Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Big Game OIL|Bighorn Sheep|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,35,0,True,,data_truth\harvest_results_truth\normalized\harvest_quality_features_all_years_by_hunt_code.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,5151,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|extracted_2024_keyed|extracted_2025_keyed|zip_keyed|zip_long,Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,35,269,True,,data_model\harvest_quality\harvest_results_all_years_long.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,68657,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|expanded_2023_quality_uploaded|expanded_2023_uploaded_long|extracted_2024_keyed|extracted_2024_quality|extracted_2025_keyed|turkey_2023_24_long|turkey_2023_24_quality|turkey_2024_keyed|zip_keyed|zip_long|zip_quality|zip_species_or_supplement,Antlerless Deer|Antlerless Deer Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Big Game OIL|Bighorn Sheep|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,35,0,True,,data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,5151,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|extracted_2024_keyed|extracted_2025_keyed|zip_keyed|zip_long,Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,35,269,True,,processed_data\harvest_results_all_years_long.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,68657,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|expanded_2023_quality_uploaded|expanded_2023_uploaded_long|extracted_2024_keyed|extracted_2024_quality|extracted_2025_keyed|turkey_2023_24_long|turkey_2023_24_quality|turkey_2024_keyed|zip_keyed|zip_long|zip_quality|zip_species_or_supplement,Antlerless Deer|Antlerless Deer Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Big Game OIL|Bighorn Sheep|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,35,0,True,,processed_data\harvest_quality_features_all_years_by_hunt_code.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,5151,,expanded_2023_antlerless_positional|expanded_2023_keyed_all_sources|extracted_2024_keyed|extracted_2025_keyed|zip_keyed|zip_long,Antlerless Deer|Antlerless Elk|Antlerless Elk Control|Antlerless Moose|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Doe Pronghorn|Elk|Ewe Bighorn Sheep|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Private Lands Only Antlerless Elk|Private-Lands Only Antlerless Elk|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,1424
,0,0,0,13,0,True,,processed_data\special_permit_overlay_classes_all_years.csv,,,2022|2023|2024|2025|2026,,2021|2022|2023|2024|2025,1531,,Antlerless|Antlerless Elk|Big Game|Black Bear|Black Bear Multi-season Limited Entry|CONSERVATION|CWMU|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Cactus|CWMU Doe Pronghorn|CWMU Management|Conservation|EXPO|Elk|Hunter's choice|Limited Entry|Mule Deer|OIAL|Premium Limited Entry|Pronghorn|Sportsman|Turkey Spring Limited Entry/CWMU|multi_season_limited_entry|spring_limited_entry_cwmu_by_hunt,Antlerless Deer|Antlerless Elk|Bison|Black Bear|CWMU Antlerless|CWMU Antlerless Deer|CWMU Antlerless Elk|CWMU Doe Pronghorn|Deer|Desert Bighorn Sheep|Elk|Limited Entry Buck Deer|Limited Entry Buck Pronghorn|Limited Entry Bull Elk|Limited Entry Bull Moose|Moose|Mountain Goat|Mule Deer|Once-in-a-Lifetime Bison|Once-in-a-Lifetime Desert Bighorn Sheep|Once-in-a-Lifetime Mountain Goat|Once-in-a-Lifetime Rocky Mountain Bighorn Sheep|Pronghorn|Rocky Mountain Bighorn Sheep|Turkey|Wild Turkey,399
required_field,,,,,,,reported_hunt_year,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,model_target_year,,0,{},,68657,,68657,PASS,,,
required_field,,,,,,,hunt_code,,0,{},,68657,,68657,PASS,,,
