unit,hunt_name,hunt_code,hunt_number,boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,member_boundary_ids,merged_boundary_id
,Nine Mile,BI6527,BI6527,615,single_kmz,mapped,processed_data/boundaries/BI6527.geojson,,
,"Nine Mile, Private Lands Only",BI6538,BI6538,615,single_kmz,mapped,processed_data/boundaries/BI6538.geojson,,
,Henry Mtns,BI6505,BI6505,94,single_kmz,mapped,processed_data/boundaries/BI6505.geojson,,
,Henry Mtns,BI6506,BI6506,94,single_kmz,mapped,processed_data/boundaries/BI6506.geojson,,
,"Book Cliffs, Little Creek/South",BI6529,BI6529,889,single_kmz,mapped,processed_data/boundaries/BI6529.geojson,,
,"Book Cliffs, Bitter Creek",BI6536,BI6536,667,single_kmz,mapped,processed_data/boundaries/BI6536.geojson,,
,Henry Mtns,BI6539,BI6539,94,single_kmz,mapped,processed_data/boundaries/BI6539.geojson,,
,Antelope Island,BI6500,BI6500,1,single_kmz,mapped,processed_data/boundaries/BI6500.geojson,,
,Henry Mtns,BI6503,BI6503,94,single_kmz,mapped,processed_data/boundaries/BI6503.geojson,,
,Henry Mtns,BI6504,BI6504,94,single_kmz,mapped,processed_data/boundaries/BI6504.geojson,,
,Henry Mtns,BI6516,BI6516,94,single_kmz,mapped,processed_data/boundaries/BI6516.geojson,,
,"Book Cliffs, Little Creek/South",BI6531,BI6531,889,single_kmz,mapped,processed_data/boundaries/BI6531.geojson,,
,"Book Cliffs, Bitter Creek",BI6534,BI6534,667,single_kmz,mapped,processed_data/boundaries/BI6534.geojson,,
,"Book Cliffs, Bitter Creek",BI6535,BI6535,667,single_kmz,mapped,processed_data/boundaries/BI6535.geojson,,
,"Book Cliffs, Little Creek/South",BI6537,BI6537,889,single_kmz,mapped,processed_data/boundaries/BI6537.geojson,,
,Henry Mtns,BI6509,BI6509,94,single_kmz,mapped,processed_data/boundaries/BI6509.geojson,,
,"Book Cliffs, Little Creek/South",BI6528,BI6528,889,single_kmz,mapped,processed_data/boundaries/BI6528.geojson,,
,"Book Cliffs, Bitter Creek",BI6532,BI6532,667,single_kmz,mapped,processed_data/boundaries/BI6532.geojson,,
,Bison - Statewide Permit,BI1000,BI1000,5000,merged_kmz,mapped,processed_data/boundaries/BI1000.geojson,667;889;637,BI1000_MERGED_2026
,Black Bear Pursuit - Resident,BR1007,BR1007,5003,merged_kmz,mapped,processed_data/boundaries/BR1007.geojson,7;52;163;289;444;616;628;629;684;710;175;88;613;615;630;448;455;456;457;462;463;744,BR1007_MERGED_2026
,Black Bear - Statewide Permit,BR1000,BR1000,5001,merged_kmz,mapped,processed_data/boundaries/BR1000.geojson,7;12;52;138;163;289;444;616;628;629;684;710;175;88;92;93;610;611;613;615;630;448;449;455;456;457;462;463;744;845,BR1000_MERGED_2026
,Cougar - Statewide,CG9999,CG9999,5107,merged_kmz,mapped,processed_data/boundaries/CG9999.geojson,8;16;26;29;117;140;143;243;247;276;444;625;629;668;672;681;683;684;685;711;163;172;191;226;234;237;239;56;57;59;63;71;75;76;86;88;94;97;609;613;630;632;633;634;635;445;446;729;730;752;753;818;819,CG9999_MERGED_2026
,George Creek CWMU,DA1011,DA1011,806,single_kmz,mapped,processed_data/boundaries/DA1011.geojson,,
,Junction Valley CWMU,DA1012,DA1012,589,single_kmz,mapped,processed_data/boundaries/DA1012.geojson,,
,Mt Carmel CWMU,DA1013,DA1013,533,single_kmz,mapped,processed_data/boundaries/DA1013.geojson,,
,The Rose of Snowville CWMU,DA1050,DA1050,509,single_kmz,mapped,processed_data/boundaries/DA1050.geojson,,
,Alton - Premium Buck CWMU,DB1200,DB1200,526,single_kmz,mapped,processed_data/boundaries/DB1200.geojson,,
,Alton - Management Buck CWMU,DB1201,DB1201,526,single_kmz,mapped,processed_data/boundaries/DB1201.geojson,,
,Antelope Creek CWMU,DB1202,DB1202,581,single_kmz,mapped,processed_data/boundaries/DB1202.geojson,,
,Avintaquin Canyon CWMU,DB1203,DB1203,599,single_kmz,mapped,processed_data/boundaries/DB1203.geojson,,
,Bally Watts CWMU,DB1204,DB1204,559,single_kmz,mapped,processed_data/boundaries/DB1204.geojson,,
,Bar J Ranch CWMU,DB1205,DB1205,527,single_kmz,mapped,processed_data/boundaries/DB1205.geojson,,
,Bear Mountain CWMU,DB1206,DB1206,582,single_kmz,mapped,processed_data/boundaries/DB1206.geojson,,
,Bear Springs CWMU,DB1207,DB1207,575,single_kmz,mapped,processed_data/boundaries/DB1207.geojson,,
,Blackhawk CWMU,DB1208,DB1208,874,single_kmz,mapped,processed_data/boundaries/DB1208.geojson,,
,Blind Springs CWMU,DB1209,DB1209,500,single_kmz,mapped,processed_data/boundaries/DB1209.geojson,,
,Blue Spring Hills CWMU,DB1211,DB1211,510,single_kmz,mapped,processed_data/boundaries/DB1211.geojson,,
,Bluebell CWMU,DB1212,DB1212,604,single_kmz,mapped,processed_data/boundaries/DB1212.geojson,,
,Boobe Hole CWMU,DB1213,DB1213,529,single_kmz,mapped,processed_data/boundaries/DB1213.geojson,,
,Buckhorn Ranch CWMU,DB1215,DB1215,598,single_kmz,mapped,processed_data/boundaries/DB1215.geojson,,
,Castle Valley Outdoors CWMU,DB1216,DB1216,545,single_kmz,mapped,processed_data/boundaries/DB1216.geojson,,
,Causey Spring CWMU,DB1217,DB1217,560,single_kmz,mapped,processed_data/boundaries/DB1217.geojson,,
,Chimney Rock CWMU,DB1219,DB1219,732,single_kmz,mapped,processed_data/boundaries/DB1219.geojson,,
,Coldwater Ranch CWMU,DB1222,DB1222,505,single_kmz,mapped,processed_data/boundaries/DB1222.geojson,,
,Cotton Thomas CWMU,DB1224,DB1224,640,single_kmz,mapped,processed_data/boundaries/DB1224.geojson,,
,Deer Haven CWMU,DB1227,DB1227,606,single_kmz,mapped,processed_data/boundaries/DB1227.geojson,,
,Deseret CWMU,DB1228,DB1228,568,single_kmz,mapped,processed_data/boundaries/DB1228.geojson,,
,Dilly Ranch CWMU,DB1229,DB1229,733,single_kmz,mapped,processed_data/boundaries/DB1229.geojson,,
,Double R Ranch CWMU,DB1230,DB1230,554,single_kmz,mapped,processed_data/boundaries/DB1230.geojson,,
,Dove Creek CWMU,DB1231,DB1231,512,single_kmz,mapped,processed_data/boundaries/DB1231.geojson,,
,Durst Mountain CWMU,DB1232,DB1232,567,single_kmz,mapped,processed_data/boundaries/DB1232.geojson,,
,East Fork Chalk Creek CWMU,DB1233,DB1233,520,single_kmz,mapped,processed_data/boundaries/DB1233.geojson,,
,East Zion CWMU,DB1234,DB1234,807,single_kmz,mapped,processed_data/boundaries/DB1234.geojson,,
,Engineer Springs CWMU,DB1236,DB1236,519,single_kmz,mapped,processed_data/boundaries/DB1236.geojson,,
,Ensign Ranches CWMU,DB1237,DB1237,522,single_kmz,mapped,processed_data/boundaries/DB1237.geojson,,
,Folley Ridge CWMU,DB1238,DB1238,579,single_kmz,mapped,processed_data/boundaries/DB1238.geojson,,
,Fort Ranch CWMU,DB1239,DB1239,514,single_kmz,mapped,processed_data/boundaries/DB1239.geojson,,
,George Creek CWMU,DB1240,DB1240,806,single_kmz,mapped,processed_data/boundaries/DB1240.geojson,,
,Golden Spike CWMU,DB1241,DB1241,497,single_kmz,mapped,processed_data/boundaries/DB1241.geojson,,
