hunt_code,hunt_name,species,sex_type,weapon,hunt_type,boundary_id,classification,candidate_official_boundary_id,crosswalk_merged_boundary_id,crosswalk_member_boundary_ids,reason
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,5000,UNRESOLVED_BAD_MERGED_VALUE,,BI1000_MERGED_2026,667;889;637,Crosswalk merged boundary not numeric
BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,5001,UNRESOLVED_BAD_MERGED_VALUE,,BR1000_MERGED_2026,7;12;52;138;163;289;444;616;628;629;684;710;175;88;92;93;610;611;613;615;630;448;449;455;456;457;462;463;744;845,Crosswalk merged boundary not numeric
BR1001,Black Bear Harvest Objective Units,Black Bear,Either Sex,Any Legal Weapon,Harvest Objective,5002,UNRESOLVED_NO_MAPPING,,,52;251;289;444;616;617;628;710;175;88;92;610;613;615;630;449;455;462;463;744;845,No composite/member/merged mapping available
BR1007,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit Only,Pursuit,5003,UNRESOLVED_BAD_MERGED_VALUE,,BR1007_MERGED_2026,7;52;163;289;444;616;628;629;684;710;175;88;613;615;630;448;455;456;457;462;463;744,Crosswalk merged boundary not numeric
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit Only,Pursuit,5013,UNRESOLVED_NO_MAPPING,,,52;163;289;444;616;628;629;175;88;613;615;630;448;455;456;457;462;463;744,No composite/member/merged mapping available
BR7123,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,5053,UNRESOLVED_NO_MAPPING,,,138;611,No composite/member/merged mapping available
BR7229,Kamas/North Slope Summit,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,5079,UNRESOLVED_NO_MAPPING,,,138;611,No composite/member/merged mapping available
BR7321,Kamas/North Slope Summit,Black Bear,Either Sex,Multiseason,Limited Entry - Multiseason,5101,UNRESOLVED_NO_MAPPING,,,138;611,No composite/member/merged mapping available
CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,5107,UNRESOLVED_BAD_MERGED_VALUE,,CG9999_MERGED_2026,8;16;26;29;117;140;143;243;247;276;444;625;629;668;672;681;683;684;685;711;163;172;191;226;234;237;239;56;57;59;63;71;75;76;86;88;94;97;609;613;630;632;633;634;635;445;446;729;730;752;753;818;819,Crosswalk merged boundary not numeric
DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,5108,UNRESOLVED_BAD_MERGED_VALUE,,DB0007_MERGED_2026,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,Crosswalk merged boundary not numeric
DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,5109,UNRESOLVED_BAD_MERGED_VALUE,,DB0008_EXT_ARCH_2026,6;28;101;106;109;218;280;311;312;731,Crosswalk merged boundary not numeric
