hunt_code,hunt_name,species,sex_type,weapon,hunt_type,boundary_id,classification,candidate_official_boundary_id,crosswalk_merged_boundary_id,crosswalk_member_boundary_ids,reason
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,5110,UNRESOLVED_NO_MAPPING,,,688;187;190;193;194;94;98;99;100;635;636;756,No composite/member/merged mapping available
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,5141,UNRESOLVED_NO_MAPPING,,,933;934,No composite/member/merged mapping available
DS6625,Mineral Mtns,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,10003,UNRESOLVED_NO_MAPPING,,,,No composite/member/merged mapping available
EA1180,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,5111,UNRESOLVED_BAD_MERGED_VALUE,,EA1180_BUNDLE_2026,108;617;684;879,Crosswalk merged boundary not numeric
EA1220,Manti (Expo),Elk,Antlerless,Any Legal Weapon,General Season,5112,UNRESOLVED_BAD_MERGED_VALUE,,EA1220_BUNDLE_2026,43;45;47;49;51;55;58;861;862;938,Crosswalk merged boundary not numeric
EA1221,Fishlake/Thousand Lake (Expo),Elk,Antlerless,Any Legal Weapon,General Season,5145,UNRESOLVED_NO_MAPPING,,,698;699;175,No composite/member/merged mapping available
EA1258,La Sal (Expo),Elk,Antlerless,Any Legal Weapon,General Season,5113,UNRESOLVED_BAD_MERGED_VALUE,,EA1258_BUNDLE_2026,108;617;684;879,Crosswalk merged boundary not numeric
EA1270,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,5114,UNRESOLVED_BAD_MERGED_VALUE,,EA1270_BUNDLE_2026,175;698;699,Crosswalk merged boundary not numeric
EA1271,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,5115,UNRESOLVED_BAD_MERGED_VALUE,,EA1271_BUNDLE_2026,43;45;47;49;51;55;58;861;862;938,Crosswalk merged boundary not numeric
EA2000,Antlerless Elk Control,Elk,Antlerless,Any Legal Weapon,Antlerless Elk Control,5116,UNRESOLVED_BAD_MERGED_VALUE,,EA2000_MERGED_2026,117;276;69;94;609;611;635;636,Crosswalk merged boundary not numeric
EA2041,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,5117,UNRESOLVED_BAD_MERGED_VALUE,,EA2041_BUNDLE_2026,29;33;38;39;40;302;303,Crosswalk merged boundary not numeric
EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,5118,UNRESOLVED_BAD_MERGED_VALUE,,EA2045_BUNDLE_2026,222;224;225;227;234;238;240;480;817;845;920;921,Crosswalk merged boundary not numeric
EB1000,Elk - Statewide Permit,Elk,Bull,Any Legal Weapon,Statewide,5119,UNRESOLVED_BAD_MERGED_VALUE,,EB1000_MERGED_2026,12;17;33;36;41;51;108;128;140;163;241;616;617;622;625;629;683;685;175;183;206;222;88;630;634;449;455,Crosswalk merged boundary not numeric
EB1001,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,5120,UNRESOLVED_NO_MAPPING,,,18;107;117;129;138;142;163;276;277;301;304;672;868;902;925;947;948;188;194;69;81;94;609;611;613;614;635;636;639,No composite/member/merged mapping available
EB1002,Any Bull Elk Units,Elk,Bull,Muzzleloader,General Season - Any Bull,5121,UNRESOLVED_BAD_MERGED_VALUE,,EB1002_MERGED_2026,18;107;117;129;138;142;163;276;277;301;304;672;868;902;925;947;948;188;194;69;81;94;609;611;613;614;635;636;639,Crosswalk merged boundary not numeric
EB1003,Spike Only Units,Elk,Bull,Any Legal Weapon,General Season - Spike Bull,5122,UNRESOLVED_BAD_MERGED_VALUE,,EB1003_MERGED_2026,12;33;51;108;302;303;617;625;629;685;867;899;901;175;183;206;222;241;88;630;634;455;742;751,Crosswalk merged boundary not numeric
EB1004,Spike Only Units,Elk,Bull,Muzzleloader,General Season - Spike Bull,5123,UNRESOLVED_BAD_MERGED_VALUE,,EB1004_MERGED_2026,12;33;51;108;241;302;303;617;625;629;685;867;899;901;175;183;206;222;88;630;634;455;742;751,Crosswalk merged boundary not numeric
EB1005,Archery Hunters Choice Elk,Elk,Bull,Archery,General Season - Archery,5124,UNRESOLVED_BAD_MERGED_VALUE,,EB1005_MERGED_2026,12;18;33;51;107;108;117;129;138;142;241;276;277;301;302;303;304;617;625;629;672;685;867;868;899;901;902;925;947;948;175;183;188;194;206;222;69;81;88;94;609;611;613;614;630;634;635;636;639;455;742;751,Crosswalk merged boundary not numeric
EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,Bull,Any Legal Weapon,General Season - Any Bull,5125,UNRESOLVED_BAD_MERGED_VALUE,,EB1007_MERGED_2026,18;107;117;129;143;163;276;277;301;304;672;868;902;925;947;948;188;194;69;81;94;609;611;613;614;635;636;639,Crosswalk merged boundary not numeric
EB1009,Spike Only Elk Units - Multiseason,Elk,Bull,Multiseason,General Season - Spike Bull,5126,UNRESOLVED_BAD_MERGED_VALUE,,EB1009_MERGED_2026,12;33;51;108;241;302;303;617;625;629;685;867;899;901;175;183;206;222;88;630;634;455;742;751,Crosswalk merged boundary not numeric
EB1010,Any Bull Elk Units,Elk,Bull,Any Legal Weapon,General Season - Any Bull,5127,UNRESOLVED_BAD_MERGED_VALUE,,EB1010_MERGED_2026,18;107;117;129;138;142;276;277;301;304;672;868;902;925;947;948;163;188;194;69;81;94;609;611;613;614;635;636;639,Crosswalk merged boundary not numeric
EB1011,Youth General Season Bull Elk,Elk,Bull,Any Legal Weapon,General Season - Youth,5128,UNRESOLVED_BAD_MERGED_VALUE,,EB1011_MERGED_2026,12;18;33;51;107;108;117;129;138;142;241;276;277;301;302;303;304;617;625;629;672;685;867;868;899;901;902;925;947;948;163;175;183;188;194;206;222;69;81;88;94;609;611;613;614;630;634;635;636;639;455;742;751,Crosswalk merged boundary not numeric
EB3209,Box Elder Pilot Mtn,Elk,Bull,Multiseason,Conservation,5129,UNRESOLVED_BAD_MERGED_VALUE,,EB3209_BUNDLE_2026,682;683,Crosswalk merged boundary not numeric
EX1000,Elk Extended Archery,Elk,Hunters Choice,Archery,Extended Archery,5130,UNRESOLVED_BAD_MERGED_VALUE,,EX1000_MERGED_2026,282;313;218,Crosswalk merged boundary not numeric
GO1000,Mountain Goat - Statewide Permit,Mountain Goat,Hunters Choice,Any Legal Weapon,Statewide,5131,UNRESOLVED_BAD_MERGED_VALUE,,GO1000_MERGED_2026,145;146;147;148;157;616;617;628;200;225;231;233;102;630,Crosswalk merged boundary not numeric
MB1000,Moose - Statewide Permit,Moose,Bull,Any Legal Weapon,Statewide,5133,UNRESOLVED_BAD_MERGED_VALUE,,MB1000_MERGED_2026,29;117;138;276;289;69;79;609;611;613;452;743,Crosswalk merged boundary not numeric
PB1000,Pronghorn - Statewide Permit,Pronghorn,Buck,Any Legal Weapon,Statewide,5134,UNRESOLVED_BAD_MERGED_VALUE,,PB1000_MERGED_2026,8;15;24;25;27;129;138;244;245;246;277;289;443;625;628;688;715;718;719;171;186;194;208;81;97;636;453;461;755,Crosswalk merged boundary not numeric
RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,5135,UNRESOLVED_BAD_MERGED_VALUE,,RS0001_MERGED_2026,15;20;616;620;668;75;820;821;823;854,Crosswalk merged boundary not numeric
TK1001,Northern Region - Private land only,Turkey,Either Sex,Any Legal Weapon,Fall Management,5136,UNRESOLVED_BAD_MERGED_VALUE,,TK1001_MERGED_2026,911;912;913;914;915;916,Crosswalk merged boundary not numeric
TK1019,Southeastern Region - Select areas only,Turkey,Either Sex,Any Legal Weapon,Fall Management,5137,UNRESOLVED_BAD_MERGED_VALUE,,TK1019_MERGED_2026,946;849,Crosswalk merged boundary not numeric
TK1022,Southern Region - Select areas only,Turkey,Either Sex,Any Legal Weapon,Fall Management,5138,UNRESOLVED_BAD_MERGED_VALUE,,TK1022_MERGED_2026,942;943;944;945,Crosswalk merged boundary not numeric
