hunt_code,boundary_id,member_boundary_ids,source_boundary_ids,boundary_source_authority,boundary_source_file,merged_boundary_id,boundary_geometry_type,geometry_status,boundary_geojson_path,boundary_kmz_path,boundary_kml_path,dwr_boundary_link,member_boundary_count
BI1000,5000,667;889;637,667;889;637,Utah DWR,bison_hunt_table_official.json,BI1000_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BI1000.geojson,data/boundaries/kmz/BI1000.kmz,data/boundaries/kml/BI1000.kml,,3
BI6500,1,,1,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6500.geojson,,,,0
BI6503,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6503.geojson,,,,0
BI6504,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6504.geojson,,,,0
BI6505,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6505.geojson,,,,0
BI6506,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6506.geojson,,,,0
BI6509,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6509.geojson,,,,0
BI6516,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6516.geojson,,,,0
BI6527,615,,615,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6527.geojson,,,,0
BI6528,889,,889,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6528.geojson,,,,0
BI6529,889,,889,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6529.geojson,,,,0
BI6531,889,,889,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6531.geojson,,,,0
BI6532,667,,667,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6532.geojson,,,,0
BI6534,667,,667,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6534.geojson,,,,0
BI6535,667,,667,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6535.geojson,,,,0
BI6536,667,,667,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6536.geojson,,,,0
BI6537,889,,889,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6537.geojson,,,,0
BI6538,615,,615,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6538.geojson,,,,0
BI6539,94,,94,Utah DWR,bison_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BI6539.geojson,,,,0
BR1000,5001,7;12;52;138;163;289;444;616;628;629;684;710;175;88;92;93;610;611;613;615;630;448;449;455;456;457;462;463;744;845,7;12;52;138;163;289;444;616;628;629;684;710;175;88;92;93;610;611;613;615;630;448;449;455;456;457;462;463;744;845,Utah DWR,black_bear_hunt_table_official.json,BR1000_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BR1000.geojson,data/boundaries/kmz/BR1000.kmz,data/boundaries/kml/BR1000.kml,,30
BR1001,5002,52;251;289;444;616;617;628;710;175;88;92;610;613;615;630;449;455;462;463;744;845,52;251;289;444;616;617;628;710;175;88;92;610;613;615;630;449;455;462;463;744;845,Utah DWR,black_bear_hunt_table_official.json,,merged_kmz,mapped,processed_data/boundaries/BR1001.geojson,,,,21
BR1007,5003,7;52;163;289;444;616;628;629;684;710;175;88;613;615;630;448;455;456;457;462;463;744,7;52;163;289;444;616;628;629;684;710;175;88;613;615;630;448;455;456;457;462;463;744,Utah DWR,black_bear_hunt_table_official.json,BR1007_MERGED_2026,merged_kmz,mapped,processed_data/boundaries/BR1007.geojson,data/boundaries/kmz/BR1007.kmz,data/boundaries/kml/BR1007.kml,,22
BR1008,7,,7,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1008.geojson,,,,0
BR1009,684,,684,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1009.geojson,,,,0
BR1010,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1010.geojson,,,,0
BR1011,7,,7,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1011.geojson,,,,0
BR1012,684,,684,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1012.geojson,,,,0
BR1013,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1013.geojson,,,,0
BR1015,7,,7,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1015.geojson,,,,0
BR1016,710,,710,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1016.geojson,,,,0
BR1017,684,,684,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR1017.geojson,,,,0
BR1018,5013,52;163;289;444;616;628;629;175;88;613;615;630;448;455;456;457;462;463;744,52;163;289;444;616;628;629;175;88;613;615;630;448;455;456;457;462;463;744,Utah DWR,black_bear_hunt_table_official.json,,merged_kmz,mapped,processed_data/boundaries/BR1018.geojson,,,,19
BR7000,628,,628,Utah DWR,black_bear_hunt_table_official.json,,single_kmz,mapped,processed_data/boundaries/BR7000.geojson,,,,0
