"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"EA1171","Summit Point CWMU","Elk","Any Legal Weapon","CWMU","Summit Point","547","exact_norm_name"
"EA1172","Three C CWMU","Elk","Any Legal Weapon","CWMU","Three C","553","exact_norm_name"
"EA1174","Two Bear CWMU","Elk","Any Legal Weapon","CWMU","Two Bear","521","exact_norm_name"
"EA1175","Wallsburg CWMU","Elk","Any Legal Weapon","CWMU","Wallsburg","586","exact_norm_name"
"EA1177","Woodruff Creek South CWMU","Elk","Any Legal Weapon","CWMU","Woodruff Creek South","571","exact_norm_name"
"EA1192","Pahvant Ensign CWMU","Elk","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"EA1198","Bear Springs CWMU","Elk","Any Legal Weapon","CWMU","Bear Springs","575","exact_norm_name"
"EA1200","Double R Ranch CWMU","Elk","Any Legal Weapon","CWMU","Double R Ranch","554","exact_norm_name"
"EA1201","Mountain Sky Ranch CWMU","Elk","Any Legal Weapon","CWMU","Mountain Sky Ranch","858","exact_norm_name"
"EA1233","Avintaquin Canyon CWMU","Elk","Any Legal Weapon","CWMU","Avintaquin Canyon","599","exact_norm_name"
"EA1234","Royal Ivory Outfitters CWMU","Elk","Any Legal Weapon","CWMU","Royal Ivory Outfitters","828","exact_norm_name"
"EA1235","Sharp Mountain CWMU","Elk","Any Legal Weapon","CWMU","Sharp Mountain","490","exact_norm_name"
"EA1257","Tunnel Hollow CWMU","Elk","Any Legal Weapon","CWMU","Tunnel Hollow","569","exact_norm_name"
"EA1260","West Ridge CWMU","Elk","Any Legal Weapon","CWMU","West Ridge","874","exact_norm_name"
"EA1261","Blackhawk CWMU","Elk","Any Legal Weapon","CWMU","Blackhawk","808","exact_norm_name"
"EB3500","Alton CWMU","Elk","Any Legal Weapon","CWMU","Alton","526","exact_norm_name"
"EB3501","Bar J Ranch CWMU","Elk","Any Legal Weapon","CWMU","Bar J Ranch","527","exact_norm_name"
"EB3502","Bear Mountain CWMU","Elk","Any Legal Weapon","CWMU","Bear Mountain","582","exact_norm_name"
"EB3503","Bear Springs CWMU","Elk","Any Legal Weapon","CWMU","Bear Springs","575","exact_norm_name"
"EB3504","Blackhawk CWMU","Elk","Any Legal Weapon","CWMU","Blackhawk","808","exact_norm_name"
"EB3505","Boobe Hole CWMU","Elk","Any Legal Weapon","CWMU","Boobe Hole","529","exact_norm_name"
"EB3506","Causey Spring CWMU","Elk","Any Legal Weapon","CWMU","Causey Spring","560","exact_norm_name"
"EB3508","Chimney Rock CWMU","Elk","Any Legal Weapon","CWMU","Chimney Rock","732","exact_norm_name"
"EB3509","Coldwater Ranch CWMU","Elk","Any Legal Weapon","CWMU","Coldwater Ranch","505","exact_norm_name"
"EB3511","Cotton Thomas CWMU","Elk","Any Legal Weapon","CWMU","Cotton Thomas","640","exact_norm_name"
"EB3514","Deseret CWMU","Elk","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"EB3515","Double Cone CWMU","Elk","Any Legal Weapon","CWMU","Double Cone","516","exact_norm_name"
"EB3516","Durst Mountain CWMU","Elk","Any Legal Weapon","CWMU","Durst Mountain","567","exact_norm_name"
"EB3517","East Fork Chalk Creek CWMU","Elk","Any Legal Weapon","CWMU","East Fork Chalk Creek","520","exact_norm_name"
"EB3519","Ensign Ranches CWMU","Elk","Any Legal Weapon","CWMU","Ensign Ranches","522","exact_norm_name"
"EB3521","Grass Valley/Clark Canyon CWMU","Elk","Any Legal Weapon","CWMU","Grass Valley/Clark Canyon","525","exact_norm_name"
"EB3522","Grazing Pasture CWMU","Elk","Any Legal Weapon","CWMU","Grazing Pasture","530","exact_norm_name"
"EB3523","Guildersleeve CWMU","Elk","Any Legal Weapon","CWMU","Guildersleeve","573","exact_norm_name"
"EB3524","Hardscrabble CWMU","Elk","Any Legal Weapon","CWMU","Hardscrabble","577","exact_norm_name"
