Hunt Name,Hunt Code,Sex,Species,Weapon,Hunt Type,Season,Non Res,Res,Total,Source Authority,Permit Status,Data Status,Notes
Elk - Statewide Permit,EB1000,Bull,Elk,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,1,Utah DWR Hunt Planner,TOTAL_ONLY,SOURCE_CONFIRMED_TOTAL_ONLY,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.
Any Bull Elk Units,EB1001,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 04 2025 - Oct 10 2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms elk hunt in 2026_elk_bull_general_anybull.xlsx; no quota or permit total published in uploaded source.
Any Bull Elk Units,EB1002,Bull,Elk,Muzzleloader,General Season - Any Bull,Oct 29 2025 - Nov 06 2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms elk hunt in 2026_elk_bull_general_anybull.xlsx; no quota or permit total published in uploaded source.
Spike Only Units,EB1003,Bull,Elk,Any Legal Weapon,General Season - Spike Bull,Oct 04 2025 - Oct 16 2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms hunt in 2026_elk_general_spikeonly.xlsx; no quota or permit total published in uploaded source.
Spike Only Units,EB1004,Bull,Elk,Muzzleloader,General Season - Spike Bull,Oct 29 2025 - Nov 06 2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms hunt in 2026_elk_general_spikeonly.xlsx; no quota or permit total published in uploaded source.
Archery Hunters Choice Elk,EB1005,Bull,Elk,Archery,General Season - Archery,"Any bull units: Aug 16 2025 - Sept 17 2025 | Spike only units: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery)",,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner elk master export confirms Archery Hunters Choice Elk hunt; no quota or permit total is published for this general archery row.
Draw-only Youth Any Bull/Hunters Choice Elk,EB1007,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Sept 12 2026 - Sept 22 2026,,,750,Utah DWR Hunt Planner,TOTAL_ONLY,SOURCE_CONFIRMED_TOTAL_ONLY,2026 general elk total allotment from Utah DWR Hunt Planner export 2026_elk_bull_general_anybull.xlsx; no resident/nonresident split published in this source.
Spike Only Elk Units - Multiseason,EB1009,Bull,Elk,Multiseason,General Season - Spike Bull,"Spike Archery: Aug 16-Sept 5, 2025 (Paunsaugunt closed to archery) Any Bull Archery: Aug 16-Sept 17, 2025 | ALW: Oct 4 - 16, 2025 | Muzz: Oct 29-Nov 6, 2025",,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms hunt in 2026_elk_general_spikeonly.xlsx; no quota or permit total published in uploaded source.
Any Bull Elk Units,EB1010,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Oct 11 2025 - Oct 17 2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms elk hunt in 2026_elk_bull_general_anybull.xlsx; no quota or permit total published in uploaded source.
Youth General Season Bull Elk,EB1011,Bull,Elk,Any Legal Weapon,General Season - Youth,ANY BULL: Arch: 08/16-09/17/2025|ALW: 10/4-10-17/2025|Muzz: 10/29-11/6/2025 SPIKE ONLY: Arch:8/16-09/05/2025|ALW: 10/4-10/16/2025|Muzz: 10/29-11/6/2025 |Uinta Basin Private Land only:08/01-11/15/2025,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner source confirms elk hunt in 2026_elk_general_anybull_youth.xlsx; no quota or permit total published in uploaded source.
Uinta Basin Private Lands Any Bull Elk,EB1012,Bull,Elk,Any Legal Weapon,General Season - Any Bull,Aug 01 2025 - Nov 15 2025 - Valid only on private property within the unit,,,500,Utah DWR Hunt Planner,TOTAL_ONLY,SOURCE_CONFIRMED_TOTAL_ONLY,2026 general elk total allotment from Utah DWR Hunt Planner export 2026_elk_bull_general_anybull.xlsx; no resident/nonresident split published in this source.
"Box Elder, Grouse Creek",EB3128,Bull,Elk,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",,,1,Utah DWR Hunt Planner,TOTAL_ONLY,SOURCE_CONFIRMED_TOTAL_ONLY,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.
"Box Elder, Pilot Mtn",EB3209,Bull,Elk,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",,,1,Utah DWR Hunt Planner,TOTAL_ONLY,SOURCE_CONFIRMED_TOTAL_ONLY,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.
