file,kind,status,rows_checked,blank_rows_removed,columns_removed,removed_fields
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,csv,no_empty_columns_or_rows,1411,0,0,
processed_data/hunt_master_enriched.csv,csv,no_empty_columns_or_rows,54357,0,0,
processed_data/hunt_unit_reference_linked.csv,csv,no_empty_columns_or_rows,2997,0,0,
processed_data/point_ladder_view.csv,csv,no_empty_columns_or_rows,92844,0,0,
processed_data/draw_reality_engine.csv,csv,no_empty_columns_or_rows,36892,0,0,
data/hunt-master-canonical-2026-database-candidate.csv,csv,no_empty_columns_or_rows,1411,0,0,
data/hunt-master-canonical-2026-source-of-truth.csv,csv,no_empty_columns_or_rows,1411,0,0,
processed_data/hunt-master-canonical-2026-source-of-truth.csv,csv,no_empty_columns_or_rows,1411,0,0,
hunt-master-canonical-2026.json,json,no_empty_keys,1411,0,0,
canonical/hunt-planner-2026.json,json,no_empty_keys,1411,0,0,
generated/pages/hunt-planner.json,json,no_empty_keys,1411,0,0,
data/hunt-master-canonical-2026-database-candidate.json,json,no_empty_keys,1411,0,0,
data/hunt-master-canonical-2026-source-of-truth.json,json,no_empty_keys,1411,0,0,
processed_data/hunt-master-canonical-2026-source-of-truth.json,json,no_empty_keys,1411,0,0,
