permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Antelope Island,Any Legal Weapon,RS6700,Resident,1,2,1,MINOR,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
Antelope Island,Any Legal Weapon,RS6700,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,RS6701,Resident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,RS6701,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Any Legal Weapon,RS6703,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Any Legal Weapon,RS6703,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Any Legal Weapon,RS6704,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Any Legal Weapon,RS6704,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Archery,RS6722,Resident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Box Elder, Newfoundland Mtn",Archery,RS6722,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Any Legal Weapon,RS6720,Resident,4,4,0,UNCHANGED,4,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Any Legal Weapon,RS6720,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Any Legal Weapon,RS6726,Resident,4,3,-1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Any Legal Weapon,RS6726,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Archery,RS6727,Resident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
"Fillmore, Oak Creek",Archery,RS6727,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL Rocky Mountain bighorn sheep comparison table for 2025 to 2026.
