"hunt_code","hunt_name","species","norm_name","reason","candidate_boundary_names","candidate_boundary_ids"
"DB1200","Alton - Premium Buck CWMU","Deer","alton premium buck","no_truth_name_match","",""
"DB1201","Alton - Management Buck CWMU","Deer","alton management buck","no_truth_name_match","",""
"DB1209","Blind Springs CWMU","Deer","blind springs","no_truth_name_match","",""
"DB1238","Folley Ridge CWMU","Deer","folley ridge","no_truth_name_match","",""
"DB1255","Johnson Mountain Ranch CWMU","Deer","johnson mountain ranch","no_truth_name_match","",""
"DB1310","White's Valley CWMU","Deer","white s valley","no_truth_name_match","",""
"DB1330","Iron Spring CWMU","Deer","iron spring","no_truth_name_match","",""
"DB1333","5S CWMU","Deer","5s","no_truth_name_match","",""
"DB1334","Alton - Cactus Buck CWMU","Deer","alton cactus buck","no_truth_name_match","",""
"DB1335","Big Piney Ranch CWMU","Deer","big piney ranch","no_truth_name_match","",""
"DB1337","Little Pole Canyon CWMU","Deer","little pole canyon","no_truth_name_match","",""
"DB1349","Weber Florence Creek/Stillman Creek CWMU","Deer","weber florence creek stillman creek","no_truth_name_match","",""
"EA1135","Folley Ridge CWMU","Elk","folley ridge","no_truth_name_match","",""
"EA1145","Johnson Mountain Ranch CWMU","Elk","johnson mountain ranch","no_truth_name_match","",""
"EA1158","Cactus Ranch LLC CWMU","Elk","cactus ranch","no_truth_name_match","",""
"EA1256","Little Pole Canyon CWMU","Elk","little pole canyon","no_truth_name_match","",""
"EA1259","Diamond Mountain CWMU","Elk","diamond mountain","no_truth_name_match","",""
"EA1263","Weber Florence Creek/Stillman Creek CWMU","Elk","weber florence creek stillman creek","no_truth_name_match","",""
"EB3520","Folley Ridge CWMU","Elk","folley ridge","no_truth_name_match","",""
"EB3531","Johnson Mountain Ranch CWMU","Elk","johnson mountain ranch","no_truth_name_match","",""
"EB3545","Cactus Ranch LLC CWMU","Elk","cactus ranch","no_truth_name_match","",""
"EB3613","Little Pole Canyon CWMU","Elk","little pole canyon","no_truth_name_match","",""
"EB3619","Weber Florence Creek/Stillman Creek CWMU","Elk","weber florence creek stillman creek","no_truth_name_match","",""
"MB6201","Beaver Hollow CWMU","Moose","beaver hollow","no_truth_name_match","",""
"MB6265","Little Pole Canyon CWMU","Moose","little pole canyon","no_truth_name_match","",""
"MB6266","Weber Florence Creek/Stillman Creek CWMU","Moose","weber florence creek stillman creek","no_truth_name_match","",""
"PB5339","Iron Spring CWMU","Pronghorn","iron spring","no_truth_name_match","",""
