source_file,page_number,hunt_code,row_format,table_context,permits_res,permits_nr,permits_total,hunters,harvest,avg_days,success_percent,metric_4,metric_5,raw_line
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7000,total_5,unit_permits,,,10,6,1,,,7,70,BR7000 Beaver 10 6 1 7 70
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7001,total_5,unit_permits,,,41,12,0,,,12,29,"BR7001 Book Cliffs, Bitter Creek/South 41 12 0 12 29"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7224,total_5,unit_permits,,,9,0,0,,,0,0,"BR7224 Book Cliffs, Little Creek Roadless 9 0 0 0 0"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7012,total_5,unit_permits,,,25,2,1,,,3,12,BR7012 Boulder/Kaiparowits 25 2 1 3 12
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7017,total_5,unit_permits,,,2,0,1,,,1,50,BR7017 Cache/Ogden 2 0 1 1 50
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7019,total_5,unit_permits,,,5,0,0,,,0,0,BR7019 Chalk Creek/East Canyon/Morgan-South Rich 5 0 0 0 0
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7015,total_5,unit_permits,,,12,1,0,,,1,8,BR7015 Diamond Mtn/Vernal/Bonanza 12 1 0 1 8
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7007,total_5,unit_permits,,,1,0,0,,,0,0,"BR7007 Fillmore, Pahvant 1 0 0 0 0"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7013,total_5,unit_permits,,,7,4,0,,,4,57,BR7013 Fishlake/Thousand Lakes 7 4 0 4 57
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7018,total_5,unit_permits,,,5,0,0,,,0,0,"BR7018 Kamas/North Slope, Summit 5 0 0 0 0"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7008,total_5,unit_permits,,,41,12,8,,,22,49,BR7008 La Sal 41 12 8 22 49
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7003,total_5,unit_permits,,,19,4,2,,,6,32,"BR7003 Manti, North 19 4 2 6 32"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7004,total_5,unit_permits,,,8,5,0,,,5,63,"BR7004 Manti, South/San Rafael, North 8 5 0 5 63"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7020,total_5,unit_permits,,,1,0,0,,,0,0,BR7020 Monroe 1 0 0 0 0
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7009,total_5,unit_permits,,,2,0,0,,,0,0,BR7009 Mt Dutton 2 0 0 0 0
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_black_bear_report.pdf,4,BR7005,total_5,unit_permits,,,6,2,0,,,2,33,BR7005 Nebo 6 2 0 2 33
