source_file,hunt_code,unit
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3191,25C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3147,1A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3150,1A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3153,1A
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3031,1C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3130,1C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3003,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3032,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3033,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3081,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3105,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3168,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3169,2C
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,EB3132,2A
