hunt_code,hunt_name,source_year,source_file,appears_in_draw_odds_pdf,has_point_level_bonus_rows,resident_bonus_permits_total,resident_regular_permits_total,resident_total_permits,nonresident_bonus_permits_total,nonresident_regular_permits_total,nonresident_total_permits,source_classification,engine_classification_before,engine_classification_after,correction_needed,data_quality_flags
BR1000,Black Bear - Statewide Permit,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,SPORTSMAN_PERMIT,STATEWIDE_BEAR_PERMIT,STATEWIDE_BEAR_PERMIT,no,SPORTSMAN_SEPARATE
BR1001,Black Bear Harvest Objective Units,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,BEAR_HARVEST_OBJECTIVE_AVAILABILITY,HARVEST_OBJECTIVE_AVAILABILITY,HARVEST_OBJECTIVE_AVAILABILITY,no,HARVEST_OBJECTIVE_SOURCE
BR1007,Black Bear Pursuit - Resident,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,BEAR_UNLIMITED_PURSUIT_AVAILABILITY,UNLIMITED_PURSUIT_PERMIT,UNLIMITED_PURSUIT_PERMIT,no,UNLIMITED_PURSUIT_SOURCE
BR1008,Book Cliffs,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,13,13,26,0,2,2,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1009,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1010,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1011,Book Cliffs,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,13,13,26,1,1,2,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1012,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1013,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,7,7,14,0,1,1,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1015,Book Cliffs,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,0,0,1,1,2,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1016,San Juan,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,0,0,1,1,2,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1017,La Sal,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,0,0,0,1,1,2,BEAR_PURSUIT_BONUS_DRAW,UNLIMITED_PURSUIT_PERMIT,RESTRICTED_BEAR_PURSUIT,yes,OFFICIAL_BEAR_DRAW_ODDS_SOURCE|PURSUIT_BONUS_SOURCE_PROVEN
BR1018,Black Bear Pursuit - Nonresident,,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/black bear.csv,no,no,,,,,,,BEAR_UNLIMITED_PURSUIT_AVAILABILITY,UNLIMITED_PURSUIT_PERMIT,UNLIMITED_PURSUIT_PERMIT,no,UNLIMITED_PURSUIT_SOURCE
BR7000,Beaver,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,5,4,9,0,1,1,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7001,Book Cliffs Bitter Creek/South,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,25,24,49,3,2,5,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
BR7003,Manti North,2025,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,yes,yes,9,8,17,1,1,2,TRUE_BEAR_BONUS_DRAW,LIMITED_ENTRY_BEAR_HUNT,LIMITED_ENTRY_BEAR_HUNT,no,OFFICIAL_BEAR_DRAW_ODDS_SOURCE
