permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Antelope Island Premium,Any Legal Weapon,DB1002,Resident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Antelope Island Premium,Any Legal Weapon,DB1002,Nonresident,0,0,0,UNCHANGED,0,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Antelope Island Management,Any Legal Weapon,DB1121,Resident,0,2,2,MINOR,2,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Antelope Island Management,Any Legal Weapon,DB1121,Nonresident,0,0,0,UNCHANGED,0,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Any Legal Weapon,DB1003,Resident,22,24,2,MINOR,24,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Any Legal Weapon,DB1003,Nonresident,3,3,0,UNCHANGED,3,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Archery,DB1000,Resident,8,8,0,UNCHANGED,8,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Archery,DB1000,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Multiseason,DB1007,Resident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Multiseason,DB1007,Nonresident,0,0,0,UNCHANGED,0,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Muzzleloader,DB1005,Resident,8,8,0,UNCHANGED,8,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Premium,Muzzleloader,DB1005,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Management,Any Legal Weapon,DB1009,Resident,10,10,0,UNCHANGED,10,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Henry Mtns Management,Any Legal Weapon,DB1009,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Any Legal Weapon,DB1004,Resident,75,75,0,UNCHANGED,75,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Any Legal Weapon,DB1004,Nonresident,8,8,0,UNCHANGED,8,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Archery,DB1001,Resident,26,26,0,UNCHANGED,26,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Archery,DB1001,Nonresident,3,3,0,UNCHANGED,3,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Multiseason,DB1008,Resident,3,3,0,UNCHANGED,3,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Multiseason,DB1008,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Muzzleloader,DB1006,Resident,26,26,0,UNCHANGED,26,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Premium,Muzzleloader,DB1006,Nonresident,3,3,0,UNCHANGED,3,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Any Legal Weapon,DB1010,Resident,24,30,6,SIGNIFICANT,30,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Any Legal Weapon,DB1010,Nonresident,3,3,0,UNCHANGED,3,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Cactus,Any Legal Weapon,DB1058,Resident,27,18,-9,SIGNIFICANT,18,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Cactus,Any Legal Weapon,DB1058,Nonresident,3,2,-1,MINOR,2,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Archery,DB1073,Resident,8,10,2,MINOR,10,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Archery,DB1073,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Muzzleloader,DB1074,Resident,8,10,2,MINOR,10,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
Paunsaugunt Management,Muzzleloader,DB1074,Nonresident,1,1,0,UNCHANGED,1,True,2026-04-rac-packet.pdf,User-provided supplemental RAC premium/management permit table for 2026.
