hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
BR7014,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,San Juan,35,3,38
BR7015,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Diamond Mtn/Vernal/Bonanza,7,0,7
BR7016,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Wasatch Mtns West-Central,36,4,40
BR7017,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Cache/Ogden,2,0,2
BR7018,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Kamas/North Slope Summit,5,0,5
BR7019,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7020,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Monroe,1,0,1
BR7021,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,Dolores Triangle,2,0,2
BR7022,True,True,True,True,included_forecast,Limited Entry - Spring,Black Bear,La Sal Mtns,40,3,43
BR7100,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Beaver,9,1,10
BR7101,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Book Cliffs Bitter Creek/South,14,1,15
BR7102,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Book Cliffs Little Creek Roadless,5,0,5
BR7104,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Manti North,17,1,18
BR7105,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Manti South/San Rafael North,18,2,20
BR7106,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Nebo,8,0,8
BR7108,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BR7109,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Mt Dutton,3,0,3
BR7110,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Nine Mile,18,2,20
BR7111,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,North Slope Three Corners/West Daggett,1,0,1
BR7112,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Panguitch Lake/Zion,5,0,5
BR7113,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Paunsaugunt,3,0,3
BR7114,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Boulder/Kaiparowits,13,1,14
BR7115,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Fishlake/Thousand Lakes,7,0,7
BR7116,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,San Juan,22,2,24
BR7117,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Diamond Mtn/Vernal/Bonanza,5,0,5
BR7118,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Yellowstone,5,0,5
BR7119,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Wasatch Mtns Avintaquin/Currant Creek,5,0,5
BR7120,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Wasatch Mtns West-Central,22,1,23
BR7121,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Cache/Ogden,4,0,4
BR7122,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,7,0,7
BR7123,True,True,True,True,included_forecast,Limited Entry - Summer,Black Bear,Kamas/North Slope Summit,6,0,6
