hunt_code,hunt_name,species,boundary_id,row_origin,database_numeric_protected,target_database_status,target_2025_total,database_2025_total,target_2026_total,database_2026_total,database_allotment_2026_total,resolved_2026_res,resolved_2026_nr,resolved_2026_total,resolved_2026_source,overlay_action,review_priority,review_reason
DA1011,George Creek CWMU,Deer,806,TARGET_AND_DATABASE,YES,MISMATCH,4,5,0,5,,5,0,5,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DA1012,Junction Valley CWMU,Deer,589,TARGET_AND_DATABASE,YES,MISMATCH,12,15,0,15,,15,0,15,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DA1013,Mt Carmel CWMU,Deer,533,TARGET_AND_DATABASE,YES,MISMATCH,4,5,0,5,,5,0,5,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DA1050,The Rose of Snowville CWMU,Deer,509,TARGET_AND_DATABASE,YES,MISMATCH,7,8,0,8,,8,0,8,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1200,Alton - Premium Buck CWMU,Deer,526,TARGET_AND_DATABASE,YES,MISMATCH,3,3,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1201,Alton - Management Buck CWMU,Deer,526,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1202,Antelope Creek CWMU,Deer,581,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1203,Avintaquin Canyon CWMU,Deer,599,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1204,Bally Watts CWMU,Deer,559,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1205,Bar J Ranch CWMU,Deer,527,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1206,Bear Mountain CWMU,Deer,582,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1207,Bear Springs CWMU,Deer,575,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1208,Blackhawk CWMU,Deer,808,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1209,Blind Springs CWMU,Deer,500,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1211,Blue Spring Hills CWMU,Deer,510,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1212,Bluebell CWMU,Deer,604,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1213,Boobe Hole CWMU,Deer,529,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1215,Buckhorn Ranch CWMU,Deer,598,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1216,Castle Valley Outdoors CWMU,Deer,545,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1217,Causey Spring CWMU,Deer,560,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1219,Chimney Rock CWMU,Deer,732,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1222,Coldwater Ranch CWMU,Deer,505,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1224,Cotton Thomas CWMU,Deer,640,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1227,Deer Haven CWMU,Deer,606,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1228,Deseret CWMU,Deer,568,TARGET_AND_DATABASE,YES,MISMATCH,13,13,0,13,,13,0,13,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1229,Dilly Ranch CWMU,Deer,733,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1230,Double R Ranch CWMU,Deer,554,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1231,Dove Creek CWMU,Deer,512,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1232,Durst Mountain CWMU,Deer,567,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1233,East Fork Chalk Creek CWMU,Deer,520,TARGET_AND_DATABASE,YES,MISMATCH,4,4,0,4,,4,0,4,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1234,East Zion CWMU,Deer,807,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1236,Engineer Springs CWMU,Deer,519,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
