"hunt_code","hunt_name","species","weapon","hunt_type"
"DB1200","Alton - Premium Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1201","Alton - Management Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1209","Blind Springs CWMU","Deer","Any Legal Weapon","CWMU"
"DB1238","Folley Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1255","Johnson Mountain Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1310","White's Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DB1330","Iron Spring CWMU","Deer","Any Legal Weapon","CWMU"
"DB1333","5S CWMU","Deer","Any Legal Weapon","CWMU"
"DB1334","Alton - Cactus Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1335","Big Piney Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1337","Little Pole Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","Deer","Any Legal Weapon","CWMU"
"EA1135","Folley Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EA1145","Johnson Mountain Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EA1158","Cactus Ranch LLC CWMU","Elk","Any Legal Weapon","CWMU"
"EA1256","Little Pole Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EA1259","Diamond Mountain CWMU","Elk","Any Legal Weapon","CWMU"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","Elk","Any Legal Weapon","CWMU"
"EB3520","Folley Ridge CWMU","Elk","Any Legal Weapon","CWMU"
"EB3531","Johnson Mountain Ranch CWMU","Elk","Any Legal Weapon","CWMU"
"EB3545","Cactus Ranch LLC CWMU","Elk","Any Legal Weapon","CWMU"
"EB3613","Little Pole Canyon CWMU","Elk","Any Legal Weapon","CWMU"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","Elk","Any Legal Weapon","CWMU"
"MB6201","Beaver Hollow CWMU","Moose","Any Legal Weapon","CWMU"
"MB6265","Little Pole Canyon CWMU","Moose","Any Legal Weapon","CWMU"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","Moose","Any Legal Weapon","CWMU"
"PB5339","Iron Spring CWMU","Pronghorn","Any Legal Weapon","CWMU"
