family,hunt_code,residency,hunt_name,weapon,season_dates_2026,permits_2025_total,permits_2026_total,permit_delta_total,significance,reference_match,master_match,ladder_match,draw_reality_match,repo_public_permits_2026,repo_permits_2026_total,source_document,source_note
standard_antlerless_elk,EA1079,Nonresident,Fishlake/Thousand Lakes East,Any Legal Weapon,Nov 21 2026 - Dec 30 2026,65,65,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,7,65,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1080,Resident,Fishlake/Thousand Lakes West,Any Legal Weapon,Nov 21 2026 - Dec 30 2026,60,60,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,54,60,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1080,Nonresident,Fishlake/Thousand Lakes West,Any Legal Weapon,Nov 21 2026 - Dec 30 2026,60,60,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,6,60,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1033,Resident,Kamas,Any Legal Weapon,Nov 07 2026 - Jan 17 2027,125,100,-25,MAJOR,TRUE,TRUE,TRUE,TRUE,90,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1033,Nonresident,Kamas,Any Legal Weapon,Nov 07 2026 - Jan 17 2027,125,100,-25,MAJOR,TRUE,TRUE,TRUE,TRUE,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA2033,Resident,Kamas,Archery,Aug 15 2026 - Sept 16 2026,250,200,-50,MAJOR,TRUE,TRUE,TRUE,TRUE,180,200,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA2033,Nonresident,Kamas,Archery,Aug 15 2026 - Sept 16 2026,250,200,-50,MAJOR,TRUE,TRUE,TRUE,TRUE,20,200,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1035,Resident,"Kamas, Oakley",Any Legal Weapon,Nov 07 2026 - Dec 30 2026,125,100,-25,MAJOR,TRUE,TRUE,TRUE,TRUE,90,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1035,Nonresident,"Kamas, Oakley",Any Legal Weapon,Nov 07 2026 - Dec 30 2026,125,100,-25,MAJOR,TRUE,TRUE,TRUE,TRUE,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1038,Resident,La Sal Mtns,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,200,200,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,180,200,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1038,Nonresident,La Sal Mtns,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,200,200,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,20,200,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1039,Resident,La Sal Mtns,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,150,150,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,135,150,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1039,Nonresident,La Sal Mtns,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,150,150,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,15,150,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1237,Resident,"La Sal Mtns, North",Any Legal Weapon,Nov 19 2026 - Dec 31 2026,175,175,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,157,175,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1237,Nonresident,"La Sal Mtns, North",Any Legal Weapon,Nov 19 2026 - Dec 31 2026,175,175,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,18,175,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1013,Resident,"Manti, Central",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,70,70,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,63,70,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1013,Nonresident,"Manti, Central",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,70,70,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,7,70,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1015,Resident,"Manti, Ferron Canyon",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,70,70,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,63,70,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1015,Nonresident,"Manti, Ferron Canyon",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,70,70,0,UNCHANGED,TRUE,TRUE,TRUE,TRUE,7,70,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026.
standard_antlerless_elk,EA1288,Resident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Dec 22 2026 - Jan 31 2027,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,36,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
standard_antlerless_elk,EA1288,Nonresident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Dec 22 2026 - Jan 31 2027,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
standard_antlerless_elk,EA1289,Resident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Nov 14 2026 - Dec 21 2026,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,36,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
standard_antlerless_elk,EA1289,Nonresident,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Nov 14 2026 - Dec 21 2026,,40,40,MAJOR,TRUE,TRUE,TRUE,TRUE,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
