"reported_hunt_year","model_target_year","species","hunt_code","hunt_name","hunt_type","quota","male_harvest","female_harvest","total_harvest","percent_female","percent_5plus","mean_age","source_file","source_page","data_quality_flags"
"2022","2023","Cougar","","Beaver, East","Cougar Unit Summary","Unlimited","10","14","24","58","14","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Beaver, West","Cougar Unit Summary","Unlimited","2","2","4","50","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Book Cliffs, East","Cougar Unit Summary","Unlimited","13","2","15","13","7","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Box Elder, Desert","Cougar Unit Summary","17","5","2","7","29","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Box Elder, Raft River","Cougar Unit Summary","","5","0","5","0","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Cache","Cougar Unit Summary","Unlimited","5","11","16","69","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Nebo","Cougar Unit Summary","","7","5","12","42","22","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Nebo-West Face","Cougar Unit Summary","Unlimited","5","3","8","38","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Northeast Manti","Cougar Unit Summary","Unlimited","5","2","7","29","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Northwest Manti","Cougar Unit Summary","Unlimited","5","2","7","29","0","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Southeast Manti","Cougar Unit Summary","Unlimited","5","3","8","38","29","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
"2022","2023","Cougar","","Central Mtns, Southwest Manti","Cougar Unit Summary","Unlimited","5","3","8","38","22","","9cb7bd59__cougar_2022.pdf","12","UNIT_SUMMARY_NO_HUNT_CODE"
