"source_hunt_number","source_hunt_name","candidate_count","el_count","lo_count","unique_season_count","multiple_seasons","season_values","candidate_codes"
"LE0001","La Sal, La Sal Mtns","4","3","1","0","False","","EL3045;EL3046;EL3183;LO1539"
"LE0002","Manti","3","3","0","0","False","","EL3038;EL3039;EL3126"
"LE0003","Manti","3","3","0","0","False","","EL3038;EL3039;EL3126"
"LE0004","Manti","3","3","0","0","False","","EL3038;EL3039;EL3126"
"LE0005","Manti","3","3","0","0","False","","EL3038;EL3039;EL3126"
"LE0008","Wasatch Mtns","3","3","0","0","False","","EL3072;EL3073;EL3127"
"LE0009","Wasatch Mtns","3","3","0","0","False","","EL3072;EL3073;EL3127"
"LE0011","Manti","3","3","0","0","False","","EL3038;EL3039;EL3126"
"LE0013","Southwest Desert","1","0","1","0","False","","LO1554"
"LE0017","Nebo","1","0","1","0","False","","LO1534"
"LE0018","La Sal, La Sal Mtns","4","3","1","0","False","","EL3045;EL3046;EL3183;LO1539"
