hunt_code,in_2023_harvest,in_2023_draw,in_active_database_2026,comparison_bucket
BI0001,YES,NO,NO,harvest_only
BI1000,NO,NO,YES,active_database_only
BI6500,YES,YES,YES,both
BI6503,YES,YES,YES,both
BI6504,YES,YES,YES,both
BI6505,YES,YES,YES,both
BI6506,YES,YES,YES,both
BI6509,YES,YES,YES,both
BI6516,YES,YES,YES,both
BI6527,NO,NO,YES,active_database_only
BI6528,YES,YES,YES,both
BI6529,YES,YES,YES,both
BI6530,YES,YES,NO,both
BI6531,YES,YES,YES,both
BI6532,YES,YES,YES,both
BI6533,YES,YES,NO,both
BI6534,YES,YES,YES,both
BI6535,YES,YES,YES,both
BI6536,YES,YES,YES,both
BI6537,YES,YES,YES,both
BI6538,NO,NO,YES,active_database_only
BI6539,NO,NO,YES,active_database_only
BR1000,NO,NO,YES,active_database_only
BR1001,NO,NO,YES,active_database_only
BR1007,NO,NO,YES,active_database_only
BR1008,NO,YES,YES,draw_only
BR1009,NO,YES,YES,draw_only
BR1010,NO,YES,YES,draw_only
BR1011,NO,YES,YES,draw_only
BR1012,NO,YES,YES,draw_only
BR1013,NO,YES,YES,draw_only
BR1015,NO,YES,YES,draw_only
BR1016,NO,YES,YES,draw_only
BR1017,NO,YES,YES,draw_only
BR1018,NO,NO,YES,active_database_only
BR7000,NO,YES,YES,draw_only
BR7001,NO,YES,YES,draw_only
BR7003,NO,YES,YES,draw_only
BR7004,NO,YES,YES,draw_only
BR7005,NO,YES,YES,draw_only
BR7007,NO,YES,YES,draw_only
BR7008,NO,YES,NO,draw_only
BR7009,NO,YES,YES,draw_only
BR7010,NO,YES,YES,draw_only
BR7011,NO,YES,YES,draw_only
BR7012,NO,YES,YES,draw_only
BR7013,NO,YES,YES,draw_only
BR7014,NO,YES,YES,draw_only
BR7015,NO,YES,YES,draw_only
BR7016,NO,YES,YES,draw_only
BR7017,NO,YES,YES,draw_only
BR7018,NO,YES,YES,draw_only
BR7019,NO,YES,NO,draw_only
BR7020,NO,YES,YES,draw_only
BR7021,NO,NO,YES,active_database_only
BR7022,NO,NO,YES,active_database_only
BR7100,NO,YES,YES,draw_only
BR7101,NO,YES,YES,draw_only
BR7102,NO,YES,YES,draw_only
BR7104,NO,YES,YES,draw_only
BR7105,NO,YES,YES,draw_only
BR7106,NO,YES,YES,draw_only
BR7108,NO,YES,NO,draw_only
BR7109,NO,YES,YES,draw_only
BR7110,NO,YES,YES,draw_only
BR7111,NO,YES,YES,draw_only
BR7112,NO,YES,YES,draw_only
BR7113,NO,YES,YES,draw_only
BR7114,NO,YES,YES,draw_only
BR7115,NO,YES,YES,draw_only
BR7116,NO,YES,YES,draw_only
BR7117,NO,YES,YES,draw_only
BR7118,NO,YES,YES,draw_only
BR7119,NO,YES,YES,draw_only
BR7120,NO,YES,YES,draw_only
BR7121,NO,YES,YES,draw_only
BR7122,NO,YES,YES,draw_only
BR7123,NO,YES,YES,draw_only
BR7124,NO,YES,YES,draw_only
BR7125,NO,YES,YES,draw_only
BR7126,NO,NO,YES,active_database_only
BR7127,NO,NO,YES,active_database_only
BR7200,NO,YES,YES,draw_only
BR7201,NO,YES,YES,draw_only
BR7203,NO,YES,YES,draw_only
BR7204,NO,YES,YES,draw_only
BR7205,NO,YES,YES,draw_only
BR7207,NO,YES,YES,draw_only
BR7208,NO,YES,NO,draw_only
BR7210,NO,YES,YES,draw_only
BR7211,NO,YES,YES,draw_only
BR7212,NO,YES,YES,draw_only
BR7213,NO,YES,YES,draw_only
BR7214,NO,YES,YES,draw_only
BR7215,NO,YES,YES,draw_only
BR7216,NO,YES,YES,draw_only
BR7217,NO,YES,YES,draw_only
BR7218,NO,YES,YES,draw_only
BR7219,NO,YES,YES,draw_only
BR7220,NO,YES,YES,draw_only
BR7221,NO,YES,YES,draw_only
BR7224,NO,YES,YES,draw_only
BR7225,NO,YES,YES,draw_only
BR7228,NO,YES,YES,draw_only
BR7229,NO,YES,YES,draw_only
BR7237,NO,NO,YES,active_database_only
BR7238,NO,NO,YES,active_database_only
BR7239,NO,NO,YES,active_database_only
BR7300,NO,YES,YES,draw_only
BR7301,NO,YES,YES,draw_only
BR7303,NO,YES,YES,draw_only
BR7304,NO,YES,YES,draw_only
BR7305,NO,YES,YES,draw_only
BR7307,NO,YES,YES,draw_only
BR7308,NO,YES,YES,draw_only
BR7309,NO,YES,YES,draw_only
BR7310,NO,YES,YES,draw_only
BR7311,NO,YES,YES,draw_only
BR7312,NO,YES,YES,draw_only
BR7313,NO,YES,YES,draw_only
BR7314,NO,YES,YES,draw_only
BR7315,NO,YES,YES,draw_only
BR7316,NO,YES,YES,draw_only
BR7317,NO,YES,YES,draw_only
BR7318,NO,YES,YES,draw_only
BR7320,NO,YES,YES,draw_only
BR7321,NO,YES,YES,draw_only
BR7322,NO,YES,YES,draw_only
BR7323,NO,YES,YES,draw_only
BR7324,NO,NO,YES,active_database_only
BR7325,NO,NO,YES,active_database_only
BR7326,NO,NO,YES,active_database_only
CG9999,NO,NO,YES,active_database_only
DA1001,NO,YES,YES,draw_only
DA1002,NO,YES,YES,draw_only
DA1003,NO,YES,YES,draw_only
DA1009,NO,YES,YES,draw_only
DA1011,NO,YES,YES,draw_only
DA1012,NO,YES,YES,draw_only
DA1013,NO,YES,YES,draw_only
DA1018,NO,YES,YES,draw_only
DA1027,NO,YES,YES,draw_only
DA1030,NO,YES,YES,draw_only
DA1031,NO,YES,YES,draw_only
DA1033,NO,YES,YES,draw_only
DA1041,NO,YES,YES,draw_only
DA1042,NO,YES,YES,draw_only
DA1044,NO,YES,NO,draw_only
DA1045,NO,YES,YES,draw_only
DA1046,NO,YES,YES,draw_only
DA1047,NO,YES,YES,draw_only
DA1048,NO,YES,YES,draw_only
DA1049,NO,YES,YES,draw_only
DA1050,NO,NO,YES,active_database_only
DB0001,NO,NO,YES,active_database_only
DB0002,NO,NO,YES,active_database_only
DB0003,NO,NO,YES,active_database_only
DB0004,NO,NO,YES,active_database_only
DB0005,NO,NO,YES,active_database_only
DB0006,NO,NO,YES,active_database_only
DB0007,NO,NO,YES,active_database_only
DB0008,NO,NO,YES,active_database_only
DB0009,NO,NO,YES,active_database_only
DB0010,NO,NO,YES,active_database_only
DB0011,NO,NO,YES,active_database_only
DB0012,NO,NO,YES,active_database_only
DB0013,NO,NO,YES,active_database_only
DB1000,YES,YES,YES,both
DB1001,YES,YES,YES,both
DB1002,YES,YES,YES,both
DB1003,YES,YES,YES,both
DB1004,YES,YES,YES,both
DB1005,YES,YES,YES,both
DB1006,YES,YES,YES,both
DB1007,YES,YES,YES,both
DB1008,YES,YES,YES,both
DB1009,NO,NO,YES,active_database_only
DB1010,YES,YES,YES,both
DB1011,YES,YES,YES,both
DB1012,YES,YES,YES,both
DB1013,YES,YES,YES,both
DB1014,YES,YES,YES,both
DB1015,YES,YES,YES,both
DB1016,YES,YES,YES,both
DB1017,YES,YES,YES,both
DB1018,YES,YES,YES,both
DB1019,YES,YES,YES,both
DB1020,YES,YES,YES,both
DB1022,YES,YES,YES,both
DB1023,YES,YES,YES,both
DB1024,YES,YES,YES,both
DB1025,YES,YES,YES,both
DB1026,YES,YES,YES,both
DB1028,YES,YES,YES,both
DB1029,YES,YES,YES,both
DB1030,YES,YES,YES,both
DB1031,YES,YES,YES,both
DB1032,YES,YES,YES,both
DB1033,YES,YES,YES,both
DB1034,YES,YES,YES,both
DB1036,YES,YES,NO,both
DB1037,YES,YES,YES,both
DB1038,YES,YES,YES,both
DB1039,YES,YES,YES,both
DB1040,YES,YES,YES,both
DB1041,YES,YES,YES,both
DB1042,YES,YES,YES,both
DB1043,YES,YES,YES,both
DB1044,YES,YES,YES,both
DB1045,YES,YES,YES,both
DB1046,YES,YES,YES,both
DB1047,YES,YES,YES,both
DB1048,YES,YES,YES,both
DB1053,YES,YES,YES,both
DB1054,YES,YES,YES,both
