"hunt_code","hunt_name","species","norm_name","candidates","candidate_ids"
"DB1238","Folley Ridge CWMU","Deer","folley ridge","",""
"DB1255","Johnson Mountain Ranch CWMU","Deer","johnson mountain","",""
"DB1310","White's Valley CWMU","Deer","white s valley","",""
"DB1335","Big Piney Ranch CWMU","Deer","big piney ranch","",""
"DB1337","Little Pole Canyon CWMU","Deer","little pole canyon","",""
"EA1135","Folley Ridge CWMU","Elk","folley ridge","",""
"EA1145","Johnson Mountain Ranch CWMU","Elk","johnson mountain","",""
"EA1158","Cactus Ranch LLC CWMU","Elk","cactus ranch","",""
"EA1256","Little Pole Canyon CWMU","Elk","little pole canyon","",""
"EA1259","Diamond Mountain CWMU","Elk","diamond mountain","",""
"EB3520","Folley Ridge CWMU","Elk","folley ridge","",""
"EB3531","Johnson Mountain Ranch CWMU","Elk","johnson mountain","",""
"EB3545","Cactus Ranch LLC CWMU","Elk","cactus ranch","",""
"EB3613","Little Pole Canyon CWMU","Elk","little pole canyon","",""
"MB6201","Beaver Hollow CWMU","Moose","beaver hollow","",""
"MB6265","Little Pole Canyon CWMU","Moose","little pole canyon","",""
