guidebook_code,guidebook_prefix,guidebook_species_inferred,guidebook_hunt_name_candidate,guidebook_page,guidebook_line
DB0008,DB,Deer,selecting hunt number,8,selecting hunt number DB0008. This permit will
DB1611,DB,Deer,"Beaver, East (new)",39,"Beaver, East (new) DB1611 Aug. 16-Sept. 12"
DB1614,DB,Deer,"Beaver, West (new)",39,"Beaver, West (new) DB1614 Aug. 16-Sept. 12"
DB1518,DB,Deer,Boulder/Kaiparowits,39,Boulder/Kaiparowits DB1518 Aug. 16-Sept. 12
DB1501,DB,Deer,Box Elder,39,Box Elder DB1501 Aug. 16-Sept. 12
DB1502,DB,Deer,Cache,39,Cache DB1502 Aug. 16-Sept. 12
DB1623,DB,Deer,Cedar/Stansbury (new),39,Cedar/Stansbury (new) DB1623 Aug. 16-Sept. 12
DB1600,DB,Deer,Chalk Creek,39,Chalk Creek DB1600 Aug. 16-Sept. 12
DB1604,DB,Deer,East Canyon,39,East Canyon DB1604 Aug. 16-Sept. 12
DB1506,DB,Deer,Fillmore,39,Fillmore DB1506 Aug. 16-Sept. 12
DB1519,DB,Deer,Fishlake,39,Fishlake DB1519 Aug. 16-Sept. 12
DB1508,DB,Deer,Kamas,39,Kamas DB1508 Aug. 16-Sept. 12
DB1509,DB,Deer,"La Sal, La Sal Mtns",39,"La Sal, La Sal Mtns DB1509 Aug. 16-Sept. 12"
DB1503,DB,Deer,Manti/San Rafael,39,Manti/San Rafael DB1503 Aug. 16-Sept. 12
DB1510,DB,Deer,Monroe,39,Monroe DB1510 Aug. 16-Sept. 12
DB1608,DB,Deer,Morgan-South Rich,39,Morgan-South Rich DB1608 Aug. 16-Sept. 12
DB1511,DB,Deer,Mt Dutton,39,Mt Dutton DB1511 Aug. 16-Sept. 12
DB1504,DB,Deer,Nebo,39,Nebo DB1504 Aug. 16-Sept. 12
DB1512,DB,Deer,Nine Mile,39,Nine Mile DB1512 Aug. 16-Sept. 12
DB1513,DB,Deer,North Slope,39,North Slope DB1513 Aug. 16-Sept. 12
DB1514,DB,Deer,Ogden,39,Ogden DB1514 Aug. 16-Sept. 12
DB1620,DB,Deer,Oquirrh/Tintic (new),39,Oquirrh/Tintic (new) DB1620 Aug. 16-Sept. 12
DB1516,DB,Deer,Panguitch Lake,39,Panguitch Lake DB1516 Aug. 16-Sept. 12
DB1517,DB,Deer,Pine Valley,39,Pine Valley DB1517 Aug. 16-Sept. 12
DB1521,DB,Deer,"San Juan, Abajo Mtns",39,"San Juan, Abajo Mtns DB1521 Aug. 16-Sept. 12"
DB1524,DB,Deer,Southwest Desert,39,Southwest Desert DB1524 Aug. 16-Sept. 12
DB1522,DB,Deer,Vernal/Bonanza,39,Vernal/Bonanza DB1522 Aug. 16-Sept. 12
DB1525,DB,Deer,"Wasatch Mtns, East",40,"Wasatch Mtns, East DB1525 Aug. 16-Sept. 12"
DB1526,DB,Deer,"Wasatch Mtns, West",40,"Wasatch Mtns, West DB1526 Aug. 16-Sept. 12"
DB1617,DB,Deer,"West Desert, Swasey (new)",40,"West Desert, Swasey (new) DB1617 Aug. 16-Sept. 12"
DB1523,DB,Deer,Yellowstone,40,Yellowstone DB1523 Aug. 16-Sept. 12
DB1529,DB,Deer,Zion,40,Zion DB1529 Aug. 16-Sept. 12
DB0008,DB,Deer,Deer extended archery only (new),40,Deer extended archery only (new) DB0008 See page 8
DB1631,DB,Deer,Box Elder (new),40,Box Elder (new) DB1631 Oct. 8-Oct. 12
DB1601,DB,Deer,Chalk Creek,40,Chalk Creek DB1601 Oct. 8-Oct. 12
DB1605,DB,Deer,East Canyon,40,East Canyon DB1605 Oct. 8-Oct. 12
DB1591,DB,Deer,Fillmore,40,Fillmore DB1591 Oct. 8-Oct. 12
DB1596,DB,Deer,Fishlake,40,Fishlake DB1596 Oct. 8-Oct. 12
DB1592,DB,Deer,Kamas,40,Kamas DB1592 Oct. 8-Oct. 12
DB1609,DB,Deer,Morgan-South Rich,40,Morgan-South Rich DB1609 Oct. 8-Oct. 12
DB1593,DB,Deer,Nine Mile,40,Nine Mile DB1593 Oct. 8-Oct. 12
DB1598,DB,Deer,North Slope,40,North Slope DB1598 Oct. 8-Oct. 12
DB1594,DB,Deer,Panguitch Lake,40,Panguitch Lake DB1594 Oct. 8-Oct. 12
DB1595,DB,Deer,Pine Valley,40,Pine Valley DB1595 Oct. 8-Oct. 12
DB1597,DB,Deer,Zion,40,Zion DB1597 Oct. 8-Oct. 12
DB1613,DB,Deer,"Beaver, East (new)",41,"Beaver, East (new) DB1613 Oct. 18-Oct. 26"
DB1531,DB,Deer,Box Elder,41,Box Elder DB1531 Oct. 18-Oct. 26
