row_number,hunt_code,hunt_name,species,matched_boundary_name,boundary_id,match_type
1,DA1011,George Creek CWMU,Deer,,806,alias_or_truth_fill
2,DA1012,Junction Valley CWMU,Deer,,589,alias_or_truth_fill
3,DA1013,Mt Carmel CWMU,Deer,,533,alias_or_truth_fill
4,DA1050,The Rose of Snowville CWMU,Deer,,509,alias_or_truth_fill
5,DB1200,Alton - Premium Buck CWMU,Deer,,526,alias_or_truth_fill
6,DB1201,Alton - Management Buck CWMU,Deer,,526,alias_or_truth_fill
7,DB1202,Antelope Creek CWMU,Deer,,581,alias_or_truth_fill
8,DB1203,Avintaquin Canyon CWMU,Deer,,599,alias_or_truth_fill
9,DB1204,Bally Watts CWMU,Deer,,559,alias_or_truth_fill
10,DB1205,Bar J Ranch CWMU,Deer,,527,alias_or_truth_fill
11,DB1206,Bear Mountain CWMU,Deer,,582,alias_or_truth_fill
12,DB1207,Bear Springs CWMU,Deer,,575,alias_or_truth_fill
13,DB1208,Blackhawk CWMU,Deer,,808,alias_or_truth_fill
14,DB1209,Blind Springs CWMU,Deer,,500,alias_or_truth_fill
15,DB1211,Blue Spring Hills CWMU,Deer,,510,alias_or_truth_fill
16,DB1212,Bluebell CWMU,Deer,,604,alias_or_truth_fill
17,DB1213,Boobe Hole CWMU,Deer,,529,alias_or_truth_fill
18,DB1215,Buckhorn Ranch CWMU,Deer,,598,alias_or_truth_fill
19,DB1216,Castle Valley Outdoors CWMU,Deer,,545,alias_or_truth_fill
20,DB1217,Causey Spring CWMU,Deer,,560,alias_or_truth_fill
21,DB1219,Chimney Rock CWMU,Deer,,732,alias_or_truth_fill
22,DB1222,Coldwater Ranch CWMU,Deer,,505,alias_or_truth_fill
23,DB1224,Cotton Thomas CWMU,Deer,,640,alias_or_truth_fill
24,DB1227,Deer Haven CWMU,Deer,,606,alias_or_truth_fill
25,DB1228,Deseret CWMU,Deer,,568,alias_or_truth_fill
26,DB1229,Dilly Ranch CWMU,Deer,,733,alias_or_truth_fill
27,DB1230,Double R Ranch CWMU,Deer,,554,alias_or_truth_fill
28,DB1231,Dove Creek CWMU,Deer,,512,alias_or_truth_fill
29,DB1232,Durst Mountain CWMU,Deer,,567,alias_or_truth_fill
30,DB1233,East Fork Chalk Creek CWMU,Deer,,520,alias_or_truth_fill
31,DB1234,East Zion CWMU,Deer,,807,alias_or_truth_fill
32,DB1236,Engineer Springs CWMU,Deer,,519,alias_or_truth_fill
33,DB1237,Ensign Ranches CWMU,Deer,,522,alias_or_truth_fill
34,DB1238,Folley Ridge CWMU,Deer,,579,alias_or_truth_fill
35,DB1239,Fort Ranch CWMU,Deer,,514,alias_or_truth_fill
36,DB1240,George Creek CWMU,Deer,,806,alias_or_truth_fill
37,DB1241,Golden Spike CWMU,Deer,,497,alias_or_truth_fill
38,DB1242,Grass Valley/Clark Canyon CWMU,Deer,,525,alias_or_truth_fill
39,DB1243,Grazing Pasture CWMU,Deer,,530,alias_or_truth_fill
40,DB1244,Green Canyon CWMU,Deer,,489,alias_or_truth_fill
41,DB1245,Guildersleeve CWMU,Deer,,573,alias_or_truth_fill
42,DB1246,Hardscrabble CWMU,Deer,,577,alias_or_truth_fill
43,DB1248,Heaston East CWMU,Deer,,555,alias_or_truth_fill
44,DB1249,Hiawatha CWMU,Deer,,550,alias_or_truth_fill
45,DB1250,Indian Creek CWMU,Deer,,495,alias_or_truth_fill
46,DB1251,Indian Head CWMU,Deer,,735,alias_or_truth_fill
47,DB1252,Ingham Peak CWMU,Deer,,493,alias_or_truth_fill
48,DB1253,Circle E Ranch CWMU,Deer,,549,alias_or_truth_fill
49,DB1255,Johnson Mountain Ranch CWMU,Deer,,531,alias_or_truth_fill
50,DB1256,Junction Valley CWMU,Deer,,589,alias_or_truth_fill
51,DB1258,Little Red Creek CWMU,Deer,,484,alias_or_truth_fill
52,DB1259,Tunnel Hollow CWMU,Deer,,569,alias_or_truth_fill
53,DB1260,Middle Ridge CWMU,Deer,,565,alias_or_truth_fill
54,DB1261,Minnie Maud Ridge CWMU,Deer,,551,alias_or_truth_fill
55,DB1263,Moon Ranch CWMU,Deer,,485,alias_or_truth_fill
56,DB1264,Mountain Meadow CWMU,Deer,,518,alias_or_truth_fill
