"hunt_code","hunt_name","species","norm_name","match_class","exact_names","exact_ids","contains_names","contains_ids"
"DB1238","Folley Ridge CWMU","Deer","folley ridge","no_match","","","",""
"DB1255","Johnson Mountain Ranch CWMU","Deer","johnson mountain","no_match","","","",""
"DB1310","White's Valley CWMU","Deer","white s valley","no_match","","","",""
"DB1335","Big Piney Ranch CWMU","Deer","big piney ranch","no_match","","","",""
"DB1337","Little Pole Canyon CWMU","Deer","little pole canyon","no_match","","","",""
"EA1135","Folley Ridge CWMU","Elk","folley ridge","no_match","","","",""
"EA1145","Johnson Mountain Ranch CWMU","Elk","johnson mountain","no_match","","","",""
"EA1158","Cactus Ranch LLC CWMU","Elk","cactus ranch","no_match","","","",""
"EA1256","Little Pole Canyon CWMU","Elk","little pole canyon","no_match","","","",""
"EA1259","Diamond Mountain CWMU","Elk","diamond mountain","no_match","","","",""
"EB3520","Folley Ridge CWMU","Elk","folley ridge","no_match","","","",""
"EB3531","Johnson Mountain Ranch CWMU","Elk","johnson mountain","no_match","","","",""
"EB3545","Cactus Ranch LLC CWMU","Elk","cactus ranch","no_match","","","",""
"EB3613","Little Pole Canyon CWMU","Elk","little pole canyon","no_match","","","",""
"MB6201","Beaver Hollow CWMU","Moose","beaver hollow","no_match","","","",""
"MB6265","Little Pole Canyon CWMU","Moose","little pole canyon","no_match","","","",""
