permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
Book Cliffs,Archery,DB1011,Resident,45,55,10,MAJOR,55,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Book Cliffs,Archery,DB1011,Nonresident,5,6,1,MINOR,6,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Book Cliffs,Multiseason,DB1044,Resident,6,8,2,MINOR,8,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Book Cliffs,Multiseason,DB1044,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Book Cliffs,Muzzleloader,DB1025,Resident,45,55,10,MAJOR,55,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Book Cliffs,Muzzleloader,DB1025,Nonresident,5,6,1,MINOR,6,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Book Cliffs, North",Any Legal Weapon,DB1017,Resident,114,137,23,MAJOR,137,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Book Cliffs, North",Any Legal Weapon,DB1017,Nonresident,13,15,2,MINOR,15,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,DB1018,Resident,29,34,5,MINOR,34,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Book Cliffs, South",Any Legal Weapon,DB1018,Nonresident,3,4,1,MINOR,4,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Cache, Crawford Mtn",Muzzleloader,DB1026,Resident,7,8,1,MINOR,8,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
"Cache, Crawford Mtn",Muzzleloader,DB1026,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Castle Valley,Any Legal Weapon,DB1120,Resident,13,13,0,UNCHANGED,13,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Castle Valley,Any Legal Weapon,DB1120,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Diamond Mtn,Any Legal Weapon,DB1023,Resident,57,61,4,MINOR,61,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Diamond Mtn,Any Legal Weapon,DB1023,Nonresident,6,7,1,MINOR,7,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
Diamond Mtn,Archery,DB1015,Resident,20,22,2,MINOR,22,True,2026-05-user-verified-table,User-provided limited-entry buck deer comparison table for 2025 to 2026.
