section,hunt_code,hunt_name,species,hunt_type,draw_system_type,algorithm_status,model_strategy,residency,points,public_permits_2026,max_point_permits_2026,random_permits_2026,p_draw,p_draw_pct,p_bonus_pool,p_random_pool,p_preference_draw,data_quality_flags,source_years_used
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,0,1,0,1,0.054054,5.405,0.000000,0.054054,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,1,1,0,1,0.081081,8.108,0.000000,0.081081,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,2,1,0,1,0.081081,8.108,0.000000,0.081081,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,3,1,0,1,0.054054,5.405,0.000000,0.054054,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,4,1,0,1,0.202703,20.270,0.000000,0.202703,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,5,1,0,1,0.162162,16.216,0.000000,0.162162,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,6,1,0,1,0.000000,0.000,0.000000,0.000000,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,7,1,0,1,0.108108,10.811,0.000000,0.108108,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,8,1,0,1,0.121622,12.162,0.000000,0.121622,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
ONE_PERMIT_RANDOM_ONLY_BONUS_ROWS,BR7000,Beaver,Black Bear,Limited Entry - Spring,BEAR_DRAW,MODELED_BONUS,bear_bonus_phase8,Nonresident,9,1,0,1,0.135135,13.514,0.000000,0.135135,,FIRST_CHOICE_ONLY_MODEL|ONE_PERMIT_RANDOM_ONLY|NO_MAX_POINT_POOL,"2021,2022,2023,2024,2025"
