from_year,to_year,year_transition,hunt_code,residency,mean_absolute_error_applicants_at_level,mean_absolute_error_applicants_above,bonus_pool_cutoff_error,guaranteed_at_error,quota_split_error,brier_score_by_point_level,calibration_error_by_probability_bucket
2021,2022,2021->2022,DB1554,Nonresident,11.444444,33.111111,,,31,0.0,0.0
2021,2022,2021->2022,BI6533,Resident,7.857143,25.5,,,18,0.357143,0.357143
2021,2022,2021->2022,DB1325,Resident,0.695652,2.304348,,,2,0.0,0.0
2021,2022,2021->2022,EA1132,Resident,7.4,14.4,,,29,0.0,0.0
2021,2022,2021->2022,MB6200,Resident,3.538462,27.153846,,,2,0.0,0.0
2021,2022,2021->2022,EB3608,Resident,1.26087,5.217391,,,2,0.0,0.0
2021,2022,2021->2022,DB1048,Resident,9.869565,47.521739,-2,-2,8,0.086957,0.086957
2021,2022,2021->2022,PB5300,Resident,1.608696,4.086957,,,5,0.043478,0.043478
2021,2022,2021->2022,EA1204,Resident,13.0,19.714286,,,4,0.0,0.0
2021,2022,2021->2022,BI6524,Nonresident,3.310345,12.551724,-16,-16,16,0.104828,0.110345
2021,2022,2021->2022,EB3047,Resident,48.466667,371.133333,2,2,21,0.1,0.1
2021,2022,2021->2022,DB1517,Resident,153.166667,51.833333,,,609,0.0,0.0
2021,2022,2021->2022,PB5000,Nonresident,0.785714,0.285714,,,7,0.044643,0.053571
2021,2022,2021->2022,EB3561,Resident,4.708333,28.583333,-18,-18,6,0.083333,0.083333
2021,2022,2021->2022,PB5009,Nonresident,0.5,2.857143,,,4,0.035714,0.035714
2021,2022,2021->2022,DB1573,Resident,140.833333,44.0,,,449,0.0,0.0
2021,2022,2021->2022,PB5022,Nonresident,1.034483,1.241379,,,8,0.043103,0.051724
2021,2022,2021->2022,PD1027,Nonresident,3.25,4.0,,,3,0.0,0.0
2021,2022,2021->2022,DB1016,Resident,15.545455,54.318182,1,1,29,0.2282,0.233766
2021,2022,2021->2022,DB1079,Resident,9.217391,33.173913,-2,-2,29,0.136549,0.146739
2021,2022,2021->2022,EB3542,Resident,0.478261,1.956522,,,2,0.0,0.0
2021,2022,2021->2022,EA1228,Resident,20.4,10.2,,,83,0.0,0.0
2021,2022,2021->2022,PB5041,Resident,11.590909,27.045455,-7,-7,18,0.227273,0.227273
2021,2022,2021->2022,DB1543,Nonresident,10.6,3.2,,,50,0.0,0.0
2021,2022,2021->2022,DB1242,Nonresident,6.678571,24.821429,,,15,0.047376,0.056122
2021,2022,2021->2022,EB3025,Resident,10.0,58.5,0,0,17,0.142857,0.142857
2021,2022,2021->2022,DB1593,Resident,61.0,36.0,,,254,0.0,0.0
2021,2022,2021->2022,DB1309,Resident,4.130435,22.478261,-14,-14,8,0.173913,0.173913
2021,2022,2021->2022,PD1003,Resident,44.0,83.0,,,4,0.0,0.0
2021,2022,2021->2022,BR7307,Nonresident,3.888889,10.555556,,,1,0.0,0.0
2021,2022,2021->2022,EB3016,Nonresident,1.071429,4.25,-5,-5,4,0.071429,0.071429
