file,status,rows,headers,unique_hunt_codes,possible_hunt_codes,codes_in_active_database,codes_not_in_active_database,new_codes_vs_core_harvest,new_active_codes_vs_core_harvest,codes_overlap_draw_2023,classification,useful_fields,sample_new_codes_vs_core,sample_headers
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_ANTLERLESS_MOOSE_all_sources.csv,present,3,48,3,0,1,2,3,1,3,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,MA1000|MA1005|MA1006,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_measurements.csv,present,43,21,0,0,0,0,0,0,0,supporting_quality_crosswalk_or_measurement,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|days_hunted|hunter_satisfaction|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|location_of_kill|days_hunted|wound|hunter_satisfaction|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BIGHORN_SHEEP_all_sources.csv,present,43,48,0,0,0,0,0,0,0,alternate_source_or_validation_support,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,present,30,23,30,0,29,1,0,0,30,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|source_class|page_title|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|source_file|source_file_sha256|source_page|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_class|species|page_title|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|data_granularity|source_file|source_file_sha256|source_page|parse_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly|raw_record
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,present,138,38,3,19,3,0,0,0,3,supporting_quality_crosswalk_or_measurement,reported_hunt_year|model_target_year|source_class|days_hunted|hunter_satisfaction|horn_length_left_raw|horn_length_left_decimal|horn_length_right_raw|horn_length_right_decimal|base_circumference_left_raw|base_circumference_left_decimal|base_circumference_right_raw|base_circumference_right_decimal|age_of_sheep_raw|age_of_sheep_decimal|source_file|source_file_sha256|source_page|source_row_id|data_quality_flags,,record_no|reported_hunt_year|model_target_year|source_class|species|sheep_type|hunt_code|selected_hunt_code|possible_hunt_codes|matched_hunt_name|matched_species|matched_unit_name|unit_crosswalk_status|unit_crosswalk_confidence|unit_crosswalk_method|unit_crosswalk_notes|database_match_status|location_of_kill|days_hunted|wound|hunter_satisfaction|horn_length_left_raw|horn_length_left_decimal|horn_length_right_raw|horn_length_right_decimal|base_circumference_left_raw|base_circumference_left_decimal|base_circumference_right_raw|base_circumference_right_decimal|age_of_sheep_raw
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_bighorn_unit_dates.csv,present,137,22,46,0,39,7,16,10,30,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|date_harvested|harvest|permits|hunters_afield|percent_success|average_days|hunter_satisfaction,DS1000|DS1001|DS1002|DS1003|DS1004|DS1005|DS1006|DS1007|RS0001|RS1001|RS1002|RS1003|RS1004|RS1005|RS1006|RS1007,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|date_inspected|date_harvested|harvest|permits|hunters_afield|percent_success|average_days|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv,present,18,48,18,0,15,3,0,0,17,alternate_source_or_validation_support,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv,present,18,29,18,0,15,3,0,0,17,covered_core_keyed_or_duplicate,reported_hunt_year|model_target_year|source_class|page_title|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|source_file|source_file_sha256|source_page|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,,reported_hunt_year|model_target_year|source_class|species|page_title|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|average_days|percent_success|hunter_satisfaction|data_granularity|source_file|source_file_sha256|source_page|parse_status|harvest_quality_year|quality_feature_status|trend_feature_eligible|trend_feature_note|quota_use_status|draw_probability_use_status|do_not_use_for_permit_quota|do_not_use_for_p_draw_directly|raw_record
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_black_bear.csv,present,109,22,87,0,83,4,87,83,86,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|male_harvest|female_harvest|average_days|percent_success|hunter_satisfaction,BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7008|BR7009|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7017|BR7018|BR7019|BR7020|BR7100|BR7101|BR7102|BR7104|BR7105|BR7106,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|male_harvest|female_harvest|average_days|percent_success|hunter_satisfaction|parse_status
pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BLACK_BEAR_all_sources.csv,present,109,48,87,0,83,4,87,83,86,additive_hunt_code_keyed,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|male_harvest|female_harvest|harvest_objective|average_age|date_harvested|days_hunted|horn_length_left|horn_length_right|base_circumference_left|base_circumference_right|age_of_sheep|page_title|harvest_quality_year|quality_feature_status|do_not_use_for_permit_quota,BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7008|BR7009|BR7010|BR7011|BR7012|BR7013|BR7014|BR7015|BR7016|BR7017|BR7018|BR7019|BR7020|BR7100|BR7101|BR7102|BR7104|BR7105|BR7106,reported_hunt_year|model_target_year|source_file|source_file_sha256|source_page|source_class|data_granularity|report_family|species|hunt_code|hunt_name|hunt_type|weapon|permits|hunters_afield|harvest|percent_success|average_days|hunter_satisfaction|parse_status|input_family|male_harvest|female_harvest|harvest_objective|average_age|percent_female|percent_5yr_plus|date_inspected|date_harvested|location_of_kill
