hunt_code,hunt_name,species,hunt_type,weapon,sex_type,boundary_id,in_2026_database_universe,has_2025_historical_permits,has_2026_current_permits,comparison_status,comparison_confidence,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permit_delta_total_exact_or_candidate,permit_delta_basis,mapped_2025_historical_codes,mapped_2025_historical_totals,mapped_2025_historical_total_sum_candidate,crosswalk_status,crosswalk_confidence,crosswalk_method,review_priority,review_reason
BI6500,Antelope Island,Bison,Once-in-a-lifetime,Any Legal Weapon,Hunters Choice,1,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB0009,Antelope Island - Conservation/Expo,Deer,Premium Limited Entry,Any Legal Weapon,Buck,1,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
DB1002,Antelope Island Premium,Deer,Premium Limited Entry,Any Legal Weapon,Buck,1,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1121,Antelope Island Management,Deer,Premium Limited Entry,Any Legal Weapon,Buck,1,YES,NO,YES,CURRENT_2026_PERMIT_CODE_NO_2025_HISTORY,MEDIUM,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,,NOT_CALCULATED,,,,,,,MEDIUM,Populated 2026 permit code has no exact 2025 permit value and no promoted 2025 code mapping.
RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Male Only,1,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,Utah DWR Hunt Planner,,NOT_CALCULATED,,,,PROMOTED_EXACT_HISTORY,HIGH,exact_history,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,Any Legal Weapon,Either Sex,1,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1041,"Nine Mile, Green River Valley",Deer,General Season,Any Legal Weapon,Antlerless,6,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,14,1,15,2025_DRAW_RESULTS_TABLES,,,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR1008,Book Cliffs,Black Bear,Restricted Pursuit - Summer,Pursuit Only,Either Sex,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,26,2,28,2025_DRAW_RESULTS_TABLES,26,2,28,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR1011,Book Cliffs,Black Bear,Restricted Pursuit - Late Summer,Pursuit Only,Either Sex,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,26,2,28,2025_DRAW_RESULTS_TABLES,26,2,28,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR1015,Book Cliffs,Black Bear,Restricted Pursuit - Spring,Pursuit Only,Either Sex,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,0,2,2,2025_DRAW_RESULTS_TABLES,0,2,2,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1011,Book Cliffs,Deer,Limited Entry,Archery,Buck,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,44,4,48,2025_DRAW_RESULTS_TABLES,55,6,61,2026_RAC_CURRENT_YEAR_ALLOTMENT,13,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1025,Book Cliffs,Deer,Limited Entry,Muzzleloader,Buck,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,43,4,47,2025_DRAW_RESULTS_TABLES,55,6,61,2026_RAC_CURRENT_YEAR_ALLOTMENT,14,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1044,Book Cliffs,Deer,Limited Entry,Multiseason,Buck,7,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,6,1,7,2025_DRAW_RESULTS_TABLES,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DB1056,Book Cliffs (North & South),Deer,Conservation,Any Legal Weapon,Buck,7,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
DB1075,Book Cliffs (North & South),Deer,Conservation,Archery,Buck,7,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
DB1076,Book Cliffs (North & South),Deer,Conservation,Muzzleloader,Buck,7,YES,NO,NO,CURRENT_2026_REFERENCE_ONLY_NO_2025_OR_2026_PERMITS,LOW,,,,,,,,,,NOT_CALCULATED,,,,,,,LOW,Code exists in current 2026 DATABASE but has no populated 2025 or 2026 permit values.
DA1030,"Nine Mile, Price River Valley",Deer,General Season,Archery,Antlerless,11,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,23,1,24,2025_DRAW_RESULTS_TABLES,,,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
DA1046,"Nine Mile, Price River Valley",Deer,General Season,"Archery, Muzzleloader, Shotgun",Antlerless,11,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,25,0,25,2025_DRAW_RESULTS_TABLES,,,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7102,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Summer,Any Legal Weapon,Either Sex,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,5,0,5,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7224,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Spring,Any Legal Weapon,Either Sex,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,14,1,15,2025_DRAW_RESULTS_TABLES,14,1,15,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7225,Book Cliffs Little Creek Roadless,Black Bear,Spot and Stalk,Any Legal Weapon,Either Sex,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,5,0,5,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
BR7301,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Multiseason,Multiseason,Either Sex,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,5,0,5,2025_DRAW_RESULTS_TABLES,5,0,5,,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3002,"Book Cliffs, Little Creek Roadless",Elk,Limited Entry,Archery,Bull,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,3,0,3,2025_DRAW_RESULTS_TABLES,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3028,"Book Cliffs, Little Creek Roadless",Elk,Limited Entry,Early Any Legal Weapon,Bull,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3079,"Book Cliffs, Little Creek Roadless",Elk,Limited Entry,Muzzleloader,Bull,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,2,0,2,2025_DRAW_RESULTS_TABLES,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
EB3104,"Book Cliffs, Little Creek Roadless",Elk,Limited Entry,Multiseason,Bull,12,YES,YES,YES,EXACT_SAME_CODE_2025_AND_2026_PERMITTED,HIGH,1,0,1,2025_DRAW_RESULTS_TABLES,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,0,EXACT_CODE,,,,,,,NONE,Same hunt code has source-lined 2025 permits and populated 2026 current permits.
