row_number,hunt_code,reported_hunt_year,species,source_family,source_file,flags,severity,harvest,hunters_afield,permits,percent_success,expected_success_pct
2,BI6503,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,15.0,18.0,18.0,81.3,83.333
3,BI6503,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,15.0,18.0,18.0,81.3,83.333
6,BI6503,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,15.0,18.0,18.0,81.3,83.333
7,BI6503,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,15.0,18.0,18.0,81.3,83.333
18,BI6505,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,13.0,14.0,50.0,46.154
19,BI6505,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,13.0,14.0,50.0,46.154
22,BI6505,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,13.0,14.0,50.0,46.154
23,BI6505,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,6.0,13.0,14.0,50.0,46.154
26,BI6506,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,12.0,13.0,70.0,66.667
27,BI6506,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,12.0,13.0,70.0,66.667
30,BI6506,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,12.0,13.0,70.0,66.667
31,BI6506,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,12.0,13.0,70.0,66.667
34,BI6509,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,7.0,7.0,25.0,28.571
35,BI6509,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,7.0,7.0,25.0,28.571
38,BI6509,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,7.0,7.0,25.0,28.571
39,BI6509,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,2.0,7.0,7.0,25.0,28.571
42,BI6516,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,15.0,15.0,50.0,53.333
43,BI6516,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,15.0,15.0,50.0,53.333
46,BI6516,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,15.0,15.0,50.0,53.333
47,BI6516,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,8.0,15.0,15.0,50.0,53.333
90,BI6524,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,12.0,18.0,18.0,64.7,66.667
91,BI6524,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,12.0,18.0,18.0,64.7,66.667
94,BI6524,2021,Bison,zip_long,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,12.0,18.0,18.0,64.7,66.667
95,BI6524,2021,Bison,zip_species_or_supplement,21_bg_report.pdf,SUCCESS_RATE_MATH_CONFLICT,WARNING,12.0,18.0,18.0,64.7,66.667
106,BR7000,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,1.0,10.0,50.0,500.000
107,BR7000,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,1.0,10.0,50.0,500.000
110,BR7000,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,1.0,10.0,50.0,500.000
111,BR7000,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,5.0,1.0,10.0,50.0,500.000
114,BR7001,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,11.0,2.0,45.0,24.0,550.000
115,BR7001,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,11.0,2.0,45.0,24.0,550.000
118,BR7001,2021,Black Bear,zip_long,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,11.0,2.0,45.0,24.0,550.000
119,BR7001,2021,Black Bear,zip_species_or_supplement,21_black_bear_report.pdf,HARVEST_GREATER_THAN_HUNTERS|SUCCESS_RATE_MATH_CONFLICT,WARNING,11.0,2.0,45.0,24.0,550.000
