severity,code,path,detail
WARN,MISSING_EXPECTED_FILE,pages-dist/hard-copy/data/documents.json,pages_dist_public_documents is missing
ERROR,SOURCE_DOCUMENTS_STUB,hard-copy/documents.json,hard-copy/documents.json contains only the literal stub text 'documents.json'
WARN,DUPLICATE_RECORD_KEYS,master_csv,"77 duplicate keys; examples: ['|2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-South/San Rafael, North||MDF|', '|2022-2024 Mule Deer Foundation Black Bear - La Sal||MDF|', '|2022-2024 Mule Deer Foundation Black Bear - San Juan||MDF|', '|2022-2024 Mule Deer Foundation Buck Deer - Book Cliffs||MDF|', '|2022-2024 Mule Deer Foundation Buck Deer - Paunsaugunt||MDF|', '|2022-2024 Mule Deer Foundation Buck Deer - South Slope, Diamond Mtn||MDF|', '|2022-2024 Mule Deer Foundation Buck Deer - West Desert, Vernon||MDF|', '|2022-2024 Mule Deer Foundation Buck Pronghorn - San Rafael, North||MDF|', '|2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Bonanza/Diamond Mtn||MDF|', '|2022-2024 Mule Deer Foundation Buck Pronghorn - South Slope, Vernal||MDF|', '|2022-2024 Mule Deer Foundation Buck Pronghorn - Southwest Desert||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Cache, Meadowville||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Central Mtns, Manti||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Fillmore, Pahvant||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - La Sal, La Sal Mtns||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Mt Dutton||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Plateau, Boulder||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Plateau, Fishlake/Thousand Lakes||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - South Slope, Diamond Mtn||MDF|', '|2022-2024 Mule Deer Foundation Bull Elk - Southwest Desert, South||MDF|']"
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025_Lifetime general-season deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/25_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/25_bg-odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/EABAF1E2__25_lifetime_deer (1).pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/25_youth_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/60A861A3__25_youth_deer.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/BEFCE572__25_youth_elk.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__Big game and antlerless bonus and preference point purchase results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__black_bear_25_drawing_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__Dedicated Hunter deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__General-season buck deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/turkey_2025_turkey_bonus_points_draw_results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__turkey_2025_youth_turkey_draw_results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__Youth Dedicated Hunter deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__Youth draw-only elk draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025__Youth general-season deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24-25_sportsman_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/big file/24_bg-odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/24_drawing_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023_turkey_bonus_points_draw_results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23-24_sportsman_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_deer_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_dh_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_lifetime_deer.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_point-only_purchases_for_big_game_and_antlerless.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_youth_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_youth_deer.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/23_youth_elk.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/39b9ca33__black_bear_23_drawing_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/22-23_sportsman_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/22_antlerless_drawing_odds_report.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/60619D30__22_bg-odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/22_drawing_odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/22_sheep-population.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/c451ae2a__Antlerless big game draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/b7af20c9__Big game and antlerless bonus and preference point purchase results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/6326e915__Big game limited-entry &amp; once-in-a-lifetime draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/41c98e7e__cougar_Drawing odds.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/d15e7b03__Dedicated Hunter deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/6a1df976__General-season deer draw results.pdf does not resolve under .
ERROR,BROKEN_HREF,processed_pdf_manifest_root,href=./pipeline/RAW/hunt_unit_database/2023/pdf/draw_odds/3c8168b4__Lifetime general-season deer draw results.pdf does not resolve under .
